term 	 tf-idf weight 	 BM25 ranking 
 http 	 71.07893146563573 1.749528764818594 
affect 	 1819.4759965470962 1.1656201349247535 
access 	 872.8944281002285 1.4728490283025826 
computerised 	 2423.494193678312 1.4728490283025826 
databank 	 1211.747096839156 1.696415843360129 
history 	 891.9188300616639 1.1656201349247535 
accounts 	 2461.9928142318076 1.1656201349247535 
data 	 194.38509455160667 1.814452798181283 
methodology 	 1300.5957611712008 1.4728490283025826 
fully 	 2092.018508210278 1.1656201349247535 
explained 	 2653.467724463834 1.1656201349247535 
discuss 	 2272.7647847747885 1.1656201349247535 
required 	 1678.2497529598259 1.1656201349247535 
excellence 	 3162.6407385959574 1.1656201349247535 
rigour 	 4846.988387356624 1.1656201349247535 
special 	 267.8188763449392 1.749528764818594 
feature 	 2653.467724463834 1.1656201349247535 
telephone 	 2014.817262568775 1.1656201349247535 
support 	 1124.9413087476064 1.1656201349247535 
users 	 2420.4452457778916 1.1656201349247535 
benefit 	 1601.0485073183227 1.1656201349247535 
ce's 	 1428.5130570343563 1.6147155026778333 
years' 	 3724.089954849513 1.1656201349247535 
experience 	 1453.3680463152195 1.1656201349247535 
adaptation 	 3395.6632172818995 1.1656201349247535 
subscribers' 	 2423.494193678312 1.4728490283025826 
defined 	 1103.965095779612 1.4728490283025826 
meetings 	 2505.787263460731 1.1656201349247535 
guest 	 4285.539171103069 1.1656201349247535 
speakers 	 2769.3794078127794 1.1656201349247535 
current 	 1141.472494768884 1.1656201349247535 
issues 	 562.4706543738032 1.4728490283025826 
discounts 	 2981.8944620314473 1.1656201349247535 
combines 	 3957.1124335354552 1.1656201349247535 
based 	 199.31606651209378 1.749528764818594 
approach 	 1646.4809753056682 1.1656201349247535 
knowledge 	 1763.5917706426653 1.1656201349247535 
comprehensively 	 4846.988387356624 1.1656201349247535 
covers 	 2461.9928142318076 1.1656201349247535 
anglia 	 3724.089954849513 1.1656201349247535 
yorkshire 	 4846.988387356624 1.1656201349247535 
humberside 	 4846.988387356624 1.1656201349247535 
scotland 	 3724.089954849513 1.1656201349247535 
north 	 476.39571538799254 1.6147155026778333 
northern 	 2420.4452457778916 1.1656201349247535 
ireland 	 2653.467724463834 1.1656201349247535 
provides 	 1441.1873656499417 1.1656201349247535 
projections 	 923.1264692709265 1.6147155026778333 
personal 	 579.1740525800931 1.4728490283025826 
disposable 	 1978.5562167677276 1.4728490283025826 
income 	 972.1690236035876 1.4728490283025826 
unemployment 	 677.3379875920662 1.696415843360129 
migration 	 817.7002916554552 1.696415843360129 
population 	 839.1248764799129 1.4728490283025826 
housing 	 484.0890491555783 1.749528764818594 
starts 	 1771.6718391425015 1.4728490283025826 
households 	 2423.494193678312 1.4728490283025826 
level 	 1202.1425543891096 1.1656201349247535 
industrial 	 400.26212682958067 1.696415843360129 
currently 	 1711.3155685212328 1.1656201349247535 
set 	 1202.1425543891096 1.1656201349247535 
agriculture 	 1276.0427893355445 1.4728490283025826 
electricity 	 1635.4005833109104 1.4728490283025826 
gas 	 835.262421153577 1.6147155026778333 
water 	 939.7517269958054 1.4728490283025826 
coal 	 3543.343678285003 1.1656201349247535 
construction 	 972.1690236035876 1.4728490283025826 
oil 	 2014.817262568775 1.1656201349247535 
natural 	 1819.4759965470962 1.1656201349247535 
retailing 	 4846.988387356624 1.1656201349247535 
mining 	 1635.4005833109104 1.4728490283025826 
distribution 	 1944.3380472071751 1.1656201349247535 
nes 	 4846.988387356624 1.1656201349247535 
hotels 	 1862.0449774247566 1.4728490283025826 
catering 	 1771.6718391425015 1.4728490283025826 
transport 	 663.3669311159586 1.696415843360129 
communications 	 433.868964955211 1.4728490283025826 
textiles 	 3957.1124335354552 1.1656201349247535 
clothing 	 2981.8944620314473 1.1656201349247535 
leather 	 4846.988387356624 1.1656201349247535 
banking 	 2505.787263460731 1.1656201349247535 
finance 	 2147.902734114709 1.1656201349247535 
wood 	 1452.346608194972 1.4728490283025826 
products 	 454.86899913677405 1.696415843360129 
insurance 	 1879.5034539916107 1.1656201349247535 
paper 	 929.600042725927 1.1656201349247535 
printing 	 3395.6632172818995 1.1656201349247535 
publishing 	 2653.467724463834 1.1656201349247535 
manufactured 	 3724.089954849513 1.1656201349247535 
fuels 	 4285.539171103069 1.1656201349247535 
public 	 291.2386056071654 1.6147155026778333 
administration 	 691.4444154768098 1.4728490283025826 
defence 	 1978.5562167677276 1.4728490283025826 
chemicals 	 3395.6632172818995 1.1656201349247535 
fibres 	 4846.988387356624 1.1656201349247535 
education 	 439.869074698193 1.4728490283025826 
health 	 648.7734066353901 1.4728490283025826 
rubber 	 3724.089954849513 1.1656201349247535 
plastic 	 3543.343678285003 1.1656201349247535 
metallic 	 4285.539171103069 1.1656201349247535 
mineral 	 4285.539171103069 1.1656201349247535 
basic 	 1678.2497529598259 1.1656201349247535 
metals 	 4846.988387356624 1.1656201349247535 
metal 	 3543.343678285003 1.1656201349247535 
mechanical 	 3270.801166621821 1.1656201349247535 
engineering 	 1136.3823923873942 1.4728490283025826 
electronics 	 3270.801166621821 1.1656201349247535 
electrical 	 2834.2140010283442 1.1656201349247535 
instrument 	 2552.085578671089 1.1656201349247535 
motor 	 2420.4452457778916 1.1656201349247535 
vehicles 	 2380.9252128006515 1.1656201349247535 
equipment 	 2014.817262568775 1.1656201349247535 
subregions 	 4846.988387356624 1.1656201349247535 
private 	 779.0147744070123 1.4728490283025826 
wholesale 	 3543.343678285003 1.1656201349247535 
trade 	 864.1844149857384 1.4728490283025826 
social 	 1039.5992910647672 1.1656201349247535 
retail 	 3067.236479714287 1.1656201349247535 
sea 	 1944.3380472071751 1.1656201349247535 
air 	 1967.156457550199 1.1656201349247535 
durable 	 2423.494193678312 1.4728490283025826 
produces 	 3543.343678285003 1.1656201349247535 
system 	 436.85790841074817 1.4728490283025826 
basis 	 1601.0485073183227 1.1656201349247535 
published 	 961.0724390574012 1.4728490283025826 
satisfactory 	 3724.089954849513 1.1656201349247535 
widely 	 2461.9928142318076 1.1656201349247535 
recognised 	 4846.988387356624 1.1656201349247535 
valuable 	 2981.8944620314473 1.1656201349247535 
warning 	 3067.236479714287 1.1656201349247535 
econometric 	 4285.539171103069 1.1656201349247535 
generates 	 4285.539171103069 1.1656201349247535 
detailed 	 1711.3155685212328 1.1656201349247535 
reliable 	 2653.467724463834 1.1656201349247535 
economy 	 543.6839791264686 1.6147155026778333 
models 	 2039.7423060888457 1.1656201349247535 
distinctly 	 4285.539171103069 1.1656201349247535 
patchy 	 4846.988387356624 1.1656201349247535 
reputation 	 3067.236479714287 1.1656201349247535 
emerged 	 2904.693216389944 1.1656201349247535 
notable 	 3724.089954849513 1.1656201349247535 
credit 	 1944.3380472071751 1.1656201349247535 
experiences 	 2039.7423060888457 1.1656201349247535 
particular 	 765.2846459783614 1.4728490283025826 
multisectoral 	 4846.988387356624 1.1656201349247535 
dynamic 	 2834.2140010283442 1.1656201349247535 
mdm 	 3724.089954849513 1.1656201349247535 
cambridge 	 1181.1145594283344 1.6147155026778333 
econometrics 	 1978.5562167677276 1.4728490283025826 
limited 	 1711.3155685212328 1.1656201349247535 
performed 	 2709.3519503682646 1.1656201349247535 
impressively 	 4846.988387356624 1.1656201349247535 
identifying 	 3162.6407385959574 1.1656201349247535 
quantifying 	 4846.988387356624 1.1656201349247535 
slowdown 	 3724.089954849513 1.1656201349247535 
growth 	 745.5246294897414 1.4728490283025826 
occurred 	 2119.4787650675803 1.1656201349247535 
late 	 1879.5034539916107 1.1656201349247535 
quarterly 	 3543.343678285003 1.1656201349247535 
commentary_ 	 4846.988387356624 1.1656201349247535 
spring 	 2601.1915223424016 1.1656201349247535 
reprinted 	 2039.7423060888457 1.1656201349247535 
studies 	 867.737929910422 1.1656201349247535 
association 	 1572.1168604106385 1.1656201349247535 
newsletter_ 	 4846.988387356624 1.1656201349247535 
august 	 1879.5034539916107 1.1656201349247535 
provide 	 1371.7162400264274 1.1656201349247535 
macroeconomic 	 3395.6632172818995 1.1656201349247535 
following 	 1193.1921870779756 1.1656201349247535 
indicators 	 3270.801166621821 1.1656201349247535 
gdp 	 2461.9928142318076 1.1656201349247535 
wages 	 2461.9928142318076 1.1656201349247535 
salaries 	 3162.6407385959574 1.1656201349247535 
real 	 1615.911309639562 1.1656201349247535 
participation 	 2207.930191559224 1.1656201349247535 
profile 	 2505.787263460731 1.1656201349247535 
historical 	 674.9115076961064 1.4728490283025826 
reference 	 1944.3380472071751 1.1656201349247535 
county 	 640.7149593716008 1.6147155026778333 
report 	 319.3864492681448 1.696415843360129 
topical 	 4285.539171103069 1.1656201349247535 
specific 	 873.7158168214963 1.1656201349247535 
ons's 	 4846.988387356624 1.1656201349247535 
december 	 1967.156457550199 1.1656201349247535 
previous 	 919.4975066630675 1.4728490283025826 
view 	 1328.5059956551402 1.1656201349247535 
june 	 1694.6139458870166 1.1656201349247535 
releases 	 3162.6407385959574 1.1656201349247535 
ons 	 4285.539171103069 1.1656201349247535 
includes 	 1108.740768715204 1.1656201349247535 
scenarios 	 3957.1124335354552 1.1656201349247535 
features 	 1103.965095779612 1.4728490283025826 
topics 	 2420.4452457778916 1.1656201349247535 
included 	 1858.9960295243359 1.1656201349247535 
effect 	 638.7728985362896 1.4728490283025826 
single 	 1745.788856200457 1.1656201349247535 
european 	 1530.5692919567227 1.1656201349247535 
market 	 765.2846459783614 1.4728490283025826 
future 	 1229.6028112464114 1.1656201349247535 
change 	 1297.5468132707801 1.1656201349247535 
england 	 2119.4787650675803 1.1656201349247535 
outlook 	 3067.236479714287 1.1656201349247535 
markets 	 2420.4452457778916 1.1656201349247535 
implications 	 1819.4759965470962 1.1656201349247535 
activity 	 1631.0519373794057 1.1656201349247535 
impact 	 1517.1805573762422 1.1656201349247535 
sterling's 	 4846.988387356624 1.1656201349247535 
devaluation 	 3543.343678285003 1.1656201349247535 
september 	 1922.1448781148024 1.1656201349247535 
house 	 726.6840231576098 1.4728490283025826 
prices 	 1119.8494846066908 1.4728490283025826 
recession 	 3543.343678285003 1.1656201349247535 
intercounty 	 4846.988387356624 1.1656201349247535 
comparison 	 1318.0542377380548 1.1656201349247535 
relationship 	 1193.1921870779756 1.1656201349247535 
spatial 	 1181.1145594283344 1.6147155026778333 
disparities 	 1071.3847927757672 1.696415843360129 
britain 	 2461.9928142318076 1.1656201349247535 
past 	 1394.2176869531588 1.1656201349247535 
decade 	 2177.3605258931175 1.1656201349247535 
formation 	 2177.3605258931175 1.1656201349247535 
rate 	 1745.788856200457 1.1656201349247535 
firms 	 2380.9252128006515 1.1656201349247535 
technology 	 1517.1805573762422 1.1656201349247535 
industry 	 1277.5457970725793 1.1656201349247535 
labour 	 3543.343678285003 1.1656201349247535 
competitiveness 	 3724.089954849513 1.1656201349247535 
commuting 	 4846.988387356624 1.1656201349247535 
workplaces 	 4846.988387356624 1.1656201349247535 
foreign 	 1229.6028112464114 1.1656201349247535 
include 	 1382.8888309536196 1.1656201349247535 
comparisons 	 2653.467724463834 1.1656201349247535 
regeneration 	 4285.539171103069 1.1656201349247535 
funding 	 2343.2440001363884 1.1656201349247535 
merseyside 	 4285.539171103069 1.1656201349247535 
variations 	 2981.8944620314473 1.1656201349247535 
development 	 942.5603192165443 1.1656201349247535 
generation 	 2505.787263460731 1.1656201349247535 
available 	 1267.7274950413798 1.1656201349247535 
subscribers 	 1319.037477845152 1.6147155026778333 
contains 	 2343.2440001363884 1.1656201349247535 
selected 	 2119.4787650675803 1.1656201349247535 
presentation 	 2505.787263460731 1.1656201349247535 
software 	 2272.7647847747885 1.1656201349247535 
windows 	 2904.693216389944 1.1656201349247535 
application 	 1394.2176869531588 1.1656201349247535 
designed 	 1530.5692919567227 1.1656201349247535 
viewing 	 2653.467724463834 1.1656201349247535 
easy 	 2239.6989692133816 1.1656201349247535 
user 	 2239.6989692133816 1.1656201349247535 
friendly 	 2769.3794078127794 1.1656201349247535 
simulations 	 2834.2140010283442 1.1656201349247535 
commission 	 909.7379982735481 1.4728490283025826 
subscriber's 	 4846.988387356624 1.1656201349247535 
assumptions 	 3067.236479714287 1.1656201349247535 
definitions 	 2461.9928142318076 1.1656201349247535 
suit 	 2904.693216389944 1.1656201349247535 
htm 	 177.13623021235452 1.6147155026778333 
information 	 672.8221958134231 1.1656201349247535 
contact 	 1307.735626858337 1.1656201349247535 
katerina 	 4846.988387356624 1.1656201349247535 
homenidou 	 4846.988387356624 1.1656201349247535 
manager 	 2461.9928142318076 1.1656201349247535 
covent 	 4285.539171103069 1.1656201349247535 
garden 	 3162.6407385959574 1.1656201349247535 
cb1 	 4285.539171103069 1.1656201349247535 
united 	 1116.8005367062703 1.1656201349247535 
kingdom 	 2653.467724463834 1.1656201349247535 
tel 	 2834.2140010283442 1.1656201349247535 
fax 	 1922.1448781148024 1.1656201349247535 
keyboard 	 4285.539171103069 1.1656201349247535 
mail 	 714.5935730819889 1.4728490283025826 
internet 	 838.4928761503079 1.1656201349247535 
mailto 	 294.2085680070606 1.4728490283025826 
khs 	 2423.494193678312 1.4728490283025826 
cam 	 3724.089954849513 1.1656201349247535 
econ 	 3957.1124335354552 1.1656201349247535 
notes 	 714.5935730819889 1.4728490283025826 
compuserve 	 1490.9472310157237 1.4728490283025826 
com 	 390.9692368153953 1.1656201349247535 
cam_econ 	 4285.539171103069 1.1656201349247535 
return 	 1229.6028112464114 1.1656201349247535 
homepage 	 2420.4452457778916 1.1656201349247535 
index 	 352.23675859149625 1.1656201349247535 
