term 	 tf-idf weight 	 BM25 ranking 
 car 	 100.49202261661044 1.933515486615725 
owners 	 1324.045615754559 1.4511278438365103 
types 	 845.9861248546199 1.4511278438365103 
vehicles 	 629.0345623942462 1.6819172276427024 
teamed 	 2561.1247281341175 1.4511278438365103 
widely 	 1300.904845050881 1.4511278438365103 
respected 	 1671.1237482951478 1.4511278438365103 
source 	 1051.8424235984005 1.4511278438365103 
north 	 755.1754303187438 1.4511278438365103 
america 	 838.2742044994736 1.4511278438365103 
bring 	 1027.3786224749024 1.4511278438365103 
expanding 	 1463.3264031405797 1.4511278438365103 
library 	 1119.9221128999068 1.4511278438365103 
regarding 	 815.9387021424697 1.4511278438365103 
preventive 	 1967.7907415748043 1.4511278438365103 
maintenance 	 1091.378204614475 1.4511278438365103 
fuel 	 1431.6081910587868 1.4511278438365103 
conservation 	 1497.5846820248535 1.4511278438365103 
safe 	 1300.904845050881 1.4511278438365103 
operation 	 1015.6518615223895 1.4511278438365103 
motor 	 1278.9513150530095 1.4511278438365103 
auto 	 487.77546771352655 1.7760736317594947 
auto101 	 2264.457734854461 1.4511278438365103 
announcing 	 1967.7907415748043 1.4511278438365103 
arrival 	 1967.7907415748043 1.4511278438365103 
comprehensive 	 961.402131508836 1.4511278438365103 
service 	 92.81657904999366 1.8974719160447073 
call 	 808.7452555030584 1.4511278438365103 
partnership 	 1431.6081910587868 1.4511278438365103 
publisher 	 1872.2853016123227 1.4511278438365103 
educational 	 886.778881810871 1.4511278438365103 
materials 	 1015.6518615223895 1.4511278438365103 
able 	 878.303357328106 1.4511278438365103 
explore 	 1575.618308332666 1.4511278438365103 
complexities 	 1967.7907415748043 1.4511278438365103 
modern 	 718.9848682427329 1.4511278438365103 
automobile 	 1497.5846820248535 1.4511278438365103 
major 	 573.32542330161 1.4511278438365103 
mechanical 	 864.1375921692218 1.6819172276427024 
electrical 	 1497.5846820248535 1.4511278438365103 
systems 	 337.5244451525086 1.6819172276427024 
mechanic 	 2561.1247281341175 1.4511278438365103 
family 	 730.7116291952459 1.4511278438365103 
hot 	 1534.825551376415 1.4511278438365103 
link 	 583.3297049304616 1.6819172276427024 
asashop 	 2561.1247281341175 1.4511278438365103 
org 	 1091.378204614475 1.4511278438365103 
association 	 830.6987855009301 1.4511278438365103 
asa 	 566.1144337136152 1.8272189445383344 
launched 	 1497.5846820248535 1.4511278438365103 
dedicated 	 1671.1237482951478 1.4511278438365103 
assisting 	 1671.1237482951478 1.4511278438365103 
consumers 	 458.15225167183036 1.7760736317594947 
professionals 	 1238.1585580967583 1.4511278438365103 
international 	 577.4607211718334 1.4511278438365103 
organization 	 625.7992171571282 1.4511278438365103 
approximately 	 1183.4458750905276 1.4511278438365103 
deliver 	 1728.2751843384435 1.4511278438365103 
excellence 	 1671.1237482951478 1.4511278438365103 
collision 	 1794.25167530451 1.4511278438365103 
transmission 	 1534.825551376415 1.4511278438365103 
features 	 1166.6594098609232 1.4511278438365103 
growing 	 895.4256405427693 1.4511278438365103 
include 	 730.7116291952459 1.4511278438365103 
version 	 971.7158835846739 1.4511278438365103 
autoinc 	 2561.1247281341175 1.4511278438365103 
publication 	 687.2283775077456 1.6819172276427024 
shop 	 674.2547084390285 1.6819172276427024 
locator 	 2561.1247281341175 1.4511278438365103 
directing 	 1794.25167530451 1.4511278438365103 
nearby 	 1671.1237482951478 1.4511278438365103 
provides 	 761.516287034784 1.4511278438365103 
consumer 	 1027.3786224749024 1.4511278438365103 
research 	 491.1960719588849 1.4511278438365103 
little 	 993.1203435906289 1.4511278438365103 
digging 	 2264.457734854461 1.4511278438365103 
uncovers 	 2561.1247281341175 1.4511278438365103 
insider 	 1872.2853016123227 1.4511278438365103 
technicians 	 2264.457734854461 1.4511278438365103 
detailed 	 904.2506954655403 1.4511278438365103 
articles 	 1015.6518615223895 1.4511278438365103 
professionally 	 2561.1247281341175 1.4511278438365103 
home 	 63.71522061672795 1.7760736317594947 
recalls 	 624.0951005374409 1.7760736317594947 
dot 	 1132.2288674272304 1.6819172276427024 
gov 	 496.56017179531443 1.6819172276427024 
affairs 	 507.82593076119474 1.6819172276427024 
united 	 590.1118885312144 1.4511278438365103 
highway 	 1728.2751843384435 1.4511278438365103 
transportation 	 552.7061243913574 1.6819172276427024 
safety 	 242.92897089616847 1.8272189445383344 
administration 	 730.7116291952459 1.4511278438365103 
nhtsa 	 1280.5623640670588 1.6819172276427024 
publishes 	 1671.1237482951478 1.4511278438365103 
notices 	 983.8953707874022 1.6819172276427024 
model 	 895.4256405427693 1.4511278438365103 
calling 	 1324.045615754559 1.4511278438365103 
hotline 	 1132.2288674272304 1.6819172276427024 
operates 	 1431.6081910587868 1.4511278438365103 
eastern 	 961.402131508836 1.4511278438365103 
monday 	 1794.25167530451 1.4511278438365103 
friday 	 1728.2751843384435 1.4511278438365103 
calls 	 1258.0691247884924 1.4511278438365103 
received 	 861.8397891338094 1.4511278438365103 
business 	 388.9503352140396 1.4511278438365103 
hours 	 1119.9221128999068 1.4511278438365103 
means 	 767.9524985468074 1.4511278438365103 
sophisticated 	 1463.3264031405797 1.4511278438365103 
automatic 	 1671.1237482951478 1.4511278438365103 
telephone 	 1064.619491826464 1.4511278438365103 
answering 	 1794.25167530451 1.4511278438365103 
date 	 1064.619491826464 1.4511278438365103 
directly 	 1027.3786224749024 1.4511278438365103 
recall 	 1872.2853016123227 1.4511278438365103 
buttons 	 1280.5623640670588 1.6819172276427024 
new_buttons 	 1280.5623640670588 1.6819172276427024 
maps 	 1497.5846820248535 1.4511278438365103 
map 	 1134.94119777913 1.4511278438365103 
cgi 	 1324.045615754559 1.4511278438365103 
ais 	 1794.25167530451 1.4511278438365103 
secure 	 1324.045615754559 1.4511278438365103 
sample 	 787.809154166333 1.6819172276427024 
questions 	 691.0010472782324 1.4511278438365103 
mini 	 1620.7126090342156 1.4511278438365103 
autoshop_logo_small 	 1967.7907415748043 1.4511278438365103 
copyright 	 333.809866065249 1.4511278438365103 
mailto 	 310.91670890622703 1.4511278438365103 
webmaster 	 1534.825551376415 1.4511278438365103 
created 	 794.7112113348184 1.4511278438365103 
periscope 	 1872.2853016123227 1.4511278438365103 
marketing 	 1004.2378517712244 1.4511278438365103 
communications 	 458.50843703908726 1.4511278438365103 
mpls 	 1872.2853016123227 1.4511278438365103 
modified 	 1278.9513150530095 1.4511278438365103 
