term 	 tf-idf weight 	 BM25 ranking 
steps 	 10279.141669592387 0.46162058904073683 
ommunications 	 22565.423714471395 0.46162058904073683 
invade' 	 22565.423714471395 0.46162058904073683 
individual's 	 13194.840738120847 0.46162058904073683 
appear 	 10741.475026202572 0.46162058904073683 
unbidden 	 22565.423714471395 0.46162058904073683 
lmost 	 22565.423714471395 0.46162058904073683 
preceded 	 19951.56569657984 0.46162058904073683 
warnings 	 16496.233346682402 0.46162058904073683 
admitted 	 11881.376194035403 0.46162058904073683 
odds 	 16496.233346682402 0.46162058904073683 
slim' 	 22565.423714471395 0.46162058904073683 
accident 	 12613.538524492255 0.46162058904073683 
precise 	 13194.840738120847 0.46162058904073683 
justification 	 12353.366406114961 0.46162058904073683 
edenfield 	 22565.423714471395 0.46162058904073683 
fane 	 22565.423714471395 0.46162058904073683 
cites 	 13522.96064074874 0.46162058904073683 
proposition 	 18422.556773903954 0.46162058904073683 
assisting 	 14723.849660796734 0.46162058904073683 
notes 	 6653.660158252296 0.46162058904073683 
rapidly 	 14723.849660796734 0.46162058904073683 
concerned 	 9051.973797553404 0.46162058904073683 
materials 	 4474.326132945012 0.7501084303501454 
technological 	 11461.944324034748 0.46162058904073683 
assist 	 11268.517310899295 0.46162058904073683 
imposing 	 16496.233346682402 0.46162058904073683 
accompanying 	 17337.70767868829 0.46162058904073683 
relegated 	 19951.56569657984 0.46162058904073683 
footnote 	 22565.423714471395 0.46162058904073683 
plaintiffs' 	 11282.711857235698 0.7501084303501454 
unclear 	 12109.99164290518 0.46162058904073683 
absence 	 11084.529601816366 0.46162058904073683 
violation 	 11881.376194035403 0.46162058904073683 
constitution 	 10279.141669592387 0.46162058904073683 
defendant's 	 18422.556773903954 0.46162058904073683 
opposition 	 8470.671583924814 0.46162058904073683 
temporary 	 13882.37532879085 0.46162058904073683 
restraining 	 22565.423714471395 0.46162058904073683 
feb 	 14723.849660796734 0.46162058904073683 
papers 	 11268.517310899295 0.46162058904073683 
tacitly 	 19951.56569657984 0.46162058904073683 
acknowledges 	 22565.423714471395 0.46162058904073683 
weakness 	 18422.556773903954 0.46162058904073683 
posed 	 7361.924830398367 0.7501084303501454 
difficult 	 9380.093700181298 0.46162058904073683 
quoting 	 18422.556773903954 0.46162058904073683 
quoted 	 12613.538524492255 0.46162058904073683 
bedrock 	 22565.423714471395 0.46162058904073683 
principle 	 11268.517310899295 0.46162058904073683 
sale 	 11461.944324034748 0.46162058904073683 
distribution 	 9051.973797553404 0.46162058904073683 
immoral 	 17337.70767868829 0.46162058904073683 
printed 	 15808.6987560124 0.46162058904073683 
postal 	 18422.556773903954 0.46162058904073683 
unsolicited 	 22565.423714471395 0.46162058904073683 
advertisements 	 14279.689833336512 0.46162058904073683 
contraceptives 	 19951.56569657984 0.46162058904073683 
telephone 	 9380.093700181298 0.46162058904073683 
sell 	 10741.475026202572 0.46162058904073683 
principally 	 22565.423714471395 0.46162058904073683 
aimed 	 5542.264800908183 0.7501084303501454 
passed 	 10136.822892769069 0.46162058904073683 
activity 	 7593.4529084663445 0.46162058904073683 
zauderer 	 22565.423714471395 0.46162058904073683 
office 	 6184.933468661153 0.46162058904073683 
disciplinary 	 16496.233346682402 0.46162058904073683 
enact 	 19951.56569657984 0.46162058904073683 
prophylactic 	 22565.423714471395 0.46162058904073683 
spare 	 18422.556773903954 0.46162058904073683 
trouble 	 13522.96064074874 0.46162058904073683 
distinguishing 	 18422.556773903954 0.46162058904073683 
subject 	 3333.827415146343 0.46162058904073683 
legitimate 	 12892.99968748394 0.46162058904073683 
regulatory 	 12109.99164290518 0.46162058904073683 
concern 	 8470.671583924814 0.46162058904073683 
amount 	 8948.652265890025 0.46162058904073683 
varies 	 15227.396542383809 0.46162058904073683 
depending 	 10909.102622857186 0.46162058904073683 
expanding 	 12892.99968748394 0.46162058904073683 
remain 	 9496.133625013626 0.46162058904073683 
theory 	 7319.077383467306 0.46162058904073683 
course 	 8948.652265890025 0.46162058904073683 
senselessly 	 22565.423714471395 0.46162058904073683 
outlaw 	 19951.56569657984 0.46162058904073683 
college 	 9496.133625013626 0.46162058904073683 
professor's 	 22565.423714471395 0.46162058904073683 
lady 	 13882.37532879085 0.46162058904073683 
chatterly's 	 22565.423714471395 0.46162058904073683 
lover 	 15808.6987560124 0.46162058904073683 
moll 	 18422.556773903954 0.46162058904073683 
flanders 	 18422.556773903954 0.46162058904073683 
student 	 8848.086306143194 0.46162058904073683 
page 	 1851.0890116341868 0.46162058904073683 
ciec 	 19951.56569657984 0.46162058904073683 
index 	 1639.8577983315213 0.46162058904073683 
html 	 1481.8118109649542 0.46162058904073683 
