term 	 tf-idf weight 	 BM25 ranking 
 offline 	 267.5827597188169 1.9021652833981955 
technique 	 782.2369296727126 1.5908789089820932 
examined 	 2198.388929895756 1.128986656379467 
closely 	 2566.1082849073687 1.128986656379467 
potential 	 895.7462978357904 1.4432617078473722 
improvements 	 3213.8195868561156 1.128986656379467 
rate 	 1881.572433904937 1.128986656379467 
issues 	 1212.4367438724203 1.128986656379467 
move 	 2198.388929895756 1.128986656379467 
accurate 	 284.60125453517634 1.86892067885867 
spot 	 1565.30689994347 1.4432617078473722 
arc 	 1104.7268583992998 1.128986656379467 
welding 	 1909.468537742474 1.4432617078473722 
weld 	 2132.4439225163287 1.4432617078473722 
intended 	 2700.6818283965654 1.128986656379467 
position 	 97.46284734747115 1.887956995886736 
rolls 	 5223.976373039917 1.128986656379467 
line 	 236.7615945566506 1.7721331733049832 
talked 	 3525.196812914629 1.128986656379467 
kind 	 2226.1055435243843 1.128986656379467 
holy 	 3305.799317025398 1.128986656379467 
grail 	 5223.976373039917 1.128986656379467 
people 	 1022.9394307997967 1.128986656379467 
talk 	 2700.6818283965654 1.128986656379467 
hushed 	 5223.976373039917 1.128986656379467 
tones 	 4618.8588844110855 1.128986656379467 
eventually 	 2803.5064185245883 1.128986656379467 
pushing 	 4013.7413957822528 1.128986656379467 
barrier 	 4013.7413957822528 1.128986656379467 
achieve 	 2284.3271134617257 1.128986656379467 
focused 	 2920.0793242857967 1.128986656379467 
attention 	 1862.797516747036 1.128986656379467 
especially 	 1515.0400267308269 1.128986656379467 
fixture 	 401.37413957822525 1.8567515919486346 
lead 	 2145.4636350500086 1.128986656379467 
accuracy 	 782.653449971735 1.6766215644406044 
current 	 1230.253688806464 1.128986656379467 
practice 	 2145.4636350500086 1.128986656379467 
involves 	 1350.3409141982827 1.4432617078473722 
stages 	 3130.61379988694 1.128986656379467 
modelled 	 5223.976373039917 1.128986656379467 
company 	 1620.9880548955523 1.128986656379467 
wide 	 1862.797516747036 1.128986656379467 
cad 	 852.9775690065314 1.7326517868610356 
system 	 313.89049715438944 1.5908789089820932 
sophisticated 	 2984.7755839759957 1.128986656379467 
mainframe 	 4618.8588844110855 1.128986656379467 
package 	 2859.8485474776876 1.128986656379467 
catia 	 2611.9881865199586 1.4432617078473722 
handle 	 2859.8485474776876 1.128986656379467 
complete 	 970.2243360197186 1.4432617078473722 
fixtures 	 1421.6292816775524 1.5908789089820932 
repeatable 	 1305.9940932599793 1.6766215644406044 
predictable 	 4618.8588844110855 1.128986656379467 
manner 	 2145.4636350500086 1.128986656379467 
usually 	 732.7963099652519 1.5908789089820932 
requirement 	 2346.710789018138 1.128986656379467 
specialist 	 1762.5984064573145 1.4432617078473722 
tooling 	 5223.976373039917 1.128986656379467 
contract 	 2449.5353791461607 1.128986656379467 
certified' 	 5223.976373039917 1.128986656379467 
means 	 1566.4077832508478 1.128986656379467 
clamp 	 5223.976373039917 1.128986656379467 
blocks 	 3659.770356403825 1.128986656379467 
clamped 	 5223.976373039917 1.128986656379467 
measured 	 1606.9097934280578 1.4432617078473722 
precisely 	 2006.8706978911264 1.4432617078473722 
ordinate 	 1741.3254576799725 1.5908789089820932 
measuring 	 746.1938959939989 1.6766215644406044 
device 	 1429.9242737388438 1.4432617078473722 
measurements 	 1175.0656043048764 1.5908789089820932 
referred 	 2984.7755839759957 1.128986656379467 
frame 	 1704.3119535767103 1.4432617078473722 
centreline 	 5223.976373039917 1.128986656379467 
datum 	 1421.6292816775524 1.5908789089820932 
orientation 	 934.502139508196 1.5908789089820932 
scaling 	 4264.887845032657 1.128986656379467 
factor 	 2566.1082849073687 1.128986656379467 
associated 	 2145.4636350500086 1.128986656379467 
recorded 	 1492.3877919879978 1.4432617078473722 
manual 	 1492.3877919879978 1.4432617078473722 
theodolites 	 1305.9940932599793 1.6766215644406044 
standard 	 931.398758373518 1.4432617078473722 
theodolite 	 2611.9881865199586 1.4432617078473722 
triangulation 	 2611.9881865199586 1.4432617078473722 
alternative 	 1940.4486720394373 1.128986656379467 
promises 	 2984.7755839759957 1.128986656379467 
accuracies 	 1066.2219612581644 1.6766215644406044 
achieved 	 3130.61379988694 1.128986656379467 
named 	 1326.7405721138075 1.4432617078473722 
photogrammetry 	 2611.9881865199586 1.4432617078473722 
resolution 	 2226.1055435243843 1.128986656379467 
electronic 	 2449.5353791461607 1.128986656379467 
photographs' 	 5223.976373039917 1.128986656379467 
target 	 1652.899658512699 1.4432617078473722 
attached 	 2859.8485474776876 1.128986656379467 
angles 	 2006.8706978911264 1.4432617078473722 
image 	 394.9340716052565 1.6766215644406044 
processing 	 2486.6899225337693 1.128986656379467 
derive 	 2132.4439225163287 1.4432617078473722 
terrain 	 3659.770356403825 1.128986656379467 
mapping 	 3659.770356403825 1.128986656379467 
aerial 	 4013.7413957822528 1.128986656379467 
photography 	 4264.887845032657 1.128986656379467 
stereo 	 4264.887845032657 1.128986656379467 
vision 	 2120.157515359659 1.128986656379467 
finding 	 2566.1082849073687 1.128986656379467 
application 	 1502.656840382849 1.128986656379467 
shop 	 392.9401605255486 1.801454002373402 
floor 	 400.500916932084 1.801454002373402 
installed 	 4264.887845032657 1.128986656379467 
defined 	 793.2193651157212 1.5908789089820932 
defines 	 2379.6580953471635 1.128986656379467 
programmes 	 954.734268871237 1.6766215644406044 
completed 	 2566.1082849073687 1.128986656379467 
stage 	 2984.7755839759957 1.128986656379467 
imported 	 4013.7413957822528 1.128986656379467 
shelf 	 4618.8588844110855 1.128986656379467 
purchased 	 3305.799317025398 1.128986656379467 
vendor 	 4618.8588844110855 1.128986656379467 
functionality 	 5223.976373039917 1.128986656379467 
available 	 1366.3285224334873 1.128986656379467 
example 	 770.173073210588 1.4432617078473722 
frames 	 4013.7413957822528 1.128986656379467 
representing 	 1173.355394509069 1.4432617078473722 
welds 	 4618.8588844110855 1.128986656379467 
approach 	 1774.5406067183312 1.128986656379467 
schedules' 	 5223.976373039917 1.128986656379467 
indicating 	 2920.0793242857967 1.128986656379467 
motion 	 934.502139508196 1.5908789089820932 
type 	 2145.4636350500086 1.128986656379467 
speed 	 2750.5811236788404 1.128986656379467 
exporting 	 3659.770356403825 1.128986656379467 
model 	 365.28345055786804 1.7326517868610356 
check 	 2314.961835656964 1.128986656379467 
reach 	 2346.710789018138 1.128986656379467 
required 	 602.9267631003819 1.5908789089820932 
positions 	 1113.0527717621922 1.4432617078473722 
wrist 	 2132.4439225163287 1.4432617078473722 
joint 	 1099.194464947878 1.4432617078473722 
limits 	 2700.6818283965654 1.128986656379467 
limit 	 2566.1082849073687 1.128986656379467 
orientations 	 2611.9881865199586 1.4432617078473722 
achievable 	 2309.4294422055427 1.4432617078473722 
user 	 804.632592643326 1.5908789089820932 
creatively 	 4618.8588844110855 1.128986656379467 
base 	 2379.6580953471635 1.128986656379467 
tool 	 335.24439843116255 1.801454002373402 
particular 	 1649.6135702200233 1.128986656379467 
configuration 	 1337.9137985940843 1.5908789089820932 
elbow 	 4618.8588844110855 1.128986656379467 
changed 	 2449.5353791461607 1.128986656379467 
driving 	 3054.6528677749934 1.128986656379467 
attempting 	 1429.9242737388438 1.4432617078473722 
movement 	 1454.8092499227182 1.128986656379467 
enables 	 3130.61379988694 1.128986656379467 
plan 	 1579.736286421026 1.128986656379467 
collision 	 1219.9234521346084 1.5908789089820932 
free 	 1104.7268583992998 1.128986656379467 
paths 	 3305.799317025398 1.128986656379467 
clamps 	 4264.887845032657 1.128986656379467 
holding 	 2379.6580953471635 1.128986656379467 
add 	 2653.481144227615 1.128986656379467 
excessively 	 4618.8588844110855 1.128986656379467 
cycle 	 631.3740778145269 1.6766215644406044 
reason 	 2048.3636555987823 1.128986656379467 
reasonably 	 2920.0793242857967 1.128986656379467 
times 	 473.5231891133012 1.5908789089820932 
unfortunately 	 3130.61379988694 1.128986656379467 
consider 	 2486.6899225337693 1.128986656379467 
algorithms 	 3659.770356403825 1.128986656379467 
controllers 	 3818.937075484948 1.128986656379467 
commercial 	 2003.5846095984507 1.128986656379467 
value 	 1649.6135702200233 1.128986656379467 
refuse 	 2984.7755839759957 1.128986656379467 
release 	 2198.388929895756 1.128986656379467 
vendors 	 1539.6196281370285 1.5908789089820932 
compromise 	 3130.61379988694 1.128986656379467 
reached 	 2346.710789018138 1.128986656379467 
thanks 	 3525.196812914629 1.128986656379467 
strong 	 2120.157515359659 1.128986656379467 
encouragement 	 4264.887845032657 1.128986656379467 
germany 	 1982.0279588070566 1.128986656379467 
black 	 1008.8584803750083 1.128986656379467 
boxes' 	 5223.976373039917 1.128986656379467 
unreadable 	 5223.976373039917 1.128986656379467 
controller 	 1175.0656043048764 1.5908789089820932 
software 	 816.5117930487203 1.5908789089820932 
interfaced 	 5223.976373039917 1.128986656379467 
reasonable 	 2700.6818283965654 1.128986656379467 
confidence 	 2700.6818283965654 1.128986656379467 
trajectories 	 4264.887845032657 1.128986656379467 
shown 	 2346.710789018138 1.128986656379467 
near 	 2120.157515359659 1.128986656379467 
information 	 725.1528110433561 1.128986656379467 
provided 	 2003.5846095984507 1.128986656379467 
reliable 	 2859.8485474776876 1.128986656379467 
key 	 763.800697263255 1.4432617078473722 
issue 	 1239.3004018884963 1.128986656379467 
trusted 	 3818.937075484948 1.128986656379467 
downloading 	 2611.9881865199586 1.4432617078473722 
called 	 1527.60139452651 1.128986656379467 
tracks' 	 5223.976373039917 1.128986656379467 
disc 	 4618.8588844110855 1.128986656379467 
containing 	 2984.7755839759957 1.128986656379467 
programme 	 731.954071280765 1.7326517868610356 
teachpoint 	 4618.8588844110855 1.128986656379467 
files 	 2653.481144227615 1.128986656379467 
air 	 2120.157515359659 1.128986656379467 
conditioned 	 4264.887845032657 1.128986656379467 
offices 	 2048.3636555987823 1.128986656379467 
harsher 	 4264.887845032657 1.128986656379467 
unforgiving 	 5223.976373039917 1.128986656379467 
environment 	 796.6357206334619 1.4432617078473722 
factory 	 3659.770356403825 1.128986656379467 
advocates 	 3054.6528677749934 1.128986656379467 
rude 	 4618.8588844110855 1.128986656379467 
awakening 	 3818.937075484948 1.128986656379467 
fine 	 2653.481144227615 1.128986656379467 
virtual 	 3408.6239071534205 1.128986656379467 
reality' 	 5223.976373039917 1.128986656379467 
seldom 	 4618.8588844110855 1.128986656379467 
uncertain 	 3659.770356403825 1.128986656379467 
unpredictable 	 4618.8588844110855 1.128986656379467 
subtly 	 5223.976373039917 1.128986656379467 
real 	 870.7966501946528 1.4432617078473722 
world 	 967.929109885312 1.128986656379467 
extremely 	 2803.5064185245883 1.128986656379467 
repeatabilities 	 4618.8588844110855 1.128986656379467 
worse 	 1762.5984064573145 1.4432617078473722 
unusual 	 3213.8195868561156 1.128986656379467 
understand 	 2145.4636350500086 1.128986656379467 
difference 	 2346.710789018138 1.128986656379467 
repeatability 	 1539.6196281370285 1.5908789089820932 
imagine 	 4013.7413957822528 1.128986656379467 
darts 	 652.9970466299897 1.8240893549191826 
game 	 2803.5064185245883 1.128986656379467 
player 	 2132.4439225163287 1.4432617078473722 
playing 	 1652.899658512699 1.4432617078473722 
aims 	 3408.6239071534205 1.128986656379467 
triple 	 4264.887845032657 1.128986656379467 
close 	 2048.3636555987823 1.128986656379467 
tried 	 2700.6818283965654 1.128986656379467 
tested 	 2984.7755839759957 1.128986656379467 
throws 	 5223.976373039917 1.128986656379467 
treble 	 5223.976373039917 1.128986656379467 
increase 	 1826.4172527893402 1.128986656379467 
calibrated 	 2132.4439225163287 1.4432617078473722 
individual 	 1466.527546672677 1.128986656379467 
signature 	 1909.468537742474 1.4432617078473722 
manufacturing 	 1326.7405721138075 1.4432617078473722 
tolerances 	 5223.976373039917 1.128986656379467 
involved 	 817.5917448083082 1.4432617078473722 
wear 	 3408.6239071534205 1.128986656379467 
tear 	 4264.887845032657 1.128986656379467 
crashing 	 5223.976373039917 1.128986656379467 
regular 	 2653.481144227615 1.128986656379467 
occurrence 	 3213.8195868561156 1.128986656379467 
detected 	 4618.8588844110855 1.128986656379467 
ordinates 	 5223.976373039917 1.128986656379467 
range 	 1982.0279588070566 1.128986656379467 
envelope 	 3659.770356403825 1.128986656379467 
produce 	 1283.0541424536843 1.4432617078473722 
custom 	 1136.4758117604736 1.128986656379467 
devices 	 2803.5064185245883 1.128986656379467 
cheap 	 4013.7413957822528 1.128986656379467 
relatively 	 2700.6818283965654 1.128986656379467 
easy 	 2413.897777929978 1.128986656379467 
quick 	 2803.5064185245883 1.128986656379467 
robotrak 	 881.2992032286572 1.6766215644406044 
consist 	 3659.770356403825 1.128986656379467 
drums 	 5223.976373039917 1.128986656379467 
placed 	 2413.897777929978 1.128986656379467 
workcell 	 2006.8706978911264 1.4432617078473722 
cords 	 4618.8588844110855 1.128986656379467 
extended 	 2566.1082849073687 1.128986656379467 
meet 	 1808.7802893011458 1.128986656379467 
endpoint 	 2611.9881865199586 1.4432617078473722 
length 	 1492.3877919879978 1.4432617078473722 
cord 	 4618.8588844110855 1.128986656379467 
indicated 	 3305.799317025398 1.128986656379467 
rotation 	 4618.8588844110855 1.128986656379467 
drum 	 5223.976373039917 1.128986656379467 
lengths 	 5223.976373039917 1.128986656379467 
calculated 	 3305.799317025398 1.128986656379467 
laser 	 1652.899658512699 1.4432617078473722 
tracker 	 5223.976373039917 1.128986656379467 
smart 	 545.5624393549925 1.801454002373402 
generation 	 2700.6818283965654 1.128986656379467 
tracks 	 4013.7413957822528 1.128986656379467 
targets 	 3525.196812914629 1.128986656379467 
automatically 	 2920.0793242857967 1.128986656379467 
intervention 	 2449.5353791461607 1.128986656379467 
interferometer 	 5223.976373039917 1.128986656379467 
measures 	 2198.388929895756 1.128986656379467 
distance 	 3130.61379988694 1.128986656379467 
direction 	 2449.5353791461607 1.128986656379467 
calculate 	 4013.7413957822528 1.128986656379467 
conventional 	 2803.5064185245883 1.128986656379467 
degrades 	 5223.976373039917 1.128986656379467 
conditions 	 1649.6135702200233 1.128986656379467 
temperature 	 3305.799317025398 1.128986656379467 
change 	 1398.4671209696187 1.128986656379467 
vibration 	 5223.976373039917 1.128986656379467 
vehicles 	 2566.1082849073687 1.128986656379467 
trundling 	 5223.976373039917 1.128986656379467 
simulations 	 610.9305735549987 1.7326517868610356 
offer 	 2120.157515359659 1.128986656379467 
workspace 	 1460.0396621428984 1.4432617078473722 
suggest 	 3305.799317025398 1.128986656379467 
customers 	 1492.3877919879978 1.4432617078473722 
requiring 	 1429.9242737388438 1.4432617078473722 
circa 	 5223.976373039917 1.128986656379467 
lower 	 980.4953981392684 1.4432617078473722 
pointer 	 4264.887845032657 1.128986656379467 
known 	 796.6357206334619 1.4432617078473722 
record 	 1982.0279588070566 1.128986656379467 
touch 	 2984.7755839759957 1.128986656379467 
up' 	 5223.976373039917 1.128986656379467 
mistaken 	 4264.887845032657 1.128986656379467 
positioning 	 3130.61379988694 1.128986656379467 
correctly 	 3818.937075484948 1.128986656379467 
relative 	 2120.157515359659 1.128986656379467 
avoiding 	 3213.8195868561156 1.128986656379467 
pitfalls 	 1829.8851782019126 1.4432617078473722 
finally 	 2346.710789018138 1.128986656379467 
correct 	 2413.897777929978 1.128986656379467 
offset 	 3818.937075484948 1.128986656379467 
dimensions 	 1829.8851782019126 1.4432617078473722 
straightforward 	 4264.887845032657 1.128986656379467 
process 	 1366.3285224334873 1.128986656379467 
unknown 	 3305.799317025398 1.128986656379467 
slightly 	 2920.0793242857967 1.128986656379467 
bent 	 3659.770356403825 1.128986656379467 
occurred 	 2284.3271134617257 1.128986656379467 
carried 	 2700.6818283965654 1.128986656379467 
ready 	 1243.3449612668846 1.4432617078473722 
procedures 	 1881.572433904937 1.128986656379467 
steps 	 2379.6580953471635 1.128986656379467 
ignored 	 3305.799317025398 1.128986656379467 
badly 	 4013.7413957822528 1.128986656379467 
implemented 	 2859.8485474776876 1.128986656379467 
resulting 	 2145.4636350500086 1.128986656379467 
inches 	 4618.8588844110855 1.128986656379467 
foot 	 3213.8195868561156 1.128986656379467 
depending 	 2525.4963112581077 1.128986656379467 
seriousness 	 3659.770356403825 1.128986656379467 
mistakes 	 3305.799317025398 1.128986656379467 
horror 	 3818.937075484948 1.128986656379467 
stories 	 2525.4963112581077 1.128986656379467 
involving 	 2314.961835656964 1.128986656379467 
originate 	 4264.887845032657 1.128986656379467 
downloaded 	 4618.8588844110855 1.128986656379467 
drove 	 4618.8588844110855 1.128986656379467 
straight 	 4013.7413957822528 1.128986656379467 
fixture' 	 5223.976373039917 1.128986656379467 
touched 	 4618.8588844110855 1.128986656379467 
hand' 	 5223.976373039917 1.128986656379467 
final 	 2071.6450353015093 1.128986656379467 
source 	 2145.4636350500086 1.128986656379467 
error 	 2920.0793242857967 1.128986656379467 
simple 	 2284.3271134617257 1.128986656379467 
logistic 	 4618.8588844110855 1.128986656379467 
finished 	 3659.770356403825 1.128986656379467 
redesigned 	 4618.8588844110855 1.128986656379467 
turntables 	 5223.976373039917 1.128986656379467 
introduced 	 1350.3409141982827 1.4432617078473722 
removed 	 3130.61379988694 1.128986656379467 
additional 	 2171.52527187968 1.128986656379467 
inserted 	 5223.976373039917 1.128986656379467 
late 	 2025.6870559687359 1.128986656379467 
simulate 	 3525.196812914629 1.128986656379467 
office 	 715.9171198808256 1.4432617078473722 
simplest 	 4264.887845032657 1.128986656379467 
avoid 	 2379.6580953471635 1.128986656379467 
situation 	 1694.392616220355 1.128986656379467 
following 	 1285.9960238507072 1.128986656379467 
person 	 1679.2096248328933 1.128986656379467 
responsible 	 1940.4486720394373 1.128986656379467 
start 	 941.6714914631683 1.128986656379467 
finish 	 1909.468537742474 1.4432617078473722 
smoothly 	 3818.937075484948 1.128986656379467 
changes 	 721.6230834849752 1.4432617078473722 
goes 	 2314.961835656964 1.128986656379467 
minute 	 3054.6528677749934 1.128986656379467 
immediately 	 2379.6580953471635 1.128986656379467 
microcomputer 	 4264.887845032657 1.128986656379467 
packages 	 3408.6239071534205 1.128986656379467 
run 	 2003.5846095984507 1.128986656379467 
notebooks 	 5223.976373039917 1.128986656379467 
mean 	 2700.6818283965654 1.128986656379467 
excuse 	 4264.887845032657 1.128986656379467 
leaving 	 2750.5811236788404 1.128986656379467 
design 	 1635.1834896166165 1.128986656379467 
inaccuracies 	 5223.976373039917 1.128986656379467 
worth 	 2750.5811236788404 1.128986656379467 
answer 	 2700.6818283965654 1.128986656379467 
spend 	 2920.0793242857967 1.128986656379467 
money 	 1649.6135702200233 1.128986656379467 
technology 	 817.5917448083082 1.4432617078473722 
savings 	 2525.4963112581077 1.128986656379467 
dollars 	 3054.6528677749934 1.128986656379467 
cents 	 4618.8588844110855 1.128986656379467 
revolutionary 	 2566.1082849073687 1.128986656379467 
enable 	 3130.61379988694 1.128986656379467 
build 	 2700.6818283965654 1.128986656379467 
quicker 	 4618.8588844110855 1.128986656379467 
cost 	 1774.5406067183312 1.128986656379467 
rest 	 2700.6818283965654 1.128986656379467 
implementing 	 2984.7755839759957 1.128986656379467 
tomorrow 	 4264.887845032657 1.128986656379467 
john 	 1862.797516747036 1.128986656379467 
owens 	 4264.887845032657 1.128986656379467 
technical 	 2226.1055435243843 1.128986656379467 
director 	 2071.6450353015093 1.128986656379467 
line_col 	 1762.5984064573145 1.4432617078473722 
gif 	 100.5642489038524 1.5908789089820932 
home 	 194.94177896636742 1.4432617078473722 
index 	 189.8164754631952 1.4432617078473722 
htm 	 286.3702388433065 1.4432617078473722 
return 	 1325.2385854544655 1.128986656379467 
page 	 428.5337330036184 1.128986656379467 
registered 	 2566.1082849073687 1.128986656379467 
trademarks 	 3408.6239071534205 1.128986656379467 
copyright 	 680.8785352218748 1.128986656379467 
revision 	 3130.61379988694 1.128986656379467 
april 	 1826.4172527893402 1.128986656379467 
