term 	 tf-idf weight 	 BM25 ranking 
 pictures 	 2883.790107485773 1.115079877279903 
artist 	 3070.250257056637 1.115079877279903 
left 	 977.5959321216749 1.4318475560294064 
wing 	 3305.8533665484442 1.115079877279903 
magazine 	 926.0069804887803 1.5816138519278298 
cambio 	 4751.128611914266 1.115079877279903 
june 	 1878.7201523537544 1.115079877279903 
sentenced 	 1101.9511221828145 1.5816138519278298 
apologist 	 5373.574780057097 1.115079877279903 
terrorism 	 1047.3762028491576 1.5816138519278298 
crime 	 726.9574069465344 1.5816138519278298 
peru's 	 5373.574780057097 1.115079877279903 
legislation 	 2107.0224086228027 1.115079877279903 
peruvian 	 4387.020944833134 1.115079877279903 
confront 	 3506.2362756286043 1.115079877279903 
accuser 	 5373.574780057097 1.115079877279903 
attorney 	 2519.682440404642 1.115079877279903 
review 	 1211.588148626884 1.115079877279903 
evidence 	 2038.7870641566287 1.115079877279903 
challenge 	 2597.8186569413297 1.115079877279903 
government's 	 1241.5121446627263 1.4318475560294064 
judges 	 1652.9266832742221 1.4318475560294064 
hooded 	 5373.574780057097 1.115079877279903 
faceless 	 4751.128611914266 1.115079877279903 
security 	 519.4753508989241 1.5816138519278298 
officials 	 1053.5112043114013 1.4318475560294064 
limited 	 1897.236272261811 1.115079877279903 
training 	 1935.4548060098896 1.115079877279903 
iran 	 1364.7342883828167 1.4318475560294064 
tunisia 	 5373.574780057097 1.115079877279903 
consider 	 2557.9009741527207 1.115079877279903 
publication 	 2883.790107485773 1.115079877279903 
stories 	 1298.9093284706648 1.4318475560294064 
armed 	 1414.6745985473074 1.4318475560294064 
insurgents 	 2686.7873900285485 1.4318475560294064 
violation 	 2829.3491970946147 1.115079877279903 
special 	 742.2881202399859 1.4318475560294064 
tribunals 	 4751.128611914266 1.115079877279903 
unidentified 	 4128.682443771435 1.115079877279903 
accusers 	 5373.574780057097 1.115079877279903 
anonymous 	 3928.299534691275 1.115079877279903 
including 	 262.8119148314585 1.5816138519278298 
united 	 1238.1319530397911 1.115079877279903 
kingdom 	 2941.745699467312 1.115079877279903 
prosecuting 	 4751.128611914266 1.115079877279903 
alleged 	 2941.745699467312 1.115079877279903 
terrorist 	 3506.2362756286043 1.115079877279903 
offenses 	 1964.1497673456374 1.4318475560294064 
ivory 	 5373.574780057097 1.115079877279903 
coast 	 3003.701298062595 1.115079877279903 
cote 	 4751.128611914266 1.115079877279903 
ivoire 	 4751.128611914266 1.115079877279903 
abou 	 4751.128611914266 1.115079877279903 
drahamane 	 4751.128611914266 1.115079877279903 
sangare 	 5373.574780057097 1.115079877279903 
emmanuel 	 4751.128611914266 1.115079877279903 
kore 	 4128.682443771435 1.115079877279903 
opposition 	 2017.1474628386325 1.115079877279903 
voie 	 5373.574780057097 1.115079877279903 
suggesting 	 2941.745699467312 1.115079877279903 
print 	 2639.593630981463 1.115079877279903 
president 	 760.3711009529209 1.4318475560294064 
henri 	 4128.682443771435 1.115079877279903 
konan 	 4751.128611914266 1.115079877279903 
bedie's 	 4751.128611914266 1.115079877279903 
attendance 	 3626.1474662054256 1.115079877279903 
african 	 1319.7968154907314 1.4318475560294064 
champions 	 4387.020944833134 1.115079877279903 
cup 	 4128.682443771435 1.115079877279903 
final 	 2130.9704945025833 1.115079877279903 
brought 	 2349.7431247292434 1.115079877279903 
bad 	 2941.745699467312 1.115079877279903 
luck 	 3928.299534691275 1.115079877279903 
losing 	 2883.790107485773 1.115079877279903 
national 	 255.8736941043205 1.6688941249896676 
soccer 	 4751.128611914266 1.115079877279903 
team 	 2557.9009741527207 1.115079877279903 
offending 	 5373.574780057097 1.115079877279903 
chief 	 977.5959321216749 1.4318475560294064 
remain 	 2261.3439393429426 1.115079877279903 
central 	 1571.347138928758 1.115079877279903 
republic 	 1774.989579718338 1.115079877279903 
cameroon 	 5373.574780057097 1.115079877279903 
libel 	 4128.682443771435 1.115079877279903 
slander 	 4128.682443771435 1.115079877279903 
reporters 	 785.5321521368683 1.6688941249896676 
write 	 1825.3579207709754 1.115079877279903 
unflattering 	 5373.574780057097 1.115079877279903 
elected 	 2639.593630981463 1.115079877279903 
spiritual 	 2729.4685767656333 1.115079877279903 
leaders 	 1860.5781211826218 1.115079877279903 
businessmen 	 3928.299534691275 1.115079877279903 
gao 	 5373.574780057097 1.115079877279903 
free 	 1136.3627936341022 1.115079877279903 
lance 	 4128.682443771435 1.115079877279903 
journalist 	 735.436424866828 1.6688941249896676 
hong 	 1753.1181378143021 1.4318475560294064 
kong 	 1753.1181378143021 1.4318475560294064 
oct 	 3305.8533665484442 1.115079877279903 
tried 	 2778.0209414663414 1.115079877279903 
counsel 	 3305.8533665484442 1.115079877279903 
leaking 	 4387.020944833134 1.115079877279903 
secrets 	 1571.0643042737365 1.4318475560294064 
china's 	 3626.1474662054256 1.115079877279903 
structural 	 2557.9009741527207 1.115079877279903 
reforms 	 2597.8186569413297 1.115079877279903 
articles 	 1065.4852472512916 1.4318475560294064 
beijing 	 3764.5747766903037 1.115079877279903 
mirror 	 3506.2362756286043 1.115079877279903 
monthly 	 2829.3491970946147 1.115079877279903 
rely 	 3305.8533665484442 1.115079877279903 
similarly 	 3400.467109609172 1.115079877279903 
arbitrary 	 1882.2873883451518 1.4318475560294064 
vague 	 4751.128611914266 1.115079877279903 
definitions 	 2729.4685767656333 1.115079877279903 
nosa 	 4751.128611914266 1.115079877279903 
igiebor 	 4751.128611914266 1.115079877279903 
nigeria's 	 4387.020944833134 1.115079877279903 
tell 	 2729.4685767656333 1.115079877279903 
arrested 	 2778.0209414663414 1.115079877279903 
service 	 1363.1892895052806 1.115079877279903 
home 	 401.04860827445117 1.115079877279903 
lagos 	 5373.574780057097 1.115079877279903 
authorities 	 773.099843774827 1.5816138519278298 
demanded 	 3142.128608547473 1.115079877279903 
reveal 	 3400.467109609172 1.115079877279903 
sources 	 522.4809670718869 1.4318475560294064 
critical 	 1758.8089617769328 1.115079877279903 
receiving 	 1470.872849733656 1.4318475560294064 
financial 	 1508.5243263597526 1.115079877279903 
support 	 623.5785773181176 1.4318475560294064 
outsiders 	 4751.128611914266 1.115079877279903 
igiebor's 	 5373.574780057097 1.115079877279903 
arrest 	 2683.407198405613 1.115079877279903 
detention 	 1964.1497673456374 1.4318475560294064 
numerous 	 2233.7109898601975 1.115079877279903 
deny 	 1964.1497673456374 1.4318475560294064 
detained 	 1753.1181378143021 1.4318475560294064 
iraq 	 4128.682443771435 1.115079877279903 
libya 	 4387.020944833134 1.115079877279903 
western 	 1584.456860808953 1.115079877279903 
sahara 	 4387.020944833134 1.115079877279903 
zambia 	 5373.574780057097 1.115079877279903 
charges 	 1144.9271352147177 1.4318475560294064 
holding 	 2447.8040889138065 1.115079877279903 
difficult 	 2233.7109898601975 1.115079877279903 
confirm 	 3626.1474662054256 1.115079877279903 
campaign 	 1996.0170761642778 1.115079877279903 
ensnares 	 5373.574780057097 1.115079877279903 
american 	 497.82379191123147 1.4318475560294064 
prosecuted 	 1753.1181378143021 1.4318475560294064 
nationals 	 4128.682443771435 1.115079877279903 
publications 	 1667.4081022866048 1.115079877279903 
broadcast 	 3305.8533665484442 1.115079877279903 
outlets 	 3928.299534691275 1.115079877279903 
exception 	 3070.250257056637 1.115079877279903 
aliza 	 4751.128611914266 1.115079877279903 
marcus 	 1187.7821529785665 1.6688941249896676 
reuters' 	 5373.574780057097 1.115079877279903 
istanbul 	 4751.128611914266 1.115079877279903 
bureau 	 2829.3491970946147 1.115079877279903 
august 	 2083.6964218326743 1.115079877279903 
allegedly 	 3305.8533665484442 1.115079877279903 
contravening 	 5373.574780057097 1.115079877279903 
incite 	 5373.574780057097 1.115079877279903 
racial 	 2778.0209414663414 1.115079877279903 
hatred 	 3400.467109609172 1.115079877279903 
marcus' 	 5373.574780057097 1.115079877279903 
real 	 1791.4671062423786 1.115079877279903 
forced 	 1298.9093284706648 1.4318475560294064 
evacuation 	 4387.020944833134 1.115079877279903 
villages 	 3764.5747766903037 1.115079877279903 
military 	 1624.9750116908149 1.115079877279903 
faced 	 3305.8533665484442 1.115079877279903 
story 	 2060.961030262782 1.115079877279903 
contested 	 4128.682443771435 1.115079877279903 
dropped 	 4128.682443771435 1.115079877279903 
trial 	 2261.3439393429426 1.115079877279903 
prompted 	 3928.299534691275 1.115079877279903 
protests 	 3400.467109609172 1.115079877279903 
prominent 	 2683.407198405613 1.115079877279903 
foreign 	 1363.1892895052806 1.115079877279903 
honorary 	 3928.299534691275 1.115079877279903 
chairman 	 2180.8722208396034 1.115079877279903 
walter 	 3506.2362756286043 1.115079877279903 
cronkite 	 4387.020944833134 1.115079877279903 
discussed 	 1774.989579718338 1.115079877279903 
ankara 	 4751.128611914266 1.115079877279903 
tansu 	 5373.574780057097 1.115079877279903 
ciller 	 5373.574780057097 1.115079877279903 
believe 	 2319.2995313244814 1.115079877279903 
international 	 403.86271620896133 1.5816138519278298 
pressure 	 2261.3439393429426 1.115079877279903 
difference 	 2413.913274385209 1.115079877279903 
level 	 1332.7456961005191 1.115079877279903 
award 	 2729.4685767656333 1.115079877279903 
club 	 1441.8950537428866 1.4318475560294064 
refusal 	 3003.701298062595 1.115079877279903 
renew 	 4751.128611914266 1.115079877279903 
accreditation 	 4387.020944833134 1.115079877279903 
reuters 	 2639.593630981463 1.115079877279903 
cyprus 	 4751.128611914266 1.115079877279903 
information 	 186.47973204952285 1.6688941249896676 
drawn 	 3003.701298062595 1.115079877279903 
firsthand 	 4751.128611914266 1.115079877279903 
full 	 1545.6882504739958 1.115079877279903 
time 	 428.120763323345 1.4318475560294064 
professional 	 1808.2526416872918 1.115079877279903 
single 	 1935.4548060098896 1.115079877279903 
authoritative 	 4751.128611914266 1.115079877279903 
comprehensive 	 2017.1474628386325 1.115079877279903 
assessment 	 2349.7431247292434 1.115079877279903 
status 	 1484.5762404799718 1.115079877279903 
writers 	 2597.8186569413297 1.115079877279903 
examine 	 3305.8533665484442 1.115079877279903 
offer 	 2180.8722208396034 1.115079877279903 
detailed 	 1897.236272261811 1.115079877279903 
harassment 	 3220.2648250841603 1.115079877279903 
physical 	 1696.8533631816506 1.115079877279903 
assaults 	 4387.020944833134 1.115079877279903 
editors 	 3400.467109609172 1.115079877279903 
broadcasters 	 5373.574780057097 1.115079877279903 
features 	 2447.8040889138065 1.115079877279903 
insightful 	 4751.128611914266 1.115079877279903 
commentaries 	 4128.682443771435 1.115079877279903 
murders 	 1753.1181378143021 1.4318475560294064 
russia 	 1791.4671062423786 1.115079877279903 
examines 	 1202.9117526281443 1.115079877279903 
broader 	 3506.2362756286043 1.115079877279903 
crises 	 3400.467109609172 1.115079877279903 
cuba 	 3070.250257056637 1.115079877279903 
kashmir 	 5373.574780057097 1.115079877279903 
christian 	 2206.903028951784 1.115079877279903 
science 	 982.0412629139621 1.115079877279903 
monitor 	 2883.790107485773 1.115079877279903 
correspondent 	 3305.8533665484442 1.115079877279903 
david 	 2261.3439393429426 1.115079877279903 
rohde 	 4387.020944833134 1.115079877279903 
writes 	 3928.299534691275 1.115079877279903 
ordeal 	 4751.128611914266 1.115079877279903 
prisoner 	 4128.682443771435 1.115079877279903 
bosnian 	 2883.790107485773 1.115079877279903 
serbs 	 3003.701298062595 1.115079877279903 
palestinian 	 4387.020944833134 1.115079877279903 
imad 	 5373.574780057097 1.115079877279903 
musa 	 5373.574780057097 1.115079877279903 
discusses 	 1211.588148626884 1.115079877279903 
arafat 	 5373.574780057097 1.115079877279903 
russian 	 1842.7953618706524 1.115079877279903 
reporter 	 3070.250257056637 1.115079877279903 
masha 	 5373.574780057097 1.115079877279903 
gessen 	 5373.574780057097 1.115079877279903 
homophobic 	 5373.574780057097 1.115079877279903 
gay 	 3764.5747766903037 1.115079877279903 
lesbian 	 4128.682443771435 1.115079877279903 
past 	 515.2294168246652 1.5816138519278298 
killed 	 649.4546642353324 1.6688941249896676 
includes 	 1229.1965559336459 1.115079877279903 
complete 	 1996.0170761642778 1.115079877279903 
line 	 730.6251268449217 1.4318475560294064 
duty 	 1206.9566371926046 1.4318475560294064 
deaths 	 1133.4890365363906 1.5816138519278298 
bore 	 5373.574780057097 1.115079877279903 
signs 	 3142.128608547473 1.115079877279903 
deliberate 	 4128.682443771435 1.115079877279903 
assassinations 	 2375.564305957133 1.4318475560294064 
crimes 	 2261.3439393429426 1.115079877279903 
death 	 812.4875058454074 1.4318475560294064 
tolls 	 4128.682443771435 1.115079877279903 
decade 	 2413.913274385209 1.115079877279903 
killings 	 3764.5747766903037 1.115079877279903 
radical 	 2883.790107485773 1.115079877279903 
islamist 	 5373.574780057097 1.115079877279903 
factions 	 3626.1474662054256 1.115079877279903 
yugoslavia 	 2778.0209414663414 1.115079877279903 
cross 	 2447.8040889138065 1.115079877279903 
fire 	 2519.682440404642 1.115079877279903 
hands 	 2639.593630981463 1.115079877279903 
assassins 	 4387.020944833134 1.115079877279903 
colombia 	 4128.682443771435 1.115079877279903 
coverage 	 2155.5747733235103 1.115079877279903 
drug 	 2349.7431247292434 1.115079877279903 
trafficking 	 3764.5747766903037 1.115079877279903 
tajikistan 	 4387.020944833134 1.115079877279903 
victims 	 2557.9009741527207 1.115079877279903 
squads 	 4751.128611914266 1.115079877279903 
philippines 	 4387.020944833134 1.115079877279903 
dead 	 3003.701298062595 1.115079877279903 
targeted 	 3626.1474662054256 1.115079877279903 
exposing 	 3764.5747766903037 1.115079877279903 
corruption 	 2639.593630981463 1.115079877279903 
rocky 	 4387.020944833134 1.115079877279903 
transition 	 2683.407198405613 1.115079877279903 
january 	 2083.6964218326743 1.115079877279903 
cpj' 	 5373.574780057097 1.115079877279903 
murdered 	 3220.2648250841603 1.115079877279903 
algerian 	 4387.020944833134 1.115079877279903 
resulted 	 2729.4685767656333 1.115079877279903 
combat 	 3305.8533665484442 1.115079877279903 
assignments 	 4128.682443771435 1.115079877279903 
responds 	 4128.682443771435 1.115079877279903 
abuses 	 3400.467109609172 1.115079877279903 
headquarters 	 3220.2648250841603 1.115079877279903 
york 	 1484.5762404799718 1.115079877279903 
directs 	 3764.5747766903037 1.115079877279903 
campaigns 	 2597.8186569413297 1.115079877279903 
protest 	 2778.0209414663414 1.115079877279903 
repressive 	 3928.299534691275 1.115079877279903 
governments 	 2261.3439393429426 1.115079877279903 
provides 	 1597.7608078440094 1.115079877279903 
practical 	 2180.8722208396034 1.115079877279903 
safety 	 2038.7870641566287 1.115079877279903 
assigned 	 3220.2648250841603 1.115079877279903 
dangerous 	 2778.0209414663414 1.115079877279903 
nonpartisan 	 4387.020944833134 1.115079877279903 
nonprofit 	 2107.0224086228027 1.115079877279903 
organization 	 1313.0086378670587 1.115079877279903 
financed 	 3764.5747766903037 1.115079877279903 
wholly 	 3928.299534691275 1.115079877279903 
donations 	 4387.020944833134 1.115079877279903 
individuals 	 2038.7870641566287 1.115079877279903 
private 	 1727.2969565864125 1.115079877279903 
foundations 	 3142.128608547473 1.115079877279903 
organizations 	 1935.4548060098896 1.115079877279903 
released 	 2557.9009741527207 1.115079877279903 
conference 	 2017.1474628386325 1.115079877279903 
wide 	 1916.1422337214644 1.115079877279903 
web 	 1842.7953618706524 1.115079877279903 
edition 	 3142.128608547473 1.115079877279903 
available 	 1405.455914255752 1.115079877279903 
purchase 	 2729.4685767656333 1.115079877279903 
copy 	 2883.790107485773 1.115079877279903 
x350 	 5373.574780057097 1.115079877279903 
freely 	 3070.250257056637 1.115079877279903 
copied 	 3506.2362756286043 1.115079877279903 
distributed 	 2829.3491970946147 1.115079877279903 
provided 	 2060.961030262782 1.115079877279903 
properly 	 2883.790107485773 1.115079877279903 
attributed 	 3070.250257056637 1.115079877279903 
