term 	 tf-idf weight 	 BM25 ranking 
 cmu 	 983.8953707874022 1.6819172276427024 
command 	 121.94386692838164 1.9388865670289008 
arbitration 	 864.1375921692218 1.6819172276427024 
module 	 1045.4593342920832 1.6819172276427024 
combines 	 522.7296671460416 1.8272189445383344 
inputs 	 1132.2288674272304 1.6819172276427024 
single 	 461.2331052183924 1.6819172276427024 
direction 	 600.4588443725984 1.6819172276427024 
framework 	 687.2283775077456 1.6819172276427024 
provide 	 362.40404366130304 1.6819172276427024 
specific 	 230.83356148123482 1.6819172276427024 
knowledge 	 465.9365912562103 1.6819172276427024 
controlling 	 835.5618741475739 1.6819172276427024 
runs 	 810.3563045171078 1.6819172276427024 
completely 	 731.6632015702899 1.6819172276427024 
asynchronously 	 1280.5623640670588 1.6819172276427024 
providing 	 439.151678664053 1.6819172276427024 
votes 	 182.91580039257246 1.9097093435387418 
appropriate 	 256.8446556187256 1.8272189445383344 
arbiter 	 320.1405910167647 1.9097093435387418 
rate 	 461.2331052183924 1.6819172276427024 
time 	 204.04864888907758 1.6819172276427024 
constraints 	 936.1426508061613 1.6819172276427024 
periodically 	 936.1426508061613 1.6819172276427024 
issues 	 297.2067161382565 1.6819172276427024 
controller 	 432.0687960846109 1.8272189445383344 
allow 	 519.7178789083242 1.6819172276427024 
multiple 	 639.4756575265047 1.6819172276427024 
considerations 	 591.7229375452638 1.6819172276427024 
affect 	 480.701065754418 1.6819172276427024 
actions 	 230.6165526091962 1.8272189445383344 
concurrently 	 1280.5623640670588 1.6819172276427024 
scheme 	 936.1426508061613 1.6819172276427024 
set 	 158.80154730819103 1.8272189445383344 
performs 	 936.1426508061613 1.6819172276427024 
select 	 810.3563045171078 1.6819172276427024 
action 	 430.9198945669047 1.6819172276427024 
example 	 377.5877151593719 1.6819172276427024 
radius 	 1132.2288674272304 1.6819172276427024 
discretized 	 1280.5623640670588 1.6819172276427024 
fixed 	 662.0228078772795 1.6819172276427024 
alternatives 	 575.2532747421322 1.6819172276427024 
option 	 575.2532747421322 1.6819172276427024 
varying 	 864.1375921692218 1.6819172276427024 
weights 	 1132.2288674272304 1.6819172276427024 
reflecting 	 650.4524225254405 1.6819172276427024 
relative 	 519.7178789083242 1.6819172276427024 
priority 	 715.8040955293934 1.6819172276427024 
computes 	 1132.2288674272304 1.6819172276427024 
weighted 	 1045.4593342920832 1.6819172276427024 
sum 	 897.125837652255 1.6819172276427024 
received 	 430.9198945669047 1.6819172276427024 
choice 	 496.56017179531443 1.6819172276427024 
value 	 404.3726277515292 1.6819172276427024 
selected 	 559.9610564499534 1.6819172276427024 
issued 	 600.4588443725984 1.6819172276427024 
designed 	 404.3726277515292 1.6819172276427024 
various 	 130.72857101016947 1.8272189445383344 
easily 	 650.4524225254405 1.6819172276427024 
added 	 525.9212117992003 1.6819172276427024 
removed 	 767.4127756882075 1.6819172276427024 
depending 	 619.0792790483791 1.6819172276427024 
current 	 301.5742146673348 1.6819172276427024 
hand 	 519.7178789083242 1.6819172276427024 
include 	 365.35581459762295 1.6819172276427024 
interfaces 	 1132.2288674272304 1.6819172276427024 
alvinn 	 1280.5623640670588 1.6819172276427024 
ganesha 	 1280.5623640670588 1.6819172276427024 
mapping 	 897.125837652255 1.6819172276427024 
stripe 	 1280.5623640670588 1.6819172276427024 
teleoperation 	 1132.2288674272304 1.6819172276427024 
details 	 567.470598889565 1.6819172276427024 
subsystems 	 1045.4593342920832 1.6819172276427024 
available 	 167.46523699929338 1.8272189445383344 
samplers 	 1280.5623640670588 1.6819172276427024 
reprints 	 1280.5623640670588 1.6819172276427024 
