term 	 tf-idf weight 	 BM25 ranking 
 car 	 133.0110532997893 1.9129377623486856 
running 	 337.416266197253 1.833139163594296 
engine 	 100.54073952943938 1.955500320762037 
firewall 	 1089.9025546262126 1.6919768291488704 
core 	 637.2742916949513 1.6919768291488704 
dash 	 1006.3767423559307 1.6919768291488704 
swollen 	 1232.6908738215614 1.6919768291488704 
cracked 	 616.3454369107807 1.833139163594296 
start 	 222.20426946324474 1.6919768291488704 
minutes 	 337.416266197253 1.833139163594296 
cool 	 390.03130544515005 1.833139163594296 
clogged 	 1232.6908738215614 1.6919768291488704 
belts 	 616.3454369107807 1.833139163594296 
wear 	 804.325916235515 1.6919768291488704 
worn 	 947.1142354308638 1.6919768291488704 
glazed 	 1232.6908738215614 1.6919768291488704 
adjust 	 758.3583446647879 1.6919768291488704 
loose 	 473.5571177154319 1.833139163594296 
note 	 561.522986989136 1.6919768291488704 
engines 	 780.0626108903001 1.6919768291488704 
ribbed 	 1232.6908738215614 1.6919768291488704 
belt 	 300.3822212867122 1.8855773320498757 
drives 	 1089.9025546262126 1.6919768291488704 
accessories 	 831.8333831161667 1.6919768291488704 
grooves 	 1232.6908738215614 1.6919768291488704 
excessive 	 369.36222381254845 1.833139163594296 
chunking 	 1232.6908738215614 1.6919768291488704 
thermostat 	 616.3454369107807 1.833139163594296 
operation 	 488.841783816851 1.6919768291488704 
feel 	 661.5375970401662 1.6919768291488704 
warm 	 863.5884231605819 1.6919768291488704 
surging 	 1089.9025546262126 1.6919768291488704 
upper 	 586.7790653401564 1.6919768291488704 
beware 	 1232.6908738215614 1.6919768291488704 
runs 	 780.0626108903001 1.6919768291488704 
hot 	 369.36222381254845 1.833139163594296 
bolts 	 1232.6908738215614 1.6919768291488704 
housing 	 615.5700254694391 1.6919768291488704 
exterior 	 1089.9025546262126 1.6919768291488704 
oil 	 512.4103161594662 1.6919768291488704 
hide 	 947.1142354308638 1.6919768291488704 
insulate 	 1232.6908738215614 1.6919768291488704 
causing 	 674.832532394506 1.6919768291488704 
run 	 472.7817062740903 1.6919768291488704 
button 	 246.46757480845972 1.6919768291488704 
bar 	 396.23961364899884 1.6919768291488704 
tips2_buttons 	 503.18837117796534 1.833139163594296 
x98 	 503.18837117796534 1.833139163594296 
maps 	 720.8001039652332 1.6919768291488704 
map 	 546.2567447254692 1.6919768291488704 
care 	 203.5901188318361 1.833139163594296 
council 	 477.99717471885407 1.6919768291488704 
html 	 16.18951116726495 1.9297384975162506 
mainttips 	 947.1142354308638 1.6919768291488704 
industry 	 162.45335444256256 1.833139163594296 
news 	 375.9609586494688 1.6919768291488704 
quiz 	 947.1142354308638 1.6919768291488704 
ccquiz 	 1006.3767423559307 1.6919768291488704 
service 	 312.71380137871694 1.6919768291488704 
department 	 396.23961364899884 1.6919768291488704 
cgi 	 637.2742916949513 1.6919768291488704 
ais 	 863.5884231605819 1.6919768291488704 
secure 	 637.2742916949513 1.6919768291488704 
home 	 46.00000740787135 1.833139163594296 
page 	 101.12021649340824 1.6919768291488704 
autoshop 	 450.5733319300683 1.833139163594296 
mini 	 780.0626108903001 1.6919768291488704 
logo 	 512.4103161594662 1.6919768291488704 
autoshop_logo_small 	 947.1142354308638 1.6919768291488704 
copyright 	 160.66549628374136 1.6919768291488704 
automotive 	 738.7244476250969 1.6919768291488704 
information 	 171.11280535501874 1.6919768291488704 
systems 	 324.9067088851251 1.6919768291488704 
mailto 	 149.64682718383824 1.6919768291488704 
webmaster 	 738.7244476250969 1.6919768291488704 
online 	 674.832532394506 1.6919768291488704 
com 	 49.715841224673724 1.833139163594296 
site 	 410.9601602293207 1.6919768291488704 
created 	 382.5011905022724 1.6919768291488704 
periscope 	 901.1466638601366 1.6919768291488704 
marketing 	 483.34812491792576 1.6919768291488704 
communications 	 220.6839673599345 1.6919768291488704 
http 	 90.38432025877135 1.6919768291488704 
www 	 89.58120033314596 1.6919768291488704 
mpls 	 901.1466638601366 1.6919768291488704 
modified 	 615.5700254694391 1.6919768291488704 
january 	 477.99717471885407 1.6919768291488704 
