term 	 tf-idf weight 	 BM25 ranking 
 italy 	 198.8708952249277 1.8725758077861772 
total 	 508.0682049826541 1.672748920333066 
exchange 	 4202.615529804093 0.7796986419535596 
rates 	 2317.0351190954843 1.1219901757488229 
future 	 896.1426249865822 1.3143213523459647 
inflation 	 5923.780622348391 0.7796986419535596 
assumed 	 4515.95981395382 0.7796986419535596 
year's 	 6519.67295340456 0.7796986419535596 
usa 	 3817.0272399148266 0.7796986419535596 
major 	 1186.1674353588216 1.1219901757488229 
competitors 	 8651.908789865793 0.7796986419535596 
france 	 2317.0351190954843 1.1219901757488229 
germany 	 1005.2037557409213 1.4375319749104702 
receptivity 	 4684.993748162676 1.1219901757488229 
score 	 8142.423839553689 0.7796986419535596 
lowest 	 7424.345133094129 0.7796986419535596 
sources 	 2060.8325004104936 0.7796986419535596 
boating 	 1441.9847983109655 1.5862328514592021 
association 	 859.3268394405064 1.4375319749104702 
national 	 504.62395574471225 1.4375319749104702 
marine 	 1629.91823835114 1.4375319749104702 
manufacturers 	 793.8598281213875 1.672748920333066 
naval 	 2383.7814263733517 1.3143213523459647 
register 	 1974.5935407827972 1.3143213523459647 
specialized 	 3175.43931248555 1.1219901757488229 
press 	 2881.8198210297473 0.7796986419535596 
industry 	 698.3128415480055 1.4375319749104702 
operators 	 7747.236610176223 0.7796986419535596 
cyclic 	 10597.551153097014 0.7796986419535596 
contributed 	 2116.9595416570337 1.3143213523459647 
boost 	 3457.4300913910124 1.1219901757488229 
momentum 	 9369.987496325351 0.7796986419535596 
brief 	 3437.3073577620257 0.7796986419535596 
inductive 	 10597.551153097014 0.7796986419535596 
personal 	 1266.3175890362281 1.1219901757488229 
income 	 2125.5695565456217 1.1219901757488229 
resident 	 3712.1725665470644 1.1219901757488229 
substantial 	 5478.702769862906 0.7796986419535596 
addition 	 1312.1552494012385 1.3143213523459647 
value 	 1673.233466700837 1.1219901757488229 
added 	 4352.366664001793 0.7796986419535596 
time 	 844.3227971555056 1.1219901757488229 
doubled 	 8142.423839553689 0.7796986419535596 
tons 	 1484.8690266188257 1.5232075279131518 
limited 	 3741.6541627791394 0.7796986419535596 
meters 	 2116.9595416570337 1.3143213523459647 
length 	 6055.025841032632 0.7796986419535596 
category 	 5205.7019158888315 0.7796986419535596 
created 	 3288.396157182157 0.7796986419535596 
pay 	 3855.951883713778 0.7796986419535596 
reduced 	 2691.474860496624 1.1219901757488229 
vat 	 2342.496874081338 1.4375319749104702 
consistent 	 6519.67295340456 0.7796986419535596 
levels 	 4064.5456398612328 0.7796986419535596 
applied 	 2150.5148680996313 1.1219901757488229 
ton 	 9369.987496325351 0.7796986419535596 
hulls 	 4684.993748162676 1.1219901757488229 
understandable 	 8651.908789865793 0.7796986419535596 
positively 	 9369.987496325351 0.7796986419535596 
influenced 	 5044.59089668649 0.7796986419535596 
chalked 	 5298.775576548507 1.1219901757488229 
amazing 	 4684.993748162676 1.1219901757488229 
experiencing 	 8142.423839553689 0.7796986419535596 
slightly 	 2961.8903111741956 1.1219901757488229 
weaker 	 8651.908789865793 0.7796986419535596 
factors 	 663.438707929216 1.5232075279131518 
decline 	 5292.109296632896 0.7796986419535596 
economy 	 891.5410435490517 1.4375319749104702 
slower 	 8651.908789865793 0.7796986419535596 
reluctance 	 7424.345133094129 0.7796986419535596 
consumers 	 5687.296526010362 0.7796986419535596 
additional 	 2202.618130869939 1.1219901757488229 
debt 	 5579.930320773456 0.7796986419535596 
skyrocketing 	 9369.987496325351 0.7796986419535596 
mooring 	 4684.993748162676 1.1219901757488229 
taxes 	 5292.109296632896 0.7796986419535596 
lack 	 3855.951883713778 0.7796986419535596 
adequate 	 6055.025841032632 0.7796986419535596 
infrastructure 	 5923.780622348391 0.7796986419535596 
support 	 2459.5938985086555 0.7796986419535596 
discretionary 	 8651.908789865793 0.7796986419535596 
purchase 	 5382.949720993248 0.7796986419535596 
postponed 	 6350.8786249711 0.7796986419535596 
canceled 	 8142.423839553689 0.7796986419535596 
weakens 	 10597.551153097014 0.7796986419535596 
declines 	 10597.551153097014 0.7796986419535596 
introduction 	 3634.287957542233 0.7796986419535596 
outrageously 	 10597.551153097014 0.7796986419535596 
expensive 	 2961.8903111741956 1.1219901757488229 
differentiated 	 9369.987496325351 0.7796986419535596 
meter 	 7424.345133094129 0.7796986419535596 
heavily 	 6519.67295340456 0.7796986419535596 
dampen 	 10597.551153097014 0.7796986419535596 
consumer 	 1417.0463710304145 1.3143213523459647 
purchases 	 3712.1725665470644 1.1219901757488229 
observers 	 3353.133213317285 1.1219901757488229 
indicate 	 6196.781476322466 0.7796986419535596 
affordable 	 3575.6721395600275 1.1219901757488229 
marinas 	 8651.908789865793 0.7796986419535596 
infrastructures 	 10597.551153097014 0.7796986419535596 
badly 	 8142.423839553689 0.7796986419535596 
term 	 1734.3266544025323 1.1219901757488229 
products 	 994.5345647792923 1.4375319749104702 
strongly 	 2173.22431780152 1.3143213523459647 
desired 	 7747.236610176223 0.7796986419535596 
dealers 	 1873.9974992650702 1.5232075279131518 
distributors 	 1561.664582720892 1.5862328514592021 
innovations 	 6706.26642663457 0.7796986419535596 
special 	 1463.911203724961 1.1219901757488229 
features 	 4827.46218426097 0.7796986419535596 
prices 	 1632.3073557518103 1.3143213523459647 
registered 	 2602.8509579444158 1.1219901757488229 
fare 	 8651.908789865793 0.7796986419535596 
near 	 4301.0297361992625 0.7796986419535596 
reach 	 4760.6240634033475 0.7796986419535596 
increases 	 2691.474860496624 1.1219901757488229 
past 	 1016.115030285615 1.3143213523459647 
user 	 4896.922067255431 0.7796986419535596 
profile 	 5478.702769862906 0.7796986419535596 
ago 	 5205.7019158888315 0.7796986419535596 
owner 	 1895.7655086701207 1.3143213523459647 
inhabitants 	 7151.344279120055 0.7796986419535596 
envision 	 9369.987496325351 0.7796986419535596 
sea 	 2125.5695565456217 1.1219901757488229 
faring 	 9369.987496325351 0.7796986419535596 
tradition 	 4515.95981395382 0.7796986419535596 
coupled 	 6350.8786249711 0.7796986419535596 
acceptable 	 5687.296526010362 0.7796986419535596 
weather 	 5205.7019158888315 0.7796986419535596 
round 	 5382.949720993248 0.7796986419535596 
benefit 	 3500.564082050308 0.7796986419535596 
fastest 	 7424.345133094129 0.7796986419535596 
growing 	 3705.1374051430944 0.7796986419535596 
age 	 3437.3073577620257 0.7796986419535596 
reaching 	 5579.930320773456 0.7796986419535596 
maximum 	 2484.6089097754016 1.1219901757488229 
wage 	 5292.109296632896 0.7796986419535596 
earning 	 8142.423839553689 0.7796986419535596 
allowing 	 5205.7019158888315 0.7796986419535596 
consider 	 1681.5302988954968 1.3143213523459647 
sold 	 1859.9767735911519 1.3143213523459647 
official 	 4020.8150229636854 0.7796986419535596 
figure 	 4969.217819550803 0.7796986419535596 
available 	 1385.8922183446196 1.1219901757488229 
amounted 	 5298.775576548507 1.1219901757488229 
units 	 1345.737430248312 1.4375319749104702 
totaling 	 4071.2119197768443 1.1219901757488229 
close 	 4155.386064221585 0.7796986419535596 
amount 	 2101.3077649020465 1.1219901757488229 
estimated 	 1190.1560158508369 1.4375319749104702 
comfortable 	 7424.345133094129 0.7796986419535596 
decreased 	 8142.423839553689 0.7796986419535596 
models 	 4459.732869238698 0.7796986419535596 
segment 	 2173.22431780152 1.3143213523459647 
popular 	 1005.2037557409213 1.4375319749104702 
diesel 	 2035.6059598884221 1.4375319749104702 
engines 	 609.6605842395063 1.7508823007832064 
predominant 	 10597.551153097014 0.7796986419535596 
configurations 	 8651.908789865793 0.7796986419535596 
generalized 	 8142.423839553689 0.7796986419535596 
fuel 	 1974.5935407827972 1.3143213523459647 
considered 	 1223.119470161256 1.3143213523459647 
influencing 	 6706.26642663457 0.7796986419535596 
factor 	 1301.4254789722079 1.4375319749104702 
due 	 1703.253290709653 1.1219901757488229 
low 	 3500.564082050308 0.7796986419535596 
hours 	 4634.070238190969 0.7796986419535596 
navigation 	 7424.345133094129 0.7796986419535596 
dominant 	 5478.702769862906 0.7796986419535596 
criterior 	 10597.551153097014 0.7796986419535596 
safety 	 1005.2037557409213 1.4375319749104702 
reason 	 4155.386064221585 0.7796986419535596 
installation 	 3098.390738161233 1.1219901757488229 
independent 	 3346.466933401674 0.7796986419535596 
standard 	 3778.9397504685007 0.7796986419535596 
gasoline 	 1484.8690266188257 1.5232075279131518 
engine 	 1152.4766971303375 1.5862328514592021 
powered 	 8651.908789865793 0.7796986419535596 
thanks 	 7151.344279120055 0.7796986419535596 
increased 	 1433.6765787330876 1.3143213523459647 
modern 	 2975.0518730324297 0.7796986419535596 
designed 	 1673.233466700837 1.1219901757488229 
increasing 	 2101.3077649020465 1.1219901757488229 
favorable 	 7151.344279120055 0.7796986419535596 
application 	 3048.3450908568448 0.7796986419535596 
prestige 	 3353.133213317285 1.1219901757488229 
performance 	 3978.138259117169 0.7796986419535596 
speed 	 5579.930320773456 0.7796986419535596 
power 	 510.2752187393675 1.5232075279131518 
concentration 	 6519.67295340456 0.7796986419535596 
bulk 	 8142.423839553689 0.7796986419535596 
design 	 1658.59676982304 1.1219901757488229 
criteria 	 6196.781476322466 0.7796986419535596 
course 	 4202.615529804093 0.7796986419535596 
practically 	 10597.551153097014 0.7796986419535596 
fueled 	 4684.993748162676 1.1219901757488229 
luxury 	 5298.775576548507 1.1219901757488229 
item 	 6914.860182782025 0.7796986419535596 
anyway 	 7424.345133094129 0.7796986419535596 
appears 	 5923.780622348391 0.7796986419535596 
sale 	 1794.3165736644162 1.3143213523459647 
commodious 	 10597.551153097014 0.7796986419535596 
outboards 	 10597.551153097014 0.7796986419535596 
keep 	 2077.6930321107925 1.1219901757488229 
offering 	 5044.59089668649 0.7796986419535596 
logistical 	 9369.987496325351 0.7796986419535596 
economical 	 9369.987496325351 0.7796986419535596 
appeal 	 4696.216965576728 0.7796986419535596 
enthusiasts 	 8142.423839553689 0.7796986419535596 
entering 	 5292.109296632896 0.7796986419535596 
weak 	 6914.860182782025 0.7796986419535596 
request 	 2413.731092130485 1.1219901757488229 
moment 	 6196.781476322466 0.7796986419535596 
runabouts 	 10597.551153097014 0.7796986419535596 
regarding 	 1688.1161699699926 1.1219901757488229 
propeller 	 5298.775576548507 1.1219901757488229 
system 	 636.7698401608519 1.3143213523459647 
efficient 	 5687.296526010362 0.7796986419535596 
properly 	 5687.296526010362 0.7796986419535596 
hull 	 2383.7814263733517 1.3143213523459647 
characteristics 	 4251.139113091243 0.7796986419535596 
waterjets 	 10597.551153097014 0.7796986419535596 
penetration 	 8142.423839553689 0.7796986419535596 
segments 	 7747.236610176223 0.7796986419535596 
appropriate 	 4251.139113091243 0.7796986419535596 
larger 	 5687.296526010362 0.7796986419535596 
faster 	 6350.8786249711 0.7796986419535596 
jet 	 5205.7019158888315 0.7796986419535596 
propulsion 	 1587.719656242775 1.4375319749104702 
suited 	 6706.26642663457 0.7796986419535596 
applications 	 4155.386064221585 0.7796986419535596 
coast 	 5923.780622348391 0.7796986419535596 
guard 	 7424.345133094129 0.7796986419535596 
fire 	 2484.6089097754016 1.1219901757488229 
brigades 	 10597.551153097014 0.7796986419535596 
safe 	 5382.949720993248 0.7796986419535596 
approach 	 3599.8985274893066 0.7796986419535596 
populated 	 8651.908789865793 0.7796986419535596 
beaches 	 8142.423839553689 0.7796986419535596 
efficiency 	 4896.922067255431 0.7796986419535596 
secondary 	 3027.512920516316 1.1219901757488229 
importance 	 2101.3077649020465 1.1219901757488229 
respect 	 4202.615529804093 0.7796986419535596 
practical 	 4301.0297361992625 0.7796986419535596 
split 	 5923.780622348391 0.7796986419535596 
foreign 	 448.0713124932911 1.5862328514592021 
shipyards 	 1338.569642332193 1.6345413893037837 
cover 	 4202.615529804093 0.7796986419535596 
renowned 	 4684.993748162676 1.1219901757488229 
names 	 5579.930320773456 0.7796986419535596 
abbate 	 10597.551153097014 0.7796986419535596 
azimut 	 10597.551153097014 0.7796986419535596 
baglietto 	 10597.551153097014 0.7796986419535596 
rio 	 9369.987496325351 0.7796986419535596 
riva 	 9369.987496325351 0.7796986419535596 
remaining 	 6706.26642663457 0.7796986419535596 
artisan 	 10597.551153097014 0.7796986419535596 
enterprises 	 6914.860182782025 0.7796986419535596 
average 	 2691.474860496624 1.1219901757488229 
export 	 1826.234256620969 1.3143213523459647 
billing 	 7424.345133094129 0.7796986419535596 
exceeds 	 8142.423839553689 0.7796986419535596 
exclusively 	 6350.8786249711 0.7796986419535596 
technology 	 3317.19353964608 0.7796986419535596 
style 	 4352.366664001793 0.7796986419535596 
world 	 654.5255645692583 1.3143213523459647 
famous 	 5801.594246945 0.7796986419535596 
line 	 1440.9099105148737 1.1219901757488229 
vessel 	 9369.987496325351 0.7796986419535596 
interiors 	 9369.987496325351 0.7796986419535596 
main 	 3177.6726049682147 0.7796986419535596 
reasons 	 3895.7513114277735 0.7796986419535596 
achieving 	 6914.860182782025 0.7796986419535596 
price 	 2032.4958958859465 0.7796986419535596 
systems 	 698.3128415480055 1.4375319749104702 
selected 	 4634.070238190969 0.7796986419535596 
powering 	 10597.551153097014 0.7796986419535596 
appear 	 5044.59089668649 0.7796986419535596 
successfully 	 5579.930320773456 0.7796986419535596 
exported 	 8651.908789865793 0.7796986419535596 
hand 	 4301.0297361992625 0.7796986419535596 
select 	 6706.26642663457 0.7796986419535596 
customer 	 3027.512920516316 1.1219901757488229 
boatbuilder 	 10597.551153097014 0.7796986419535596 
requirements 	 973.9378278569434 1.4375319749104702 
selecting 	 7151.344279120055 0.7796986419535596 
imported 	 1628.4847679107377 1.5232075279131518 
united 	 2441.7947537121045 0.7796986419535596 
sweden 	 6914.860182782025 0.7796986419535596 
figures 	 4634.070238190969 0.7796986419535596 
mainly 	 6055.025841032632 0.7796986419535596 
lower 	 3978.138259117169 0.7796986419535596 
bracket 	 5298.775576548507 1.1219901757488229 
mention 	 9369.987496325351 0.7796986419535596 
iveco 	 10597.551153097014 0.7796986419535596 
aifo 	 10597.551153097014 0.7796986419535596 
bpm 	 10597.551153097014 0.7796986419535596 
swedish 	 7424.345133094129 0.7796986419535596 
volvo 	 10597.551153097014 0.7796986419535596 
penta 	 10597.551153097014 0.7796986419535596 
detroit 	 8142.423839553689 0.7796986419535596 
caterpillar 	 10597.551153097014 0.7796986419535596 
german 	 4251.139113091243 0.7796986419535596 
mtu 	 9369.987496325351 0.7796986419535596 
yachts 	 2883.969596621931 1.3143213523459647 
rising 	 6519.67295340456 0.7796986419535596 
surged 	 10597.551153097014 0.7796986419535596 
chalking 	 10597.551153097014 0.7796986419535596 
rose 	 3259.83647670228 1.1219901757488229 
slight 	 4325.954394932896 1.1219901757488229 
producers 	 3575.6721395600275 1.1219901757488229 
detriment 	 9369.987496325351 0.7796986419535596 
ones 	 5687.296526010362 0.7796986419535596 
dropped 	 8142.423839553689 0.7796986419535596 
consequent 	 5298.775576548507 1.1219901757488229 
falling 	 7747.236610176223 0.7796986419535596 
domestically 	 8651.908789865793 0.7796986419535596 
abroad 	 5044.59089668649 0.7796986419535596 
totaled 	 9369.987496325351 0.7796986419535596 
accounted 	 8651.908789865793 0.7796986419535596 
compared 	 1870.8270813895697 1.1219901757488229 
obviously 	 7151.344279120055 0.7796986419535596 
remarkable 	 10597.551153097014 0.7796986419535596 
readjustment 	 9369.987496325351 0.7796986419535596 
excess 	 6914.860182782025 0.7796986419535596 
supply 	 4352.366664001793 0.7796986419535596 
lion's 	 10597.551153097014 0.7796986419535596 
craft 	 7151.344279120055 0.7796986419535596 
strongest 	 7424.345133094129 0.7796986419535596 
presence 	 5205.7019158888315 0.7796986419535596 
representing 	 1586.874687801116 1.3143213523459647 
strong 	 4301.0297361992625 0.7796986419535596 
position 	 2570.317450722598 0.7796986419535596 
italy's 	 8651.908789865793 0.7796986419535596 
principal 	 5801.594246945 0.7796986419535596 
supplier 	 3873.6183050881114 1.1219901757488229 
fourth 	 5044.59089668649 0.7796986419535596 
largest 	 4459.732869238698 0.7796986419535596 
destination 	 8651.908789865793 0.7796986419535596 
canada 	 4634.070238190969 0.7796986419535596 
japan 	 4515.95981395382 0.7796986419535596 
plus 	 2843.648263005181 1.1219901757488229 
accounting 	 5292.109296632896 0.7796986419535596 
respectively 	 4896.922067255431 0.7796986419535596 
supplied 	 7747.236610176223 0.7796986419535596 
importers 	 2162.977197466448 1.4375319749104702 
include 	 1511.7877281597903 1.1219901757488229 
champion 	 8651.908789865793 0.7796986419535596 
record 	 4020.8150229636854 0.7796986419535596 
marina 	 9369.987496325351 0.7796986419535596 
verbella 	 10597.551153097014 0.7796986419535596 
union 	 3317.19353964608 0.7796986419535596 
motomar 	 10597.551153097014 0.7796986419535596 
yachting 	 10597.551153097014 0.7796986419535596 
vitalco 	 10597.551153097014 0.7796986419535596 
leader 	 3936.465748203715 0.7796986419535596 
reflecting 	 5382.949720993248 0.7796986419535596 
firms 	 5205.7019158888315 0.7796986419535596 
traditionally 	 3457.4300913910124 1.1219901757488229 
numerous 	 4405.236261739878 0.7796986419535596 
exhibitors 	 3532.5170510323387 1.3143213523459647 
commented 	 7151.344279120055 0.7796986419535596 
ucina 	 10597.551153097014 0.7796986419535596 
fear 	 4574.030590173336 0.7796986419535596 
looked 	 6914.860182782025 0.7796986419535596 
enjoys 	 7747.236610176223 0.7796986419535596 
excellent 	 3027.512920516316 1.1219901757488229 
able 	 3634.287957542233 0.7796986419535596 
repeat 	 6914.860182782025 0.7796986419535596 
performances 	 8142.423839553689 0.7796986419535596 
short 	 3500.564082050308 0.7796986419535596 
view 	 2904.67175099414 0.7796986419535596 
recession 	 7747.236610176223 0.7796986419535596 
drop 	 5687.296526010362 0.7796986419535596 
expenditures 	 5292.109296632896 0.7796986419535596 
trivial 	 10597.551153097014 0.7796986419535596 
sectors 	 6350.8786249711 0.7796986419535596 
reputation 	 6706.26642663457 0.7796986419535596 
service 	 672.1069687399365 1.4375319749104702 
ability 	 3778.9397504685007 0.7796986419535596 
meet 	 3669.3584104837673 0.7796986419535596 
specific 	 955.1547602412778 1.1219901757488229 
client 	 5579.930320773456 0.7796986419535596 
optional 	 5687.296526010362 0.7796986419535596 
equipment 	 4405.236261739878 0.7796986419535596 
timely 	 7424.345133094129 0.7796986419535596 
delivery 	 5923.780622348391 0.7796986419535596 
winning 	 5579.930320773456 0.7796986419535596 
selling 	 2484.6089097754016 1.1219901757488229 
participating 	 6914.860182782025 0.7796986419535596 
held 	 1673.233466700837 1.1219901757488229 
third 	 1799.9492637446533 1.1219901757488229 
week 	 4109.383477801411 0.7796986419535596 
october 	 1908.5136199574133 1.1219901757488229 
truly 	 6196.781476322466 0.7796986419535596 
prestigious 	 4684.993748162676 1.1219901757488229 
fall 	 3669.3584104837673 0.7796986419535596 
participation 	 4827.46218426097 0.7796986419535596 
drawing 	 6706.26642663457 0.7796986419535596 
single 	 3817.0272399148266 0.7796986419535596 
roof 	 8142.423839553689 0.7796986419535596 
participants 	 6350.8786249711 0.7796986419535596 
visitors 	 3873.6183050881114 1.1219901757488229 
business 	 804.7091631589534 1.1219901757488229 
transacted 	 10597.551153097014 0.7796986419535596 
build 	 5478.702769862906 0.7796986419535596 
stock 	 4760.6240634033475 0.7796986419535596 
spring 	 5687.296526010362 0.7796986419535596 
season 	 6196.781476322466 0.7796986419535596 
climate 	 4202.615529804093 0.7796986419535596 
flying 	 7747.236610176223 0.7796986419535596 
flag 	 6706.26642663457 0.7796986419535596 
gross 	 6196.781476322466 0.7796986419535596 
tonnage 	 9369.987496325351 0.7796986419535596 
unrestricted 	 9369.987496325351 0.7796986419535596 
records 	 5382.949720993248 0.7796986419535596 
kept 	 6055.025841032632 0.7796986419535596 
port 	 3457.4300913910124 1.1219901757488229 
authorities 	 4574.030590173336 0.7796986419535596 
registration 	 3259.83647670228 1.1219901757488229 
identification 	 5382.949720993248 0.7796986419535596 
document 	 2348.108482788364 1.1219901757488229 
allows 	 2646.054648316448 1.1219901757488229 
sail 	 8142.423839553689 0.7796986419535596 
obtain 	 4760.6240634033475 0.7796986419535596 
comply 	 7151.344279120055 0.7796986419535596 
strict 	 5801.594246945 0.7796986419535596 
