term 	 tf-idf weight 	 BM25 ranking 
 globe1 	 3739.960175429494 1.2883825311355048 
cheruy 	 7479.920350858988 0.9502686466133602 
fred 	 5747.052399459125 0.9502686466133602 
jungle 	 5747.052399459125 0.9502686466133602 
dept 	 4733.389629188714 0.9502686466133602 
foothills 	 6613.4863751590565 0.9502686466133602 
campus 	 4273.733654032067 0.9502686466133602 
timothy 	 6613.4863751590565 0.9502686466133602 
palmer 	 2873.5261997295624 1.2883825311355048 
berks 	 6613.4863751590565 0.9502686466133602 
tim 	 6106.654990023851 0.9502686466133602 
john 	 1333.6179243607073 1.2883825311355048 
walsh 	 3053.3274950119253 1.2883825311355048 
south 	 1112.0272883101402 1.2883825311355048 
floor 	 4014.1844480592613 0.9502686466133602 
celsius 	 7479.920350858988 0.9502686466133602 
house 	 2242.8519233259562 0.9502686466133602 
lonsdale 	 7479.920350858988 0.9502686466133602 
stefano 	 7479.920350858988 0.9502686466133602 
tibaldi 	 3739.960175429494 1.2883825311355048 
adgbn 	 7479.920350858988 0.9502686466133602 
bologna 	 3739.960175429494 1.2883825311355048 
depart 	 5747.052399459125 0.9502686466133602 
viale 	 7479.920350858988 0.9502686466133602 
carlo 	 6613.4863751590565 0.9502686466133602 
berti 	 7479.920350858988 0.9502686466133602 
pichat 	 7479.920350858988 0.9502686466133602 
italy 	 3228.4236237812934 0.9502686466133602 
astbol 	 7479.920350858988 0.9502686466133602 
cnr 	 7479.920350858988 0.9502686466133602 
alan 	 2523.766332269923 1.2883825311355048 
robock 	 7479.920350858988 0.9502686466133602 
maryland 	 5240.221014323919 0.9502686466133602 
college 	 3147.7504723593297 0.9502686466133602 
umd 	 5747.052399459125 0.9502686466133602 
ann 	 2300.8444923082156 1.2883825311355048 
henderson 	 5047.532664539846 0.9502686466133602 
sellers 	 5468.122960316363 0.9502686466133602 
climatic 	 3053.3274950119253 1.2883825311355048 
impacts 	 4880.618423759193 0.9502686466133602 
school 	 1160.5011847763117 1.2883825311355048 
earth 	 1728.1627848868686 1.2883825311355048 
macquarie 	 7479.920350858988 0.9502686466133602 
north 	 2205.5357193888544 0.9502686466133602 
ryde 	 7479.920350858988 0.9502686466133602 
nsw 	 7479.920350858988 0.9502686466133602 
mgmet 	 7479.920350858988 0.9502686466133602 
cic 	 6613.4863751590565 0.9502686466133602 
igor 	 4601.688984616431 0.9502686466133602 
mokhov 	 7479.920350858988 0.9502686466133602 
phzhevsky 	 7479.920350858988 0.9502686466133602 
root 	 5047.532664539846 0.9502686466133602 
iaph 	 7479.920350858988 0.9502686466133602 
msk 	 3739.960175429494 1.2883825311355048 
bryan 	 2734.0614801581814 1.2883825311355048 
weare 	 3739.960175429494 1.2883825311355048 
air 	 1517.8676369986106 1.2883825311355048 
water 	 1450.234146598465 1.2883825311355048 
resources 	 1170.6640103211744 1.2883825311355048 
davis 	 1150.4222461541078 1.5671930122930267 
bcweare 	 3739.960175429494 1.2883825311355048 
ucdavis 	 3053.3274950119253 1.2883825311355048 
gerald 	 7479.920350858988 0.9502686466133602 
potter 	 5468.122960316363 0.9502686466133602 
gpotter 	 7479.920350858988 0.9502686466133602 
raymond 	 5468.122960316363 0.9502686466133602 
hide 	 5747.052399459125 0.9502686466133602 
jean 	 4482.551259861025 0.9502686466133602 
dickey 	 7479.920350858988 0.9502686466133602 
geodetic 	 7479.920350858988 0.9502686466133602 
applications 	 2932.937651201006 0.9502686466133602 
mail 	 1102.7678596944272 1.2883825311355048 
jet 	 3674.2673037047093 0.9502686466133602 
propulsion 	 4482.551259861025 0.9502686466133602 
oak 	 5047.532664539846 0.9502686466133602 
grove 	 5747.052399459125 0.9502686466133602 
drive 	 3799.3716269009374 0.9502686466133602 
pasadena 	 6613.4863751590565 0.9502686466133602 
donald 	 5240.221014323919 0.9502686466133602 
perkey 	 7479.920350858988 0.9502686466133602 
change 	 2002.387057516636 0.9502686466133602 
education 	 1357.6206009203488 0.9502686466133602 
huntsville 	 2493.306783619663 1.4617503823334814 
christy 	 7479.920350858988 0.9502686466133602 
alabama 	 6613.4863751590565 0.9502686466133602 
bruce 	 3507.3530629240563 0.9502686466133602 
hewitson 	 3739.960175429494 1.2883825311355048 
environmental 	 1403.9166640023889 1.2883825311355048 
geographical 	 4880.618423759193 0.9502686466133602 
cape 	 2873.5261997295624 1.2883825311355048 
town 	 1728.1627848868686 1.2883825311355048 
randebosch 	 7479.920350858988 0.9502686466133602 
africa 	 3407.299678332136 0.9502686466133602 
enviro 	 7479.920350858988 0.9502686466133602 
uct 	 6613.4863751590565 0.9502686466133602 
phil 	 5047.532664539846 0.9502686466133602 
jones 	 3938.4036707887176 0.9502686466133602 
unit 	 3270.8005633758958 0.9502686466133602 
east 	 1235.3769346591996 1.2883825311355048 
anglia 	 2873.5261997295624 1.2883825311355048 
norwich 	 7479.920350858988 0.9502686466133602 
nr4 	 7479.920350858988 0.9502686466133602 
fo28 	 7479.920350858988 0.9502686466133602 
hiroshi 	 7479.920350858988 0.9502686466133602 
tanaka 	 3739.960175429494 1.2883825311355048 
geoscience 	 7479.920350858988 0.9502686466133602 
atm 	 7479.920350858988 0.9502686466133602 
geo 	 5240.221014323919 0.9502686466133602 
sultan 	 7479.920350858988 0.9502686466133602 
hameed 	 3739.960175429494 1.2883825311355048 
terrestrial 	 5747.052399459125 0.9502686466133602 
planetary 	 5468.122960316363 0.9502686466133602 
atmospheres 	 7479.920350858988 0.9502686466133602 
marine 	 4601.688984616431 0.9502686466133602 
stony 	 7479.920350858988 0.9502686466133602 
brook 	 6613.4863751590565 0.9502686466133602 
atmsci 	 7479.920350858988 0.9502686466133602 
sunysb 	 6613.4863751590565 0.9502686466133602 
golitsyn 	 7479.920350858988 0.9502686466133602 
pyzhevsky 	 7479.920350858988 0.9502686466133602 
ifaran 	 7479.920350858988 0.9502686466133602 
rinarostra 	 7479.920350858988 0.9502686466133602 
sulochana 	 7479.920350858988 0.9502686466133602 
gadgil 	 7479.920350858988 0.9502686466133602 
indian 	 3866.9556534887824 0.9502686466133602 
bangalore 	 7479.920350858988 0.9502686466133602 
india 	 3866.9556534887824 0.9502686466133602 
sulo 	 7479.920350858988 0.9502686466133602 
cas 	 6106.654990023851 0.9502686466133602 
iisc 	 7479.920350858988 0.9502686466133602 
ernet 	 7479.920350858988 0.9502686466133602 
update 	 3938.4036707887176 0.9502686466133602 
february 	 3735.2550089164993 0.9502686466133602 
changes 	 2066.503675501074 0.9502686466133602 
contact 	 2018.1105352752113 0.9502686466133602 
anna 	 4733.389629188714 0.9502686466133602 
mccravy 	 6106.654990023851 0.9502686466133602 
mailto 	 908.0511358242611 0.9502686466133602 
mccravy1 	 6106.654990023851 0.9502686466133602 
lll 	 6106.654990023851 0.9502686466133602 
http 	 274.2242726297675 1.2883825311355048 
www 	 271.78762236998165 1.2883825311355048 
disclaimers 	 5047.532664539846 0.9502686466133602 
disclaimer 	 5047.532664539846 0.9502686466133602 
