term 	 tf-idf weight 	 BM25 ranking 
 copyright 	 205.8234197537832 1.6217739296311922 
dual 	 2498.2830462858033 1.2633889509362115 
band 	 1020.4895969556896 1.548560677174281 
services 	 195.7339774980562 1.7813467169596162 
glenayre 	 1754.6230938592773 1.5883976299773335 
nexus 	 1052.7738563155665 1.7308848949793179 
team 	 3758.5193044482344 0.9233237228713409 
support 	 1832.5432801141565 0.9233237228713409 
spread 	 2881.6877880082543 1.1252443773892415 
spectrum 	 999.3132185143212 1.6217739296311922 
telecom 	 698.11962176179 1.7911376702591026 
recap 	 13962.3924352358 0.6002085625550716 
dichotomy 	 6981.1962176179 0.9233237228713409 
market 	 277.03514139052066 1.770592664210813 
fcc 	 1998.6264370286424 1.3638517799779162 
multiple 	 1971.4675937061284 1.2633889509362115 
auctions 	 4654.130811745266 1.1252443773892415 
tumultuous 	 13962.3924352358 0.6002085625550716 
proved 	 10656.350961376524 0.6002085625550716 
highly 	 6645.530797245017 0.6002085625550716 
rewarding 	 12133.177025738105 0.6002085625550716 
standpoint 	 11063.154605440659 0.6002085625550716 
follow 	 6905.314149399191 0.6002085625550716 
wall 	 4413.567775939414 0.9233237228713409 
street 	 5631.068323820651 0.6002085625550716 
doubtless 	 15791.607844733497 0.6002085625550716 
remember 	 9993.132185143213 0.6002085625550716 
months 	 820.8322191756603 1.5001861749643932 
dec 	 1261.0193645541183 1.5001861749643932 
north 	 1552.1090035912498 1.1252443773892415 
american 	 365.74526360070706 1.548560677174281 
telecommunications 	 605.3390147673366 1.7144072914688937 
index 	 286.8990141737526 1.2633889509362115 
composed 	 9463.562219818596 0.6002085625550716 
publicly 	 5151.9808081202045 0.9233237228713409 
held 	 831.1054241715619 1.4402001783031706 
capitalization 	 11544.301193819905 0.6002085625550716 
companies 	 820.8322191756603 1.5001861749643932 
paging 	 831.1372549859735 1.7813467169596162 
manufacturing 	 8021.233378713259 0.6002085625550716 
equip 	 12133.177025738105 0.6002085625550716 
ment 	 4157.378914884571 0.9233237228713409 
jan 	 8474.746206742713 0.6002085625550716 
increased 	 6409.044310462933 0.6002085625550716 
percent 	 810.7771714340349 1.5883976299773335 
gain 	 2544.7822701069667 1.1252443773892415 
half 	 2243.105204032398 1.1252443773892415 
indices 	 15791.607844733497 0.6002085625550716 
followed 	 2505.6795362988228 1.1252443773892415 
pattern 	 4857.542892161105 0.9233237228713409 
chicago 	 6564.324390023454 0.6002085625550716 
board 	 5805.131400823205 0.6002085625550716 
options 	 7885.870374824513 0.6002085625550716 
change 	 2113.719777914561 0.9233237228713409 
global 	 1583.6753415369553 1.2633889509362115 
flat 	 11063.154605440659 0.6002085625550716 
mid 	 2673.7444595710863 1.1252443773892415 
july 	 3061.734330298679 0.9233237228713409 
close 	 1548.0044923038909 1.2633889509362115 
twelve 	 11544.301193819905 0.6002085625550716 
month 	 427.26962069752886 1.7308848949793179 
range 	 5991.491160700828 0.6002085625550716 
low 	 1738.751856301668 1.1252443773892415 
percentage 	 8645.063364024763 0.6002085625550716 
changes 	 2181.4012798589342 0.9233237228713409 
headline 	 1551.3769372484223 1.5883976299773335 
list 	 672.9616628140908 1.5883976299773335 
bowing 	 15791.607844733497 0.6002085625550716 
bidders' 	 15791.607844733497 0.6002085625550716 
demands 	 8163.916775645517 0.6002085625550716 
winner 	 12133.177025738105 0.6002085625550716 
named 	 4010.6166893566296 0.9233237228713409 
year's 	 2428.7714460805523 1.2633889509362115 
austria's 	 7895.803922366748 0.9233237228713409 
top 	 1232.5189208009836 0.9233237228713409 
regulator 	 13962.3924352358 0.6002085625550716 
announced 	 1480.9447572890533 1.3638517799779162 
german 	 6334.701366147821 0.6002085625550716 
led 	 3028.327482663409 0.9233237228713409 
licensed 	 3848.1003979399684 1.1252443773892415 
operate 	 8021.233378713259 0.6002085625550716 
nation's 	 3331.044061714404 1.1252443773892415 
private 	 1269.0246849753737 1.2633889509362115 
system 	 258.7807004031345 1.6501433493849693 
call 	 997.3265090058742 1.3638517799779162 
deutsche 	 4044.3923419127013 1.1252443773892415 
telekom 	 4654.130811745266 1.1252443773892415 
siemens 	 13962.3924352358 0.6002085625550716 
service 	 210.84612208442363 1.7813467169596162 
mobile 	 499.6566092571606 1.7911376702591026 
communications 	 83.1503412140016 1.8716192987863922 
network 	 226.35601344908463 1.8511322593472435 
ptt 	 5263.869281577832 1.1252443773892415 
building 	 5216.255568905004 0.6002085625550716 
expected 	 1661.3826993112543 1.2633889509362115 
pay 	 5745.825534229622 0.6002085625550716 
amount 	 3131.1977366326937 0.9233237228713409 
transportation 	 6815.847954527067 0.6002085625550716 
commissioner 	 12133.177025738105 0.6002085625550716 
viktor 	 7404.723786445267 0.6002085625550716 
klima 	 15791.607844733497 0.6002085625550716 
offered 	 3364.657806048597 0.9233237228713409 
executive 	 6334.701366147821 0.6002085625550716 
summary 	 5415.519999974 0.6002085625550716 
interviews 	 9715.08578432221 0.6002085625550716 
leaders 	 5467.779133408618 0.6002085625550716 
analysis 	 1623.4416652018997 0.9233237228713409 
events 	 4857.875301786241 0.6002085625550716 
connect 	 12892.370014938355 0.6002085625550716 
dots 	 15791.607844733497 0.6002085625550716 
educated 	 11544.301193819905 0.6002085625550716 
guesses 	 15791.607844733497 0.6002085625550716 
holds 	 2824.915402247571 1.1252443773892415 
store 	 8021.233378713259 0.6002085625550716 
larry 	 9463.562219818596 0.6002085625550716 
vanston 	 5263.869281577832 1.1252443773892415 
sees 	 8474.746206742713 0.6002085625550716 
lot 	 8827.135551878828 0.6002085625550716 
world 	 1462.9810544028282 0.9233237228713409 
record 	 5991.491160700828 0.6002085625550716 
setting 	 2041.1562201991194 1.1252443773892415 
growth 	 809.6458836310401 1.4402001783031706 
heightened 	 12133.177025738105 0.6002085625550716 
competition 	 1150.8856915665317 1.4402001783031706 
rapid 	 4413.567775939414 0.9233237228713409 
techno 	 15791.607844733497 0.6002085625550716 
logical 	 9993.132185143213 0.6002085625550716 
president 	 893.8170759085782 1.3638517799779162 
austin 	 10303.961616240409 0.6002085625550716 
texas 	 3007.5688301308332 1.1252443773892415 
based 	 180.38240724465552 1.770592664210813 
consultants 	 10656.350961376524 0.6002085625550716 
futures 	 6446.185007469177 0.9233237228713409 
observers 	 9993.132185143213 0.6002085625550716 
surveyed 	 13962.3924352358 0.6002085625550716 
pace 	 5531.5773027203295 0.9233237228713409 
developments 	 3498.9600711905664 0.9233237228713409 
gains 	 8163.916775645517 0.6002085625550716 
momentum 	 13962.3924352358 0.6002085625550716 
acceleration 	 11544.301193819905 0.6002085625550716 
occurring 	 9463.562219818596 0.6002085625550716 
broad 	 3407.9239772635333 0.9233237228713409 
front 	 6409.044310462933 0.6002085625550716 
mani 	 15791.607844733497 0.6002085625550716 
fested 	 15791.607844733497 0.6002085625550716 
prices 	 3648.497271453157 0.9233237228713409 
driven 	 10303.961616240409 0.6002085625550716 
lower 	 2963.9488610418434 0.9233237228713409 
competitors 	 6446.185007469177 0.9233237228713409 
arrive 	 12892.370014938355 0.6002085625550716 
scene 	 7634.346810320901 0.6002085625550716 
stream 	 11063.154605440659 0.6002085625550716 
technological 	 8021.233378713259 0.6002085625550716 
advances 	 9022.7064903925 0.6002085625550716 
backdrop 	 12133.177025738105 0.6002085625550716 
telephony 	 10656.350961376524 0.6002085625550716 
widespread 	 9993.132185143213 0.6002085625550716 
reality 	 6815.847954527067 0.6002085625550716 
markets 	 1126.552910689216 1.5001861749643932 
overseas 	 9715.08578432221 0.6002085625550716 
clouds 	 10656.350961376524 0.6002085625550716 
horizon 	 12892.370014938355 0.6002085625550716 
renewed 	 9715.08578432221 0.6002085625550716 
signs 	 9233.939195942963 0.6002085625550716 
slowdown 	 12133.177025738105 0.6002085625550716 
world's 	 4731.781109909298 0.9233237228713409 
largest 	 3322.7653986225087 0.9233237228713409 
terms 	 1578.3696601752529 1.1252443773892415 
absolute 	 9463.562219818596 0.6002085625550716 
subscribers 	 1841.7671449911934 1.5001861749643932 
dampened 	 15791.607844733497 0.6002085625550716 
outlook 	 9993.132185143213 0.6002085625550716 
operators 	 824.5929424157075 1.7144072914688937 
handset 	 5263.869281577832 1.1252443773892415 
infrastructure 	 1471.1892586464712 1.4402001783031706 
manufacturers 	 2365.890554954649 1.2633889509362115 
nokia 	 2327.065405872633 1.4402001783031706 
corp 	 936.7237832945826 1.6501433493849693 
noted 	 2995.745580350414 0.9233237228713409 
improvement 	 7517.038608896469 0.6002085625550716 
nokia's 	 5263.869281577832 1.1252443773892415 
phone 	 2995.745580350414 0.9233237228713409 
profitability 	 12133.177025738105 0.6002085625550716 
phones 	 6981.1962176179 0.9233237228713409 
developed 	 1754.892981950125 1.1252443773892415 
somewhat 	 8163.916775645517 0.6002085625550716 
plan 	 4775.399839478909 0.6002085625550716 
sent 	 7517.038608896469 0.6002085625550716 
price 	 504.77664871475747 1.4402001783031706 
depositary 	 15791.607844733497 0.6002085625550716 
receipts 	 6981.1962176179 0.9233237228713409 
tumbling 	 15791.607844733497 0.6002085625550716 
time 	 359.46888145412265 1.5001861749643932 
page 	 215.90311595963135 1.4402001783031706 
unclear 	 8474.746206742713 0.6002085625550716 
press 	 2147.1266255498313 0.9233237228713409 
faced 	 9715.08578432221 0.6002085625550716 
repeat 	 10303.961616240409 0.6002085625550716 
overages 	 15791.607844733497 0.6002085625550716 
built 	 3498.9600711905664 0.9233237228713409 
inventories 	 15791.607844733497 0.6002085625550716 
christmas 	 6066.5885128690525 0.9233237228713409 
season 	 9233.939195942963 0.6002085625550716 
streeters 	 15791.607844733497 0.6002085625550716 
notoriously 	 13962.3924352358 0.6002085625550716 
fickle 	 15791.607844733497 0.6002085625550716 
bunch 	 15791.607844733497 0.6002085625550716 
fall 	 1366.9447833521544 1.2633889509362115 
domestic 	 5745.825534229622 0.6002085625550716 
measured 	 9715.08578432221 0.6002085625550716 
blistering 	 15791.607844733497 0.6002085625550716 
pansion 	 15791.607844733497 0.6002085625550716 
enjoyed 	 10656.350961376524 0.6002085625550716 
net 	 1224.6937321194716 1.3638517799779162 
subscriber 	 5263.869281577832 1.1252443773892415 
additions 	 13962.3924352358 0.6002085625550716 
simply 	 6997.920142381133 0.6002085625550716 
sustained 	 12892.370014938355 0.6002085625550716 
forever 	 12133.177025738105 0.6002085625550716 
plosive 	 15791.607844733497 0.6002085625550716 
rate 	 1421.9557998496932 1.2633889509362115 
cellular's 	 15791.607844733497 0.6002085625550716 
term 	 2584.352366441718 0.9233237228713409 
firmly 	 11063.154605440659 0.6002085625550716 
intact 	 12133.177025738105 0.6002085625550716 
conceivable 	 15791.607844733497 0.6002085625550716 
cellu 	 15791.607844733497 0.6002085625550716 
lar 	 15791.607844733497 0.6002085625550716 
united 	 1212.8545746369741 1.1252443773892415 
span 	 12133.177025738105 0.6002085625550716 
eyes 	 7757.113131581382 0.6002085625550716 
pcs 	 527.5294359016567 1.8158724981157688 
destined 	 13962.3924352358 0.6002085625550716 
sweep 	 12133.177025738105 0.6002085625550716 
comes 	 7634.346810320901 0.6002085625550716 
grips 	 15791.607844733497 0.6002085625550716 
probable 	 13962.3924352358 0.6002085625550716 
enactment 	 11063.154605440659 0.6002085625550716 
legislation 	 6192.017969215563 0.6002085625550716 
aimed 	 3878.556565790691 0.9233237228713409 
deregulating 	 15791.607844733497 0.6002085625550716 
statu 	 15791.607844733497 0.6002085625550716 
tory 	 13962.3924352358 0.6002085625550716 
certainty 	 12133.177025738105 0.6002085625550716 
move 	 6645.530797245017 0.6002085625550716 
forward 	 7757.113131581382 0.6002085625550716 
purchases 	 11063.154605440659 0.6002085625550716 
equipment 	 820.5405487529317 1.548560677174281 
matthew 	 11544.301193819905 0.6002085625550716 
flanagan 	 15791.607844733497 0.6002085625550716 
association 	 2560.9977744590587 0.9233237228713409 
arlington 	 12892.370014938355 0.6002085625550716 
verge 	 12133.177025738105 0.6002085625550716 
entering 	 7885.870374824513 0.6002085625550716 
phase 	 8474.746206742713 0.6002085625550716 
advent 	 8314.757829769142 0.6002085625550716 
broadband 	 7895.803922366748 0.9233237228713409 
personal 	 628.9877879666113 1.4402001783031706 
marketed 	 12892.370014938355 0.6002085625550716 
scale 	 2585.704377193794 1.1252443773892415 
licensees 	 5263.869281577832 1.1252443773892415 
betting 	 15791.607844733497 0.6002085625550716 
bucks 	 15791.607844733497 0.6002085625550716 
digitally 	 15791.607844733497 0.6002085625550716 
enhanced 	 4996.5660925716065 0.9233237228713409 
sound 	 3498.9600711905664 0.9233237228713409 
quality 	 1915.2751780765404 1.1252443773892415 
calls 	 7757.113131581382 0.6002085625550716 
placed 	 7296.994542906314 0.6002085625550716 
systems 	 693.712625200522 1.4402001783031706 
prove 	 8645.063364024763 0.6002085625550716 
appealing 	 10656.350961376524 0.6002085625550716 
consumers 	 8474.746206742713 0.6002085625550716 
disdained 	 15791.607844733497 0.6002085625550716 
costly 	 10303.961616240409 0.6002085625550716 
challenges 	 8827.135551878828 0.6002085625550716 
players 	 4044.3923419127013 1.1252443773892415 
finish 	 11544.301193819905 0.6002085625550716 
licensing 	 9715.08578432221 0.6002085625550716 
process 	 2065.143740379137 0.9233237228713409 
block 	 1381.062829879838 1.3638517799779162 
auction 	 2631.934640788916 1.4402001783031706 
set 	 1305.5367082439755 1.1252443773892415 
resume 	 11544.301193819905 0.6002085625550716 
week 	 1224.6937321194716 1.3638517799779162 
bring 	 3167.3506830739107 0.9233237228713409 
newly 	 7885.870374824513 0.6002085625550716 
tom 	 8314.757829769142 0.6002085625550716 
mateer 	 5263.869281577832 1.1252443773892415 
vice 	 2544.7822701069667 1.1252443773892415 
development 	 1535.4423965509015 0.9233237228713409 
sprint 	 2578.4740029876707 1.3638517799779162 
venture 	 4857.542892161105 0.9233237228713409 
stv 	 2327.065405872633 1.4402001783031706 
liance 	 15791.607844733497 0.6002085625550716 
cable 	 3238.361928107403 1.1252443773892415 
television 	 3322.7653986225087 0.9233237228713409 
goal 	 7093.89435534807 0.6002085625550716 
provide 	 1489.695126514297 1.1252443773892415 
kansas 	 11544.301193819905 0.6002085625550716 
city 	 2198.878356555586 0.9233237228713409 
major 	 707.0120523798826 1.3638517799779162 
trading 	 2118.6865516856783 1.2633889509362115 
mta 	 4996.5660925716065 0.9233237228713409 
potential 	 1353.8799999935 1.2633889509362115 
population 	 2733.889566704309 0.9233237228713409 
including 	 1158.5088695549318 0.9233237228713409 
primeco 	 15791.607844733497 0.6002085625550716 
similar 	 5216.255568905004 0.6002085625550716 
timetables 	 15791.607844733497 0.6002085625550716 
committed 	 4157.378914884571 0.9233237228713409 
code 	 5927.897722083687 0.6002085625550716 
division 	 3364.657806048597 0.9233237228713409 
access 	 1421.9557998496932 1.2633889509362115 
cdma 	 2255.943977819071 1.5001861749643932 
standard 	 1407.7670809551628 1.2633889509362115 
vendors 	 13962.3924352358 0.6002085625550716 
buildout 	 5263.869281577832 1.1252443773892415 
estimated 	 7093.89435534807 0.6002085625550716 
cost 	 1788.091890465703 1.1252443773892415 
sources 	 1535.4423965509015 0.9233237228713409 
talks 	 7296.994542906314 0.6002085625550716 
prospective 	 9993.132185143213 0.6002085625550716 
suppliers 	 11544.301193819905 0.6002085625550716 
moving 	 8021.233378713259 0.6002085625550716 
funds 	 2215.1769324150055 1.1252443773892415 
sprint's 	 7895.803922366748 0.9233237228713409 
anticipated 	 9463.562219818596 0.6002085625550716 
deal 	 1955.2669131393945 1.1252443773892415 
sell 	 7517.038608896469 0.6002085625550716 
equity 	 3552.116987125508 1.1252443773892415 
france 	 3452.6570746995953 0.9233237228713409 
germany's 	 11063.154605440659 0.6002085625550716 
approved 	 7296.994542906314 0.6002085625550716 
earmarked 	 12892.370014938355 0.6002085625550716 
stv's 	 15791.607844733497 0.6002085625550716 
narrowband 	 5263.869281577832 1.1252443773892415 
side 	 5805.131400823205 0.6002085625550716 
action 	 1328.5018712173617 1.2633889509362115 
center 	 2049.3411562929955 0.9233237228713409 
successfully 	 8314.757829769142 0.6002085625550716 
narrow 	 9993.132185143213 0.6002085625550716 
lead 	 6485.542420271446 0.6002085625550716 
telecommunication 	 6981.1962176179 0.9233237228713409 
technologies 	 1288.9580700560714 1.5001861749643932 
mtel 	 5263.869281577832 1.1252443773892415 
enjoys 	 11544.301193819905 0.6002085625550716 
continues 	 8645.063364024763 0.6002085625550716 
grapple 	 15791.607844733497 0.6002085625550716 
alex 	 6981.1962176179 0.9233237228713409 
brown 	 3942.9351874122567 0.9233237228713409 
sons 	 11063.154605440659 0.6002085625550716 
called 	 4617.800779101328 0.6002085625550716 
rollout 	 15791.607844733497 0.6002085625550716 
concerns 	 7404.723786445267 0.6002085625550716 
surrounding 	 3282.162195011727 0.9233237228713409 
company's 	 1924.0501989699842 1.4402001783031706 
skytel 	 15791.607844733497 0.6002085625550716 
advanced 	 1661.3826993112543 1.2633889509362115 
messaging 	 3947.901961183374 1.2633889509362115 
consolidation 	 6446.185007469177 0.9233237228713409 
convergence 	 4044.3923419127013 1.1252443773892415 
compete 	 11544.301193819905 0.6002085625550716 
effectively 	 8645.063364024763 0.6002085625550716 
landscape 	 9463.562219818596 0.6002085625550716 
seemingly 	 11544.301193819905 0.6002085625550716 
keeps 	 10656.350961376524 0.6002085625550716 
shifting 	 10656.350961376524 0.6002085625550716 
beneath 	 11544.301193819905 0.6002085625550716 
feet 	 8645.063364024763 0.6002085625550716 
achieving 	 5151.9808081202045 0.9233237228713409 
maximize 	 12133.177025738105 0.6002085625550716 
competitive 	 3942.9351874122567 0.9233237228713409 
ability 	 2815.5341619103256 0.9233237228713409 
trend 	 3942.9351874122567 0.9233237228713409 
pronounced 	 11544.301193819905 0.6002085625550716 
arch 	 6446.185007469177 0.9233237228713409 
airtouch 	 3947.901961183374 1.2633889509362115 
acquisitions 	 12133.177025738105 0.6002085625550716 
deals 	 2872.912767114811 0.9233237228713409 
giving 	 3061.734330298679 0.9233237228713409 
respectively 	 1459.3989085812627 1.3638517799779162 
suf 	 15791.607844733497 0.6002085625550716 
fice 	 15791.607844733497 0.6002085625550716 
acqui 	 15791.607844733497 0.6002085625550716 
sitions 	 15791.607844733497 0.6002085625550716 
offing 	 12133.177025738105 0.6002085625550716 
introduction 	 2707.759999987 0.9233237228713409 
corporate 	 6564.324390023454 0.6002085625550716 
spinoffs 	 15791.607844733497 0.6002085625550716 
instance 	 4322.531682012382 0.9233237228713409 
spinoff 	 15791.607844733497 0.6002085625550716 
subsidiary 	 3848.1003979399684 1.1252443773892415 
shareholders 	 4297.456671646118 1.1252443773892415 
june 	 5521.094078019552 0.6002085625550716 
completion 	 4996.5660925716065 0.9233237228713409 
march 	 2872.912767114811 0.9233237228713409 
landmark 	 12133.177025738105 0.6002085625550716 
breakup 	 13962.3924352358 0.6002085625550716 
sept 	 13962.3924352358 0.6002085625550716 
entities 	 9233.939195942963 0.6002085625550716 
pagemart 	 15791.607844733497 0.6002085625550716 
privately 	 6066.5885128690525 0.9233237228713409 
company 	 544.455578066611 1.5883976299773335 
hinted 	 15791.607844733497 0.6002085625550716 
route 	 9715.08578432221 0.6002085625550716 
london 	 8474.746206742713 0.6002085625550716 
circles 	 11063.154605440659 0.6002085625550716 
abuzz 	 15791.607844733497 0.6002085625550716 
hutchison 	 7895.803922366748 0.9233237228713409 
wampoa 	 15791.607844733497 0.6002085625550716 
hong 	 3434.653872080136 1.1252443773892415 
kong 	 3434.653872080136 1.1252443773892415 
float 	 13962.3924352358 0.6002085625550716 
orange 	 9233.939195942963 0.6002085625550716 
pcn 	 1579.1607844733494 1.6217739296311922 
possibly 	 3434.653872080136 1.1252443773892415 
larger 	 8474.746206742713 0.6002085625550716 
realignment 	 12892.370014938355 0.6002085625550716 
cast 	 11063.154605440659 0.6002085625550716 
characters 	 8827.135551878828 0.6002085625550716 
getting 	 7404.723786445267 0.6002085625550716 
keep 	 6192.017969215563 0.6002085625550716 
growing 	 2760.547039009776 0.9233237228713409 
examples 	 6409.044310462933 0.6002085625550716 
unit 	 3452.6570746995953 0.9233237228713409 
international 	 508.6511492564981 1.5001861749643932 
family 	 4505.485956650125 0.6002085625550716 
entertainment 	 9233.939195942963 0.6002085625550716 
chairman 	 3204.5221552314665 0.9233237228713409 
evangelist 	 15791.607844733497 0.6002085625550716 
pat 	 12133.177025738105 0.6002085625550716 
robertson 	 12892.370014938355 0.6002085625550716 
bought 	 10656.350961376524 0.6002085625550716 
majority 	 3282.162195011727 0.9233237228713409 
motorola 	 3158.321568946699 1.3638517799779162 
pakistan 	 12892.370014938355 0.6002085625550716 
offer 	 6409.044310462933 0.6002085625550716 
nationwide 	 4731.781109909298 0.9233237228713409 
asian 	 4511.35324519625 0.9233237228713409 
country 	 4294.2532510996625 0.6002085625550716 
fidelity 	 6446.185007469177 0.9233237228713409 
capital 	 2064.005989738521 1.1252443773892415 
boston 	 4857.542892161105 0.9233237228713409 
mutual 	 7885.870374824513 0.6002085625550716 
giant 	 10656.350961376524 0.6002085625550716 
helped 	 4511.35324519625 0.9233237228713409 
engineer 	 11063.154605440659 0.6002085625550716 
strengthening 	 11063.154605440659 0.6002085625550716 
specialized 	 3154.5207399395317 1.1252443773892415 
radio 	 1915.2751780765404 1.1252443773892415 
smr 	 3158.321568946699 1.3638517799779162 
pittencrieff 	 5263.869281577832 1.1252443773892415 
core 	 8163.916775645517 0.6002085625550716 
vote 	 6564.324390023454 0.6002085625550716 
merger 	 11544.301193819905 0.6002085625550716 
owned 	 4081.9583878227586 0.9233237228713409 
mobilecomm 	 15791.607844733497 0.6002085625550716 
continued 	 6056.654965326818 0.6002085625550716 
forms 	 4775.399839478909 0.6002085625550716 
minded 	 12892.370014938355 0.6002085625550716 
providers 	 9233.939195942963 0.6002085625550716 
establish 	 7517.038608896469 0.6002085625550716 
shops 	 11544.301193819905 0.6002085625550716 
space 	 5521.094078019552 0.6002085625550716 
dallas 	 12133.177025738105 0.6002085625550716 
pagenet 	 7895.803922366748 0.9233237228713409 
marketing 	 2064.005989738521 1.1252443773892415 
agreements 	 3596.7455404474026 0.9233237228713409 
gte 	 5263.869281577832 1.1252443773892415 
distribution 	 2111.5671220492736 1.1252443773892415 
channels 	 2824.915402247571 1.1252443773892415 
digital 	 2161.265841006191 1.2633889509362115 
alphanumeric 	 15791.607844733497 0.6002085625550716 
local 	 2065.143740379137 0.9233237228713409 
telephone 	 2188.108130007818 1.1252443773892415 
packaging 	 10656.350961376524 0.6002085625550716 
promotional 	 10303.961616240409 0.6002085625550716 
basis 	 5216.255568905004 0.6002085625550716 
planned 	 8021.233378713259 0.6002085625550716 
distance 	 4731.781109909298 0.9233237228713409 
appears 	 8827.135551878828 0.6002085625550716 
seeking 	 6905.314149399191 0.6002085625550716 
signed 	 2872.912767114811 0.9233237228713409 
agree 	 7757.113131581382 0.6002085625550716 
covering 	 9463.562219818596 0.6002085625550716 
various 	 3224.230830802217 0.6002085625550716 
text 	 6905.314149399191 0.6002085625550716 
national 	 3007.7981235692732 0.6002085625550716 
dispatch 	 13962.3924352358 0.6002085625550716 
san 	 3242.771210135723 0.9233237228713409 
diego 	 4616.969597971482 0.9233237228713409 
data 	 2216.5900318838458 0.9233237228713409 
iden 	 2397.8303602982683 1.1252443773892415 
powerful 	 7885.870374824513 0.6002085625550716 
catalyst 	 12133.177025738105 0.6002085625550716 
look 	 4227.439555829122 0.6002085625550716 
lines 	 6409.044310462933 0.6002085625550716 
announcements 	 6981.1962176179 0.9233237228713409 
putting 	 10656.350961376524 0.6002085625550716 
aside 	 4857.542892161105 0.9233237228713409 
intense 	 9463.562219818596 0.6002085625550716 
rivalry 	 12133.177025738105 0.6002085625550716 
granted 	 4857.542892161105 0.9233237228713409 
ericsson 	 3947.901961183374 1.2633889509362115 
flex 	 15791.607844733497 0.6002085625550716 
motorola's 	 7895.803922366748 0.9233237228713409 
speed 	 2078.6894574422854 1.2633889509362115 
protocol 	 6446.185007469177 0.9233237228713409 
swedish 	 11063.154605440659 0.6002085625550716 
pagers 	 15791.607844733497 0.6002085625550716 
ibm 	 4081.9583878227586 0.9233237228713409 
pacific 	 2673.7444595710863 1.1252443773892415 
telesis 	 7895.803922366748 0.9233237228713409 
accessible 	 10656.350961376524 0.6002085625550716 
thinkpad 	 15791.607844733497 0.6002085625550716 
laptop 	 11544.301193819905 0.6002085625550716 
computers 	 8021.233378713259 0.6002085625550716 
send 	 2788.585369603632 0.6002085625550716 
receive 	 5991.491160700828 0.6002085625550716 
mail 	 4656.32701077375 0.6002085625550716 
facsimile 	 12892.370014938355 0.6002085625550716 
messages 	 9463.562219818596 0.6002085625550716 
internet 	 2731.8304940255093 0.6002085625550716 
key 	 4617.800779101328 0.6002085625550716 
selling 	 7404.723786445267 0.6002085625550716 
bell 	 1619.1809640537015 1.4402001783031706 
california 	 3407.9239772635333 0.9233237228713409 
nevada 	 12133.177025738105 0.6002085625550716 
dynamic 	 9233.939195942963 0.6002085625550716 
field 	 2760.547039009776 0.9233237228713409 
air 	 6409.044310462933 0.6002085625550716 
interface 	 10656.350961376524 0.6002085625550716 
promise 	 9463.562219818596 0.6002085625550716 
offering 	 3758.5193044482344 0.9233237228713409 
times 	 4294.2532510996625 0.6002085625550716 
capacity 	 1459.3989085812627 1.3638517799779162 
analog 	 3223.0925037345887 1.2633889509362115 
cel 	 3007.5688301308332 1.1252443773892415 
lular 	 7895.803922366748 0.9233237228713409 
doubt 	 9993.132185143213 0.6002085625550716 
command 	 9022.7064903925 0.6002085625550716 
limelight 	 13962.3924352358 0.6002085625550716 
achieve 	 6905.314149399191 0.6002085625550716 
commercial 	 3028.327482663409 0.9233237228713409 
status 	 4362.8025597178685 0.6002085625550716 
telecom's 	 7895.803922366748 0.9233237228713409 
