term 	 tf-idf weight 	 BM25 ranking 
 mkext 	 2248.5853675540793 1.453924638525459 
industry 	 670.3172392047484 1.453924638525459 
responsible 	 944.6628701222919 1.453924638525459 
architectural 	 1716.161105943548 1.453924638525459 
associated 	 1044.4696963301874 1.453924638525459 
provide 	 239.90921893466322 1.777468568960344 
permitting 	 1659.4102640781257 1.453924638525459 
regulatory 	 1364.8227123401489 1.453924638525459 
support 	 295.1234914924276 1.6837942812164712 
stakeholders 	 2543.172919292056 1.453924638525459 
regulators 	 1953.9978158161025 1.453924638525459 
ensure 	 1142.442251240216 1.453924638525459 
safe 	 1291.7863531463188 1.453924638525459 
effective 	 889.1492925950396 1.453924638525459 
built 	 1126.9860024675943 1.453924638525459 
operated 	 1781.6751448701325 1.453924638525459 
expertise 	 890.8375724350662 1.6837942812164712 
highly 	 1070.235160602172 1.453924638525459 
instrumentation 	 1859.1618065075634 1.453924638525459 
robotics 	 1487.087593132156 1.453924638525459 
major 	 569.3067871569725 1.453924638525459 
manager 	 1291.7863531463188 1.453924638525459 
bringing 	 1364.8227123401489 1.453924638525459 
unequaled 	 2248.5853675540793 1.453924638525459 
knowledge 	 925.3413611396701 1.453924638525459 
characteristics 	 1020.1773704482092 1.453924638525459 
emanates 	 2543.172919292056 1.453924638525459 
specialty 	 858.080552971774 1.6837942812164712 
include 	 725.5898187102325 1.453924638525459 
selected 	 1112.0721915478046 1.453924638525459 
unparalleled 	 1953.9978158161025 1.453924638525459 
commercial 	 975.3991512936329 1.453924638525459 
scale 	 624.6254416298005 1.6837942812164712 
vitrification 	 2543.172919292056 1.453924638525459 
chosen 	 1392.2515838236166 1.453924638525459 
unique 	 528.5786028344008 1.6837942812164712 
metal 	 1859.1618065075634 1.453924638525459 
melting 	 2076.2626966081093 1.453924638525459 
recycling 	 1716.161105943548 1.453924638525459 
capabilities 	 1524.0674283527485 1.453924638525459 
represents 	 1249.250883259601 1.453924638525459 
leading 	 655.0461352836714 1.453924638525459 
edge 	 1392.2515838236166 1.453924638525459 
characterization 	 1453.0694423709028 1.453924638525459 
systems 	 670.3172392047484 1.453924638525459 
mail 	 749.8821445922105 1.453924638525459 
mkcorp 	 1124.2926837770397 1.6837942812164712 
com 	 102.56908990527346 1.6837942812164712 
mailto 	 308.7373861802488 1.453924638525459 
return 	 322.5809844319289 1.6837942812164712 
releases 	 1659.4102640781257 1.453924638525459 
press 	 691.5716679489794 1.453924638525459 
htm 	 139.41277377824198 1.6837942812164712 
mkicon 	 2076.2626966081093 1.453924638525459 
home 	 189.8058558091779 1.453924638525459 
page 	 208.62180587232282 1.453924638525459 
header 	 1175.1506937230706 1.453924638525459 
