term 	 tf-idf weight 	 BM25 ranking 
 pubs 	 4563.184459273269 1.01939662875008 
expenses 	 6297.82986209496 0.6840203152038943 
limited 	 4599.4246823095355 0.6840203152038943 
evolution 	 4996.338711449974 0.6840203152038943 
provide 	 1843.349539837983 1.01939662875008 
humanism 	 8790.782888562597 0.6840203152038943 
improve 	 504.65810353562273 1.7022738816827796 
patients 	 420.91812288225395 1.7853267575341076 
proposed 	 5287.03655319356 0.6840203152038943 
mechanism 	 1904.3468766168844 1.3504640219090038 
cost 	 402.2883370640224 1.7022738816827796 
benefit 	 717.1774898008206 1.5144077407632044 
relationship 	 1603.4440686844155 1.01939662875008 
minimize 	 4761.641473843489 1.01939662875008 
personnel 	 510.80042133316715 1.6773050062456023 
phase 	 998.7290906771442 1.5688226060202863 
study 	 377.3212650848945 1.5688226060202863 
included 	 4996.338711449974 0.6840203152038943 
laparoscopic 	 366.7362182974324 1.875572589254819 
hernia 	 3256.7573207640035 1.3504640219090038 
repairs 	 10009.066458898013 0.6840203152038943 
cholecystectomies 	 13027.029283056014 0.6840203152038943 
nissen 	 1861.0041832937163 1.5688226060202863 
fundoplications 	 13027.029283056014 0.6840203152038943 
surgeon 	 198.58703225822435 1.93578888905853 
solo 	 542.7928867940005 1.8515739895338994 
primary 	 5350.14242096663 0.6840203152038943 
participant 	 9523.282947686977 0.6840203152038943 
operative 	 314.70237650160476 1.875572589254819 
sterile 	 10635.350330625539 0.6840203152038943 
field 	 101.21192209042621 1.9179995615670284 
scrub 	 6513.514641528007 1.01939662875008 
nurse 	 2671.4338452026586 1.218548806736472 
participate 	 6399.103936132122 0.6840203152038943 
technical 	 396.5170813494178 1.7583643450070308 
mishaps 	 2171.171547176002 1.5144077407632044 
complications 	 5759.023935488506 1.01939662875008 
related 	 865.0783683335286 1.3504640219090038 
concept 	 1095.9259468132611 1.3504640219090038 
times 	 506.06773819325315 1.5688226060202863 
statistically 	 10635.350330625539 0.6840203152038943 
similar 	 1434.3549796016412 1.218548806736472 
equivalent 	 9523.282947686977 0.6840203152038943 
utilizing 	 761.7387506467537 1.6773050062456023 
multiple 	 1301.064024705795 1.4442748710061248 
repair 	 2539.1291688225124 1.218548806736472 
amenable 	 13027.029283056014 0.6840203152038943 
due 	 837.4889698192917 1.4442748710061248 
access 	 1173.0192407248132 1.3504640219090038 
ports 	 2127.0700661251076 1.4442748710061248 
cholecystectomy 	 1628.3786603820017 1.6122710324040976 
occasionally 	 8243.671378195064 0.6840203152038943 
requires 	 1850.4130462972832 1.218548806736472 
increasing 	 2583.0304936147686 1.01939662875008 
complexity 	 3808.693753233769 1.01939662875008 
measurable 	 9523.282947686977 0.6840203152038943 
degree 	 2886.4100322022973 1.01939662875008 
fundoplication 	 2171.171547176002 1.5144077407632044 
proved 	 8790.782888562597 0.6840203152038943 
adapt 	 10635.350330625539 0.6840203152038943 
successfully 	 1371.824766609126 1.4442748710061248 
involved 	 4077.656880750715 0.6840203152038943 
combination 	 1747.7759086850024 1.3504640219090038 
technologically 	 10635.350330625539 0.6840203152038943 
sophisticated 	 744.3134531862247 1.6773050062456023 
technology 	 271.8437920500476 1.7726421297433195 
outcomes 	 8500.085046819011 0.6840203152038943 
head 	 1209.724157797782 1.3504640219090038 
mounted 	 2658.8375826563847 1.3504640219090038 
display 	 1648.7342756390128 1.4442748710061248 
aesop 	 10009.066458898013 0.6840203152038943 
harmonic 	 1645.4354101395734 1.5688226060202863 
scalpel 	 1628.3786603820017 1.6122710324040976 
spine 	 3839.349290325671 1.218548806736472 
gastric 	 3256.7573207640035 1.3504640219090038 
colon 	 6513.514641528007 1.01939662875008 
resection 	 6513.514641528007 1.01939662875008 
technologies 	 413.5074739923471 1.806876088008939 
added 	 2675.071210483315 1.01939662875008 
safety 	 988.5165787681472 1.4442748710061248 
versatility 	 1628.3786603820017 1.6122710324040976 
increase 	 2277.26824703459 1.01939662875008 
length 	 3721.567265931124 1.01939662875008 
additive 	 4342.343094352004 1.218548806736472 
effect 	 3433.6014817617347 0.6840203152038943 
benefits 	 511.0471869232817 1.6477647050672473 
experiences 	 1096.4244445322017 1.4442748710061248 
contributed 	 7806.8112741739615 0.6840203152038943 
complication 	 13027.029283056014 0.6840203152038943 
adverse 	 9126.368918546537 0.6840203152038943 
result 	 651.0251516107475 1.5144077407632044 
successful 	 1186.8306239566496 1.4442748710061248 
depth 	 1070.028484193326 1.4442748710061248 
educational 	 2255.2776001194698 1.01939662875008 
experience 	 1953.0754548322425 1.01939662875008 
operating 	 406.8875900839614 1.7583643450070308 
team 	 2067.0194583260845 1.218548806736472 
effort 	 5696.42626117546 0.6840203152038943 
control 	 191.7427176783843 1.7853267575341076 
visual 	 272.04955380241205 1.8714144596896354 
fields 	 3565.801997628251 1.01939662875008 
tested 	 7443.134531862248 0.6840203152038943 
prototype 	 2197.695722140649 1.3504640219090038 
voice 	 359.31800555226687 1.7966707911926099 
activation 	 590.8527961458633 1.806876088008939 
instrument 	 214.34761978267596 1.8865761102189562 
tracking 	 351.63131554250384 1.8570867891980989 
method 	 2346.0384814496265 1.01939662875008 
create 	 4645.257954133216 0.6840203152038943 
nearly 	 7617.387506467538 0.6840203152038943 
seamless 	 10635.350330625539 0.6840203152038943 
deactivation 	 13027.029283056014 0.6840203152038943 
allows 	 1301.064024705795 1.4442748710061248 
instruments 	 1213.6335794139325 1.5144077407632044 
procedure 	 494.5127599819373 1.7236562772131032 
color 	 1654.2464063526681 1.3504640219090038 
coded 	 5317.675165312769 1.01939662875008 
system 	 469.6492180791105 1.4442748710061248 
effective 	 2277.26824703459 1.01939662875008 
hands 	 6399.103936132122 0.6840203152038943 
induced 	 8500.085046819011 0.6840203152038943 
errors 	 7617.387506467538 0.6840203152038943 
performance 	 611.2653155066401 1.6122710324040976 
shortened 	 5759.023935488506 1.01939662875008 
time 	 159.67430216805244 1.7421731469503192 
required 	 644.3650286055628 1.5688226060202863 
specific 	 2348.2460903955525 0.6840203152038943 
procedural 	 2281.5922296366343 1.3504640219090038 
tasks 	 2003.575383901994 1.3504640219090038 
process 	 3407.2132798828197 0.6840203152038943 
improves 	 3174.4276492289923 1.218548806736472 
increases 	 3308.4928127053363 1.01939662875008 
concentration 	 1602.8603071215953 1.4442748710061248 
reduces 	 8790.782888562597 0.6840203152038943 
fatigue 	 2658.8375826563847 1.3504640219090038 
interfere 	 9523.282947686977 0.6840203152038943 
position 	 526.5933644102292 1.5144077407632044 
improvement 	 3100.5291874891273 1.01939662875008 
observed 	 7281.801476483596 0.6840203152038943 
techniques 	 4343.011013685588 0.6840203152038943 
appropriate 	 2612.854277018531 1.01939662875008 
consistent 	 8014.301535607976 0.6840203152038943 
terminology 	 11518.047870977012 0.6840203152038943 
proper 	 6297.82986209496 0.6840203152038943 
positioning 	 7806.8112741739615 0.6840203152038943 
unit 	 5696.42626117546 0.6840203152038943 
locations 	 7617.387506467538 0.6840203152038943 
video 	 3495.5518173700048 1.01939662875008 
screen 	 8014.301535607976 0.6840203152038943 
concluded 	 8014.301535607976 0.6840203152038943 
continue 	 5051.455579431773 0.6840203152038943 
reduce 	 1370.5305556652522 1.3504640219090038 
costs 	 1548.4193180444054 1.218548806736472 
risk 	 344.40406581530243 1.7726421297433195 
undergoing 	 2127.0700661251076 1.4442748710061248 
diminished 	 2502.266614724503 1.3504640219090038 
resources 	 4077.656880750715 0.6840203152038943 
accrue 	 10635.350330625539 0.6840203152038943 
sequential 	 11518.047870977012 0.6840203152038943 
requiring 	 7131.603995256502 0.6840203152038943 
simultaneous 	 8243.671378195064 0.6840203152038943 
investment 	 5287.03655319356 0.6840203152038943 
development 	 844.425438244616 1.218548806736472 
conclude 	 8790.782888562597 0.6840203152038943 
robotically 	 6513.514641528007 1.01939662875008 
enhanced 	 8243.671378195064 0.6840203152038943 
effectiveness 	 1741.9028513456872 1.218548806736472 
diminish 	 2879.511967744253 1.3504640219090038 
introduction 	 4467.444880615156 0.6840203152038943 
heretofore 	 13027.029283056014 0.6840203152038943 
enjoyed 	 8790.782888562597 0.6840203152038943 
quality 	 1184.9812607065069 1.3504640219090038 
continuous 	 8500.085046819011 0.6840203152038943 
technological 	 6616.985625410673 0.6840203152038943 
advancements 	 11518.047870977012 0.6840203152038943 
improvements 	 8014.301535607976 0.6840203152038943 
environment 	 993.285202645502 1.3504640219090038 
associated 	 1783.3808069888767 1.218548806736472 
historically 	 6616.985625410673 0.6840203152038943 
measured 	 8014.301535607976 0.6840203152038943 
increased 	 1057.407310638712 1.4442748710061248 
current 	 1533.9417414270745 1.01939662875008 
economic 	 3255.267906149145 0.6840203152038943 
tends 	 5004.533229449006 1.01939662875008 
slow 	 6991.1036347400095 0.6840203152038943 
progress 	 5482.122222661009 0.6840203152038943 
elucidated 	 13027.029283056014 0.6840203152038943 
intense 	 7806.8112741739615 0.6840203152038943 
focus 	 1045.1417108074124 1.4442748710061248 
minimizing 	 9126.368918546537 0.6840203152038943 
healthcare 	 1437.3611875870217 1.01939662875008 
evolving 	 7443.134531862248 0.6840203152038943 
carries 	 8243.671378195064 0.6840203152038943 
burden 	 7443.134531862248 0.6840203152038943 
productivity 	 3903.4056370869807 1.01939662875008 
simultaneously 	 2747.890459398355 1.218548806736472 
decrease 	 2602.270424724654 1.218548806736472 
patient 	 1221.6812188777071 1.4442748710061248 
considered 	 4510.5552002389395 0.6840203152038943 
viable 	 6734.689966116063 0.6840203152038943 
product 	 2811.3112915887505 1.01939662875008 
theater 	 2671.4338452026586 1.218548806736472 
attempt 	 4510.5552002389395 0.6840203152038943 
address 	 2322.628977066608 1.01939662875008 
issue 	 3090.443270230534 0.6840203152038943 
chosen 	 7131.603995256502 0.6840203152038943 
key 	 3809.37942254778 0.6840203152038943 
diminishing 	 2502.266614724503 1.3504640219090038 
improving 	 1683.6724915290158 1.3504640219090038 
hold 	 5551.2391388918495 0.6840203152038943 
laparoscope 	 1251.1333073622516 1.6122710324040976 
camera 	 2281.5922296366343 1.3504640219090038 
moves 	 6991.1036347400095 0.6840203152038943 
precision 	 5004.533229449006 1.01939662875008 
direct 	 1209.724157797782 1.3504640219090038 
surgeon1 	 13027.029283056014 0.6840203152038943 
physician's 	 2879.511967744253 1.3504640219090038 
assistant 	 846.3763896075042 1.6477647050672473 
allowing 	 1599.7759840330305 1.3504640219090038 
individual 	 3657.079575150536 0.6840203152038943 
diminishes 	 1447.447698117335 1.6477647050672473 
communication 	 5350.14242096663 0.6840203152038943 
maintains 	 4007.150767803988 1.01939662875008 
optical 	 3042.1229728488456 1.218548806736472 
stable 	 1700.0170093638021 1.4442748710061248 
motionless 	 2171.171547176002 1.5144077407632044 
providing 	 1489.1482935383854 1.218548806736472 
task 	 1426.3207990513004 1.4442748710061248 
image 	 656.5646994155352 1.5144077407632044 
occurs 	 2602.270424724654 1.218548806736472 
conjunction 	 9523.282947686977 0.6840203152038943 
dramatically 	 9126.368918546537 0.6840203152038943 
compared 	 574.9280852886919 1.6122710324040976 
hand 	 1321.75913829839 1.3504640219090038 
held 	 4113.6411710985 0.6840203152038943 
cumulative 	 1825.2737837093075 1.4442748710061248 
enhances 	 6513.514641528007 1.01939662875008 
resultant 	 3252.6600617644876 1.01939662875008 
concomitant 	 13027.029283056014 0.6840203152038943 
diminution 	 6513.514641528007 1.01939662875008 
error 	 2427.267158827865 1.218548806736472 
synergistically 	 6513.514641528007 1.01939662875008 
shorten 	 13027.029283056014 0.6840203152038943 
commensurate 	 13027.029283056014 0.6840203152038943 
include 	 1858.3635709790308 1.01939662875008 
hmd 	 1447.447698117335 1.6477647050672473 
zoom 	 3839.349290325671 1.218548806736472 
lens 	 4342.343094352004 1.218548806736472 
provides 	 645.5689084403134 1.5144077407632044 
relaxed 	 10635.350330625539 0.6840203152038943 
binocular 	 2605.4058566112026 1.4442748710061248 
vision 	 1057.407310638712 1.4442748710061248 
stability 	 7131.603995256502 0.6840203152038943 
image2 	 13027.029283056014 0.6840203152038943 
specifically 	 4942.582893840736 0.6840203152038943 
normal 	 2099.27662069832 1.218548806736472 
eye 	 945.2836607729532 1.5688226060202863 
axis 	 4121.835689097532 1.01939662875008 
avoiding 	 8014.301535607976 0.6840203152038943 
inefficient 	 10635.350330625539 0.6840203152038943 
dangerous 	 6734.689966116063 0.6840203152038943 
paradoxic 	 13027.029283056014 0.6840203152038943 
motion3 	 13027.029283056014 0.6840203152038943 
addition 	 1209.724157797782 1.3504640219090038 
vision4 	 13027.029283056014 0.6840203152038943 
circumstance 	 4563.184459273269 1.01939662875008 
outcome 	 6734.689966116063 0.6840203152038943 
versatile 	 3336.3554862993374 1.218548806736472 
cuts 	 3808.693753233769 1.01939662875008 
coagulates 	 6513.514641528007 1.01939662875008 
acts 	 6201.0583749782545 0.6840203152038943 
retractor 	 13027.029283056014 0.6840203152038943 
grasper 	 13027.029283056014 0.6840203152038943 
pointer 	 10635.350330625539 0.6840203152038943 
sharp 	 8790.782888562597 0.6840203152038943 
dissector 	 13027.029283056014 0.6840203152038943 
blunt 	 13027.029283056014 0.6840203152038943 
dissector5 	 13027.029283056014 0.6840203152038943 
exchanges 	 2502.266614724503 1.3504640219090038 
intermittently 	 13027.029283056014 0.6840203152038943 
changing 	 4467.444880615156 0.6840203152038943 
exchange 	 1291.5152468073843 1.3504640219090038 
ultimate 	 6201.0583749782545 0.6840203152038943 
adds 	 2125.0212617047528 1.3504640219090038 
opportunity 	 1683.8185264772576 1.218548806736472 
fish 	 4761.641473843489 1.01939662875008 
panoramic 	 13027.029283056014 0.6840203152038943 
view 	 223.16030498003397 1.7853267575341076 
versus 	 6859.123833045631 0.6840203152038943 
close 	 5108.004213331672 0.6840203152038943 
detailed 	 4599.4246823095355 0.6840203152038943 
changeable 	 13027.029283056014 0.6840203152038943 
switch 	 9126.368918546537 0.6840203152038943 
size 	 6019.536612317941 0.6840203152038943 
magnitude 	 10009.066458898013 0.6840203152038943 
currently 	 4599.4246823095355 0.6840203152038943 
controlled 	 3429.5619165228154 1.01939662875008 
foot 	 728.5728668734524 1.7022738816827796 
pedal 	 1447.447698117335 1.6477647050672473 
reasonable 	 6734.689966116063 0.6840203152038943 
pedals 	 6513.514641528007 1.01939662875008 
compete 	 9523.282947686977 0.6840203152038943 
space 	 4554.53649406918 0.6840203152038943 
attention 	 2322.628977066608 1.01939662875008 
forms 	 3939.3881964932116 0.6840203152038943 
subsequent 	 1424.106565293865 1.3504640219090038 
beneficial 	 4563.184459273269 1.01939662875008 
issues 	 1511.7266846565058 1.01939662875008 
designed 	 4113.6411710985 0.6840203152038943 
enhancement6 	 13027.029283056014 0.6840203152038943 
aid 	 4890.122524053121 0.6840203152038943 
synergistic 	 6513.514641528007 1.01939662875008 
enhance 	 1648.7342756390128 1.4442748710061248 
third 	 4425.171707704247 0.6840203152038943 
investigate 	 6734.689966116063 0.6840203152038943 
subsequently 	 7131.603995256502 0.6840203152038943 
methods 	 1813.9288299437328 1.01939662875008 
performed 	 1213.6335794139325 1.5144077407632044 
electively 	 13027.029283056014 0.6840203152038943 
defined 	 5934.153119783247 0.6840203152038943 
help 	 1249.0583969123566 1.218548806736472 
occasions 	 5317.675165312769 1.01939662875008 
removed 	 1951.7028185434904 1.3504640219090038 
abdomen 	 13027.029283056014 0.6840203152038943 
clean 	 2427.267158827865 1.218548806736472 
tip 	 2380.8207369217444 1.3504640219090038 
recorded 	 1860.783632965562 1.3504640219090038 
affixed 	 11518.047870977012 0.6840203152038943 
data 	 609.5132625250893 1.5144077407632044 
collected 	 7281.801476483596 0.6840203152038943 
circumstances 	 938.4153925798506 1.4442748710061248 
immediately 	 5934.153119783247 0.6840203152038943 
available 	 3407.2132798828197 0.6840203152038943 
necessity 	 3640.900738241798 1.01939662875008 
assess 	 7617.387506467538 0.6840203152038943 
plus 	 3495.5518173700048 1.01939662875008 
highly 	 2741.0611113305044 1.01939662875008 
utilized 	 4007.150767803988 1.01939662875008 
optics 	 10009.066458898013 0.6840203152038943 
ergonomic 	 5759.023935488506 1.01939662875008 
sitting 	 2833.3616822730037 1.218548806736472 
elective 	 11518.047870977012 0.6840203152038943 
anterior 	 6513.514641528007 1.01939662875008 
category 	 6399.103936132122 0.6840203152038943 
scope 	 2427.267158827865 1.218548806736472 
comparable 	 1373.9452296991774 1.5144077407632044 
absence 	 6399.103936132122 0.6840203152038943 
iii 	 6019.536612317941 0.6840203152038943 
porcine 	 13027.029283056014 0.6840203152038943 
model 	 4554.53649406918 0.6840203152038943 
move 	 783.1603175230013 1.5688226060202863 
computer 	 5051.455579431773 0.6840203152038943 
sensor 	 9523.282947686977 0.6840203152038943 
blue 	 2168.440041176325 1.218548806736472 
tape 	 9126.368918546537 0.6840203152038943 
shaft 	 2879.511967744253 1.3504640219090038 
surgeon's 	 1519.335761517934 1.5688226060202863 
moved 	 8243.671378195064 0.6840203152038943 
location 	 2244.896655372021 1.218548806736472 
device 	 2377.2013317521673 1.218548806736472 
activated 	 1668.1777431496687 1.5144077407632044 
skills 	 1203.9073224635881 1.4442748710061248 
running 	 7131.603995256502 0.6840203152038943 
bowel 	 13027.029283056014 0.6840203152038943 
suturing 	 13027.029283056014 0.6840203152038943 
tying 	 11518.047870977012 0.6840203152038943 
dissecting 	 13027.029283056014 0.6840203152038943 
adhesions 	 13027.029283056014 0.6840203152038943 
ability 	 1548.4193180444054 1.218548806736472 
inability 	 6616.985625410673 0.6840203152038943 
appropriately 	 9523.282947686977 0.6840203152038943 
determine 	 5051.455579431773 0.6840203152038943 
imprinted 	 13027.029283056014 0.6840203152038943 
following 	 3206.888137368831 0.6840203152038943 
words 	 5851.992425764589 0.6840203152038943 
left 	 789.9875071376712 1.5144077407632044 
command 	 827.0149479846942 1.6477647050672473 
direction 	 2036.1353647961787 1.218548806736472 
described 	 2675.071210483315 1.01939662875008 
robot 	 6505.320123528975 0.6840203152038943 
resulting 	 5350.14242096663 0.6840203152038943 
commands 	 4007.150767803988 1.01939662875008 
results 	 3778.055141114559 0.6840203152038943 
underwent 	 13027.029283056014 0.6840203152038943 
approach 	 1475.0572359014154 1.218548806736472 
experienced 	 2641.2488555942614 0.6840203152038943 
completion 	 8243.671378195064 0.6840203152038943 
incidents 	 7443.134531862248 0.6840203152038943 
mishap 	 13027.029283056014 0.6840203152038943 
average 	 2205.661875136891 1.218548806736472 
minutes 	 792.4004439173891 1.6477647050672473 
herniorrhaphy 	 6513.514641528007 1.01939662875008 
cleaning 	 3336.3554862993374 1.218548806736472 
minute 	 1523.4775012935074 1.4442748710061248 
interval 	 2303.6095741954027 1.4442748710061248 
involving 	 2886.4100322022973 1.01939662875008 
completed 	 6399.103936132122 0.6840203152038943 
unrelated 	 6513.514641528007 1.01939662875008 
colectomy 	 13027.029283056014 0.6840203152038943 
entirely 	 3640.900738241798 1.01939662875008 
motions 	 3545.1167768751793 1.218548806736472 
upward 	 11518.047870977012 0.6840203152038943 
downward 	 10009.066458898013 0.6840203152038943 
inward 	 5759.023935488506 1.01939662875008 
outward 	 5317.675165312769 1.01939662875008 
instrumentation 	 4761.641473843489 1.01939662875008 
accomplished 	 2197.695722140649 1.3504640219090038 
inactivated 	 13027.029283056014 0.6840203152038943 
movement 	 604.6429433145776 1.5144077407632044 
skill 	 9126.368918546537 0.6840203152038943 
unable 	 6399.103936132122 0.6840203152038943 
accomplish 	 3174.4276492289923 1.218548806736472 
ease 	 9523.282947686977 0.6840203152038943 
start 	 2348.2460903955525 0.6840203152038943 
motion 	 3495.5518173700048 1.01939662875008 
increments 	 11518.047870977012 0.6840203152038943 
especially 	 3778.055141114559 0.6840203152038943 
provided 	 4996.338711449974 0.6840203152038943 
solution 	 6019.536612317941 0.6840203152038943 
discussion 	 3230.943630747027 0.6840203152038943 
identified 	 6859.123833045631 0.6840203152038943 
delineated 	 3839.349290325671 1.218548806736472 
studies 	 2332.179596808628 0.6840203152038943 
variety 	 2277.26824703459 1.01939662875008 
robotics 	 7617.387506467538 0.6840203152038943 
perform 	 2168.440041176325 1.218548806736472 
free 	 2754.857240246593 0.6840203152038943 
interventions 	 11518.047870977012 0.6840203152038943 
noted 	 2471.291446920368 1.01939662875008 
additional 	 1805.0441072478286 1.218548806736472 
equipment 	 5415.132321743486 0.6840203152038943 
trade 	 4645.257954133216 0.6840203152038943 
methodology 	 6991.1036347400095 0.6840203152038943 
usually 	 5482.122222661009 0.6840203152038943 
involve 	 8014.301535607976 0.6840203152038943 
participating 	 8500.085046819011 0.6840203152038943 
holder 	 10009.066458898013 0.6840203152038943 
modified 	 3252.6600617644876 1.01939662875008 
preoperative 	 13027.029283056014 0.6840203152038943 
setup 	 10635.350330625539 0.6840203152038943 
raised 	 6616.985625410673 0.6840203152038943 
consciousness 	 6859.123833045631 0.6840203152038943 
cleaned 	 11518.047870977012 0.6840203152038943 
occasion 	 9523.282947686977 0.6840203152038943 
removal 	 7617.387506467538 0.6840203152038943 
defogging 	 13027.029283056014 0.6840203152038943 
defocuses 	 13027.029283056014 0.6840203152038943 
reduction 	 2168.440041176325 1.218548806736472 
maneuvers 	 10009.066458898013 0.6840203152038943 
shortening 	 13027.029283056014 0.6840203152038943 
defocusing 	 13027.029283056014 0.6840203152038943 
holds 	 6991.1036347400095 0.6840203152038943 
perfectly 	 10009.066458898013 0.6840203152038943 
stationary 	 9126.368918546537 0.6840203152038943 
concentrated 	 10635.350330625539 0.6840203152038943 
phenomenon 	 3429.5619165228154 1.01939662875008 
eventually 	 6991.1036347400095 0.6840203152038943 
translate 	 13027.029283056014 0.6840203152038943 
practical 	 5287.03655319356 0.6840203152038943 
imminently 	 13027.029283056014 0.6840203152038943 
series 	 4942.582893840736 0.6840203152038943 
lengthen 	 11518.047870977012 0.6840203152038943 
individuals 	 4942.582893840736 0.6840203152038943 
invariably 	 10635.350330625539 0.6840203152038943 
occurred 	 5696.42626117546 0.6840203152038943 
human 	 3355.377497676595 0.6840203152038943 
maintained 	 7617.387506467538 0.6840203152038943 
minimized 	 11518.047870977012 0.6840203152038943 
events 	 4007.424983701647 0.6840203152038943 
factors 	 4077.656880750715 0.6840203152038943 
continuity 	 9523.282947686977 0.6840203152038943 
interruption 	 13027.029283056014 0.6840203152038943 
allowed 	 5350.14242096663 0.6840203152038943 
maintain 	 5482.122222661009 0.6840203152038943 
front 	 5287.03655319356 0.6840203152038943 
exactly 	 7131.603995256502 0.6840203152038943 
plane 	 9523.282947686977 0.6840203152038943 
accommodated 	 13027.029283056014 0.6840203152038943 
paradoxical 	 5759.023935488506 1.01939662875008 
eliminated 	 10009.066458898013 0.6840203152038943 
risks 	 6734.689966116063 0.6840203152038943 
inefficiencies 	 11518.047870977012 0.6840203152038943 
disparity 	 6513.514641528007 1.01939662875008 
monitor 	 1747.7759086850024 1.3504640219090038 
work7 	 13027.029283056014 0.6840203152038943 
perceived 	 2427.267158827865 1.218548806736472 
dual 	 8243.671378195064 0.6840203152038943 
liquid 	 9523.282947686977 0.6840203152038943 
crystal 	 10009.066458898013 0.6840203152038943 
displays 	 9523.282947686977 0.6840203152038943 
sided 	 5759.023935488506 1.01939662875008 
perception 	 5934.153119783247 0.6840203152038943 
eyes 	 6399.103936132122 0.6840203152038943 
fix 	 9523.282947686977 0.6840203152038943 
distant 	 10009.066458898013 0.6840203152038943 
focal 	 10009.066458898013 0.6840203152038943 
coupled 	 7806.8112741739615 0.6840203152038943 
brings 	 8243.671378195064 0.6840203152038943 
dimensional 	 1825.2737837093075 1.4442748710061248 
opposed 	 5851.992425764589 0.6840203152038943 
exaggerated 	 13027.029283056014 0.6840203152038943 
active 	 2244.896655372021 1.218548806736472 
glasses 	 5759.023935488506 1.01939662875008 
major 	 2916.190295625245 0.6840203152038943 
savings 	 6297.82986209496 0.6840203152038943 
inherent 	 6616.985625410673 0.6840203152038943 
spend 	 7281.801476483596 0.6840203152038943 
excess 	 8500.085046819011 0.6840203152038943 
developing 	 5108.004213331672 0.6840203152038943 
tactile 	 10635.350330625539 0.6840203152038943 
clues 	 11518.047870977012 0.6840203152038943 
lack 	 4739.9250428260275 0.6840203152038943 
translated 	 5004.533229449006 1.01939662875008 
shorter 	 9126.368918546537 0.6840203152038943 
lcs 	 3256.7573207640035 1.3504640219090038 
aforementioned 	 13027.029283056014 0.6840203152038943 
retracts 	 13027.029283056014 0.6840203152038943 
grasps 	 13027.029283056014 0.6840203152038943 
bluntly 	 13027.029283056014 0.6840203152038943 
dissects8 	 13027.029283056014 0.6840203152038943 
separate 	 5622.622583177501 0.6840203152038943 
eliminates 	 6513.514641528007 1.01939662875008 
ultrasonic 	 13027.029283056014 0.6840203152038943 
energy 	 4645.257954133216 0.6840203152038943 
cut 	 7281.801476483596 0.6840203152038943 
coagulate 	 13027.029283056014 0.6840203152038943 
monopolar 	 4342.343094352004 1.218548806736472 
cautery 	 2605.4058566112026 1.4442748710061248 
endoscopic 	 5317.675165312769 1.01939662875008 
