term 	 tf-idf weight 	 BM25 ranking 
 robomedia 	 723.0279508188239 1.7686707901398855 
program 	 49.8935585489092 1.927953644897401 
coast 	 495.0420847586459 1.7686707901398855 
save 	 990.0841695172918 1.5853068944952025 
costs 	 315.8007244886155 1.7686707901398855 
administrators 	 1195.2557349630356 1.5853068944952025 
tools 	 932.6139892427683 1.5853068944952025 
skills 	 818.457894922421 1.5853068944952025 
mount 	 1446.0559016376478 1.5853068944952025 
local 	 92.65366383512308 1.9005678476871903 
media 	 42.71982843467481 1.916447556465019 
relations 	 526.6561237436824 1.5853068944952025 
government 	 349.2549098423644 1.5853068944952025 
campaigns 	 856.2965728893469 1.5853068944952025 
experience 	 531.1073354435864 1.5853068944952025 
hired 	 1120.8666641918874 1.5853068944952025 
design 	 554.4264752881082 1.5853068944952025 
implement 	 1061.4681383350908 1.5853068944952025 
series 	 672.0278073389333 1.5853068944952025 
national 	 337.36576149166535 1.5853068944952025 
marketing 	 231.50654526813273 1.8395961785473947 
programs 	 96.33186527665784 1.9005678476871903 
period 	 569.3540079616682 1.5853068944952025 
educational 	 306.64316473833856 1.7686707901398855 
htm 	 32.36563218694873 1.916447556465019 
segment 	 1089.6799515571709 1.5853068944952025 
ran 	 597.6278674815178 1.7686707901398855 
provides 	 526.6561237436824 1.5853068944952025 
excellent 	 1012.0201292747935 1.5853068944952025 
multiple 	 884.5083861114271 1.5853068944952025 
location 	 915.6950987461437 1.5853068944952025 
promotion 	 950.5588773004331 1.5853068944952025 
robots 	 1035.7127707461605 1.5853068944952025 
results 	 256.845273718399 1.7686707901398855 
set 	 439.30147666564994 1.5853068944952025 
objectives 	 702.4134369407179 1.5853068944952025 
exceeded 	 723.0279508188239 1.7686707901398855 
donated 	 1566.0735736376646 1.5853068944952025 
targeted 	 1195.2557349630356 1.5853068944952025 
schools 	 795.6774267461269 1.5853068944952025 
taught 	 1012.0201292747935 1.5853068944952025 
robot 	 294.83612870380904 1.8395961785473947 
mascots 	 885.6225695417043 1.7686707901398855 
conclusion 	 702.4134369407179 1.5853068944952025 
children 	 279.65957433283324 1.7686707901398855 
families 	 884.5083861114271 1.5853068944952025 
direct 	 657.9299048381139 1.5853068944952025 
contact 	 159.29619158439002 1.8395961785473947 
clients 	 99.45967834326586 1.9366742901239224 
custom 	 192.6671479273197 1.7686707901398855 
promotional 	 1155.730442746177 1.5853068944952025 
materials 	 702.4134369407179 1.5853068944952025 
generous 	 1771.2451390834085 1.5853068944952025 
support 	 411.08966344356975 1.5853068944952025 
education 	 321.4845582979386 1.5853068944952025 
amply 	 1771.2451390834085 1.5853068944952025 
rewarded 	 1446.0559016376478 1.5853068944952025 
agency 	 625.3696398546726 1.5853068944952025 
counts 	 1566.0735736376646 1.5853068944952025 
mascot 	 482.018633879216 1.8395961785473947 
magnet 	 1566.0735736376646 1.5853068944952025 
coverage 	 236.84117776679994 1.8395961785473947 
return 	 449.33633596165157 1.5853068944952025 
cnn 	 1195.2557349630356 1.5853068944952025 
international 	 399.3653585674362 1.5853068944952025 
minute 	 1035.7127707461605 1.5853068944952025 
spot 	 530.7340691675454 1.7686707901398855 
times 	 481.65932638328917 1.5853068944952025 
identified 	 932.6139892427683 1.5853068944952025 
prominently 	 1771.2451390834085 1.5853068944952025 
featured 	 1195.2557349630356 1.5853068944952025 
appeared 	 950.5588773004331 1.5853068944952025 
hundreds 	 870.0664975172751 1.5853068944952025 
spots 	 1360.9020081919207 1.5853068944952025 
told 	 718.862112882542 1.5853068944952025 
nationwide 	 1061.4681383350908 1.5853068944952025 
worth 	 932.6139892427683 1.5853068944952025 
front 	 718.862112882542 1.5853068944952025 
feature 	 969.6622795571542 1.5853068944952025 
articles 	 702.4134369407179 1.5853068944952025 
principals 	 1294.8515170029148 1.5853068944952025 
teachers 	 915.6950987461437 1.5853068944952025 
parents 	 856.2965728893469 1.5853068944952025 
sent 	 421.56942558419 1.7686707901398855 
personal 	 423.29757916964826 1.5853068944952025 
letters 	 506.01006463739674 1.7686707901398855 
appreciation 	 1771.2451390834085 1.5853068944952025 
significant 	 631.601448977231 1.5853068944952025 
praise 	 1294.8515170029148 1.5853068944952025 
senators 	 1360.9020081919207 1.5853068944952025 
congressional 	 1061.4681383350908 1.5853068944952025 
representatives 	 774.5255734074121 1.5853068944952025 
governors 	 1360.9020081919207 1.5853068944952025 
mayors 	 1195.2557349630356 1.5853068944952025 
proclamations 	 885.6225695417043 1.7686707901398855 
applauding 	 1771.2451390834085 1.5853068944952025 
contributions 	 710.5235333003998 1.5853068944952025 
passed 	 795.6774267461269 1.5853068944952025 
california 	 764.4907141114103 1.5853068944952025 
maryland 	 1240.8843361919041 1.5853068944952025 
texas 	 1012.0201292747935 1.5853068944952025 
florida 	 1155.730442746177 1.5853068944952025 
followed 	 843.13885116838 1.5853068944952025 
dozens 	 1771.2451390834085 1.5853068944952025 
city 	 493.26865747666045 1.5853068944952025 
distinguished 	 1240.8843361919041 1.5853068944952025 
president 	 501.2691445034846 1.5853068944952025 
bush 	 1120.8666641918874 1.5853068944952025 
third 	 601.6769983833059 1.5853068944952025 
special 	 489.3480703586544 1.5853068944952025 
white 	 625.3696398546726 1.5853068944952025 
house 	 531.1073354435864 1.5853068944952025 
ceremony 	 1195.2557349630356 1.5853068944952025 
presidential 	 644.4730421113937 1.5853068944952025 
award 	 299.8970670833807 1.8395961785473947 
sector 	 915.6950987461437 1.5853068944952025 
initiatives 	 1240.8843361919041 1.5853068944952025 
enormous 	 1061.4681383350908 1.5853068944952025 
field 	 619.2663308426629 1.5853068944952025 
standing 	 969.6622795571542 1.5853068944952025 
ovation 	 1771.2451390834085 1.5853068944952025 
peers 	 1195.2557349630356 1.5853068944952025 
industrys 	 1771.2451390834085 1.5853068944952025 
annual 	 870.0664975172751 1.5853068944952025 
conference 	 664.8949320715315 1.5853068944952025 
went 	 932.6139892427683 1.5853068944952025 
win 	 884.5083861114271 1.5853068944952025 
professional 	 596.0387326719804 1.5853068944952025 
excellence 	 1155.730442746177 1.5853068944952025 
finally 	 795.6774267461269 1.5853068944952025 
retired 	 1035.7127707461605 1.5853068944952025 
winning 	 932.6139892427683 1.5853068944952025 
eom 	 1566.0735736376646 1.5853068944952025 
successful 	 806.8485638290498 1.5853068944952025 
offering 	 843.13885116838 1.5853068944952025 
corporate 	 736.2789008893302 1.5853068944952025 
corp_cl 	 1771.2451390834085 1.5853068944952025 
ex2_isrt 	 1771.2451390834085 1.5853068944952025 
main 	 265.5536677217932 1.7686707901398855 
button_main_ani 	 1446.0559016376478 1.5853068944952025 
html 	 116.31299285219477 1.5853068944952025 
quick 	 475.27943865021655 1.7686707901398855 
index 	 128.7186179544233 1.5853068944952025 
button_index_ani 	 1446.0559016376478 1.5853068944952025 
button_contact_ani 	 1446.0559016376478 1.5853068944952025 
copyright 	 230.8591597086769 1.5853068944952025 
http 	 129.8726155174579 1.5853068944952025 
www 	 128.7186179544233 1.5853068944952025 
com 	 142.87270876216914 1.5853068944952025 
copyrite 	 1446.0559016376478 1.5853068944952025 
gowell 	 1446.0559016376478 1.5853068944952025 
kent 	 1155.730442746177 1.5853068944952025 
