term 	 tf-idf weight 	 BM25 ranking 
 sport 	 166.61531494744273 1.925142169025794 
actual 	 775.6057163893388 1.5720919815365018 
add 	 936.165168868391 1.5720919815365018 
comments 	 348.62705316441253 1.5720919815365018 
arkiv 	 1843.0523744516547 1.5720919815365018 
skriv 	 1843.0523744516547 1.5720919815365018 
specify 	 1291.1904579294137 1.5720919815365018 
word 	 292.4400519818255 1.8336342473227272 
processor 	 472.0245704089095 1.8336342473227272 
winword 	 1843.0523744516547 1.5720919815365018 
started 	 468.0825844341955 1.7604160135431688 
menu 	 1077.7011263169506 1.5720919815365018 
ctrl 	 1843.0523744516547 1.5720919815365018 
enter 	 920.3668341970255 1.5720919815365018 
rpl 	 921.5261872258274 1.7604160135431688 
selected 	 805.9252588158207 1.5720919815365018 
excedes 	 1843.0523744516547 1.5720919815365018 
specified 	 1133.8561658094886 1.5720919815365018 
automatically 	 515.1113584650775 1.7604160135431688 
complement 	 1504.679789541877 1.5720919815365018 
feature 	 1008.9729125121739 1.5720919815365018 
introduced 	 952.817873019636 1.5720919815365018 
version 	 349.6360889533639 1.7604160135431688 
debugging 	 1843.0523744516547 1.5720919815365018 
application 	 530.1469723229295 1.5720919815365018 
current 	 434.0413930726127 1.5720919815365018 
running 	 1008.9729125121739 1.5720919815365018 
highlighting 	 1291.1904579294137 1.5720919815365018 
prodebug 	 1843.0523744516547 1.5720919815365018 
exe 	 921.5261872258274 1.7604160135431688 
dynamic 	 1077.7011263169506 1.5720919815365018 
exchange 	 730.8896573572335 1.5720919815365018 
sailserv 	 921.5261872258274 1.7604160135431688 
module 	 501.5599298472923 1.8336342473227272 
control 	 434.0413930726127 1.5720919815365018 
shipped 	 1504.679789541877 1.5720919815365018 
ads 	 1416.0737112267284 1.5720919815365018 
aplication 	 1843.0523744516547 1.5720919815365018 
sail 	 708.0368556133642 1.7604160135431688 
simulation 	 388.76906821069974 1.8336342473227272 
aid 	 691.8501320203773 1.5720919815365018 
mechanisms 	 1053.0479723535013 1.5720919815365018 
kinematic 	 1843.0523744516547 1.5720919815365018 
windows 	 1104.5006304297565 1.5720919815365018 
communicating 	 1291.1904579294137 1.5720919815365018 
model 	 644.3717226335816 1.5720919815365018 
abb2000 	 1843.0523744516547 1.5720919815365018 
updated 	 329.9546696449506 1.5720919815365018 
features 	 419.77932037051914 1.7604160135431688 
adds 	 1202.5843796142651 1.5720919815365018 
system 	 332.22774269261834 1.5720919815365018 
tcp 	 543.1876809463972 1.8336342473227272 
calibration 	 1291.1904579294137 1.5720919815365018 
able 	 632.0500795725623 1.5720919815365018 
measure 	 864.2117947044875 1.5720919815365018 
basepoint 	 1843.0523744516547 1.5720919815365018 
directlly 	 1843.0523744516547 1.5720919815365018 
update 	 970.42266448234 1.5720919815365018 
register 	 1030.222716930155 1.5720919815365018 
axes 	 1504.679789541877 1.5720919815365018 
supported 	 936.165168868391 1.5720919815365018 
line_col 	 621.8560242713091 1.7604160135431688 
home 	 68.7767101049727 1.7604160135431688 
index 	 66.96847015196349 1.7604160135431688 
htm 	 101.03325723223185 1.7604160135431688 
return 	 467.55267390604286 1.5720919815365018 
page 	 151.18944990276572 1.5720919815365018 
robotrak 	 1243.7120485426183 1.5720919815365018 
registered 	 905.3394636328403 1.5720919815365018 
trademarks 	 1202.5843796142651 1.5720919815365018 
simulations 	 538.8505631584753 1.7604160135431688 
copyright 	 240.21831483200165 1.5720919815365018 
revision 	 1104.5006304297565 1.5720919815365018 
april 	 644.3717226335816 1.5720919815365018 
