term 	 tf-idf weight 	 BM25 ranking 
 launchspace 	 894.2413533558398 1.7066501534343945 
design 	 56.04779077106915 1.948474440325616 
launch 	 204.57794457323334 1.906377091780859 
vehicles 	 571.7159924564527 1.7066501534343945 
baker 	 1701.6798652504522 1.488346975050649 
jan 	 113.56492729418567 1.9393900622904836 
spacecraft 	 596.1609022372265 1.7943803536727685 
structural 	 554.0219815954389 1.7066501534343945 
strctdes 	 2327.7512131873173 1.488346975050649 
costanzo 	 2327.7512131873173 1.488346975050649 
larkin 	 2327.7512131873173 1.488346975050649 
modern 	 653.4698919308951 1.488346975050649 
satellite 	 453.707508806595 1.7943803536727685 
communications 	 416.72846263599286 1.488346975050649 
satcom 	 2327.7512131873173 1.488346975050649 
kiesling 	 2327.7512131873173 1.488346975050649 
los 	 1203.396599365709 1.488346975050649 
angeles 	 1274.3196849585572 1.488346975050649 
vehicle 	 348.5568907705443 1.7943803536727685 
systems 	 68.1708251112803 1.9264167291839935 
engineering 	 272.8720682954916 1.8417170035354957 
lnchveh2 	 2327.7512131873173 1.488346975050649 
optimal 	 1432.0456120126335 1.488346975050649 
estimation 	 1361.1225264197851 1.488346975050649 
control 	 109.63772850990021 1.871337087699113 
fresh 	 1518.848453473861 1.488346975050649 
look 	 623.1428522991772 1.488346975050649 
optest 	 2058.1169599494983 1.488346975050649 
sonnabend 	 2058.1169599494983 1.488346975050649 
approach 	 790.717406659142 1.488346975050649 
information 	 323.12078292768103 1.488346975050649 
based 	 478.60462884694124 1.488346975050649 
syseng 	 2327.7512131873173 1.488346975050649 
hazelrigg 	 2327.7512131873173 1.488346975050649 
san 	 955.9969691116304 1.488346975050649 
diego 	 1361.1225264197851 1.488346975050649 
real 	 776.0364190738143 1.488346975050649 
time 	 370.9108617656597 1.488346975050649 
flight 	 680.5612632098926 1.7066501534343945 
software 	 1091.4882731819664 1.488346975050649 
development 	 150.88722805565254 1.7943803536727685 
realtime 	 2327.7512131873173 1.488346975050649 
kovacs 	 1091.4882731819664 1.488346975050649 
environments 	 1473.0308526035278 1.488346975050649 
loads 	 1900.3910328954223 1.488346975050649 
vehenv 	 2327.7512131873173 1.488346975050649 
deans 	 2327.7512131873173 1.488346975050649 
robotics 	 680.5612632098926 1.7066501534343945 
teleoperation 	 2058.1169599494983 1.488346975050649 
hinman 	 2327.7512131873173 1.488346975050649 
sweeney 	 2058.1169599494983 1.488346975050649 
thermal 	 1701.6798652504522 1.488346975050649 
analysis 	 95.72092576938824 1.871337087699113 
spctherm 	 2327.7512131873173 1.488346975050649 
yanowitz 	 2327.7512131873173 1.488346975050649 
propulsion 	 1394.969952068751 1.488346975050649 
propsys2 	 2327.7512131873173 1.488346975050649 
weegar 	 2327.7512131873173 1.488346975050649 
sounding 	 2058.1169599494983 1.488346975050649 
rockets 	 1900.3910328954223 1.488346975050649 
technology 	 728.621280023899 1.488346975050649 
application 	 334.7843705091227 1.7066501534343945 
sndrkt2 	 2327.7512131873173 1.488346975050649 
scredon 	 2327.7512131873173 1.488346975050649 
feb 	 138.07713213398736 1.9393900622904836 
avionics 	 2327.7512131873173 1.488346975050649 
applications 	 304.2433990179176 1.7943803536727685 
spavion 	 2327.7512131873173 1.488346975050649 
andrew 	 1301.1579119669816 1.488346975050649 
ground 	 581.2056793874073 1.7066501534343945 
station 	 1075.608517313587 1.488346975050649 
command 	 1329.9859131347791 1.488346975050649 
resources 	 728.621280023899 1.488346975050649 
kait 	 2327.7512131873173 1.488346975050649 
international 	 524.8416367659887 1.488346975050649 
spaceports 	 2058.1169599494983 1.488346975050649 
intnl 	 2058.1169599494983 1.488346975050649 
ralph 	 1570.7921652048003 1.488346975050649 
mission 	 1017.8731353225787 1.488346975050649 
solar 	 1361.1225264197851 1.488346975050649 
system 	 209.799662187384 1.7066501534343945 
exploration 	 1225.631222349449 1.488346975050649 
solarexp 	 2327.7512131873173 1.488346975050649 
horsewood 	 2327.7512131873173 1.488346975050649 
leo 	 785.3960826024002 1.7066501534343945 
constellation 	 2058.1169599494983 1.488346975050649 
cenker 	 2327.7512131873173 1.488346975050649 
solid 	 1432.0456120126335 1.488346975050649 
rocket 	 1570.7921652048003 1.488346975050649 
motor 	 1162.4113587748145 1.488346975050649 
rktmotor 	 2327.7512131873173 1.488346975050649 
lee 	 1473.0308526035278 1.488346975050649 
pyrotechnic 	 2327.7512131873173 1.488346975050649 
qualification 	 2058.1169599494983 1.488346975050649 
pyrotech 	 2327.7512131873173 1.488346975050649 
bement 	 1900.3910328954223 1.488346975050649 
kalman 	 1518.848453473861 1.488346975050649 
filter 	 1701.6798652504522 1.488346975050649 
aerospace 	 1630.7567796576036 1.488346975050649 
matlab 	 1163.8756065936586 1.7066501534343945 
kalfilt 	 2327.7512131873173 1.488346975050649 
mackison 	 775.917071062439 1.7943803536727685 
dynamics 	 508.93656766128936 1.7066501534343945 
attitude 	 236.1802043169838 1.8417170035354957 
spcdyn 	 2327.7512131873173 1.488346975050649 
microsats 	 2327.7512131873173 1.488346975050649 
execution 	 1432.0456120126335 1.488346975050649 
minimum 	 1031.5236587291627 1.488346975050649 
missions 	 1361.1225264197851 1.488346975050649 
micro 	 1570.7921652048003 1.488346975050649 
fleeter 	 2327.7512131873173 1.488346975050649 
radiation 	 1518.848453473861 1.488346975050649 
protection 	 783.3076588155418 1.488346975050649 
spcrad 	 2327.7512131873173 1.488346975050649 
angelo 	 1900.3910328954223 1.488346975050649 
mar 	 106.96268069913918 1.9175977843662935 
political 	 368.3766508484153 1.488346975050649 
process 	 608.8222167544404 1.488346975050649 
architecture 	 499.26435089406715 1.488346975050649 
politic 	 2327.7512131873173 1.488346975050649 
forman 	 2327.7512131873173 1.488346975050649 
intro2 	 2327.7512131873173 1.488346975050649 
geo 	 1630.7567796576036 1.488346975050649 
operations 	 846.9595046666627 1.488346975050649 
onorbit 	 2327.7512131873173 1.488346975050649 
owens 	 1900.3910328954223 1.488346975050649 
advanced 	 979.5799469982234 1.488346975050649 
reusables 	 2327.7512131873173 1.488346975050649 
advlnch 	 2327.7512131873173 1.488346975050649 
wavelets 	 2327.7512131873173 1.488346975050649 
net 	 902.6257328428846 1.488346975050649 
signal 	 1361.1225264197851 1.488346975050649 
supportability 	 2327.7512131873173 1.488346975050649 
functions 	 967.6097717768562 1.488346975050649 
support 	 540.2495914849616 1.488346975050649 
smiljanic 	 2327.7512131873173 1.488346975050649 
lnchctrl 	 2327.7512131873173 1.488346975050649 
poole 	 2327.7512131873173 1.488346975050649 
copella 	 2327.7512131873173 1.488346975050649 
fisher 	 1329.9859131347791 1.488346975050649 
determination 	 1203.396599365709 1.488346975050649 
apr 	 894.2413533558398 1.7066501534343945 
strdyn 	 2327.7512131873173 1.488346975050649 
ojalvo 	 2327.7512131873173 1.488346975050649 
imagemap 	 1301.1579119669816 1.488346975050649 
navbar 	 1788.4827067116796 1.488346975050649 
ismap 	 1788.4827067116796 1.488346975050649 
map 	 1031.5236587291627 1.488346975050649 
