term 	 tf-idf weight 	 BM25 ranking 
 addis 	 351.8374751584618 1.8889873546797358 
publishes 	 1038.5956005759563 1.619337024540762 
products 	 597.5069321994167 1.619337024540762 
vary 	 979.2394159263765 1.619337024540762 
editorial 	 503.63265654567914 1.789650439913073 
quality 	 579.1548283838875 1.619337024540762 
political 	 83.96588614025576 1.8546720136077264 
analysis 	 327.27205982849966 1.619337024540762 
language 	 71.66355489958667 1.9429092279322124 
reflect 	 427.10922527350544 1.789650439913073 
decline 	 794.862265897431 1.619337024540762 
instruction 	 909.4505215780239 1.619337024540762 
educational 	 551.1289312189058 1.619337024540762 
system 	 286.92395959817037 1.619337024540762 
negligible 	 1407.3499006338473 1.619337024540762 
skills 	 735.5060812478513 1.619337024540762 
majority 	 661.6560393127089 1.619337024540762 
practicing 	 1038.5956005759563 1.619337024540762 
tribune 	 1163.616565955322 1.619337024540762 
monitor 	 854.2184505470109 1.619337024540762 
accused 	 696.0263598863907 1.619337024540762 
past 	 457.85420336980275 1.619337024540762 
treading 	 1591.7270506627926 1.619337024540762 
carefully 	 953.8869080984261 1.619337024540762 
avoid 	 725.0733715490785 1.619337024540762 
perception 	 725.0733715490785 1.619337024540762 
criticizing 	 1038.5956005759563 1.619337024540762 
covering 	 953.8869080984261 1.619337024540762 
local 	 416.31544898889763 1.619337024540762 
issues 	 184.71258526349587 1.789650439913073 
freedom 	 511.64920985744516 1.619337024540762 
human 	 409.9818164363685 1.619337024540762 
rights 	 245.07677187761948 1.619337024540762 
bulk 	 1222.9727506049019 1.619337024540762 
criticism 	 794.862265897431 1.619337024540762 
directed 	 794.862265897431 1.619337024540762 
squarely 	 1591.7270506627926 1.619337024540762 
found 	 498.2346027926919 1.619337024540762 
tobia 	 1591.7270506627926 1.619337024540762 
urji 	 1591.7270506627926 1.619337024540762 
regarded 	 871.3856971696048 1.619337024540762 
opposition 	 597.5069321994167 1.619337024540762 
papers 	 794.862265897431 1.619337024540762 
supporters 	 1007.2653130913583 1.619337024540762 
justification 	 871.3856971696048 1.619337024540762 
view 	 436.2748084497127 1.619337024540762 
partisans 	 1407.3499006338473 1.619337024540762 
col 	 979.2394159263765 1.619337024540762 
mengistu 	 1591.7270506627926 1.619337024540762 
late 	 617.2196527923068 1.619337024540762 
emperor 	 1591.7270506627926 1.619337024540762 
haile 	 1407.3499006338473 1.619337024540762 
selassie 	 1407.3499006338473 1.619337024540762 
various 	 324.9887840065895 1.619337024540762 
ethnic 	 610.4851158684855 1.619337024540762 
insurgent 	 1591.7270506627926 1.619337024540762 
justify 	 1115.11903184813 1.619337024540762 
intolerance 	 1163.616565955322 1.619337024540762 
expression 	 725.0733715490785 1.619337024540762 
opposing 	 930.7418818191846 1.619337024540762 
viewpoints 	 794.862265897431 1.619337024540762 
targeting 	 1163.616565955322 1.619337024540762 
based 	 327.27205982849966 1.619337024540762 
community 	 409.9818164363685 1.619337024540762 
created 	 493.9093042407983 1.619337024540762 
segment 	 979.2394159263765 1.619337024540762 
days 	 561.9875817612937 1.619337024540762 
update 	 838.0923011438391 1.619337024540762 
digest 	 889.7378009851338 1.619337024540762 
excerpt 	 1591.7270506627926 1.619337024540762 
stories 	 769.5097580694807 1.619337024540762 
providing 	 545.861432358122 1.619337024540762 
translations 	 1163.616565955322 1.619337024540762 
articles 	 631.2228858994289 1.619337024540762 
entrepreneur 	 1407.3499006338473 1.619337024540762 
sun 	 838.0923011438391 1.619337024540762 
weekly 	 435.6928485848024 1.789650439913073 
extensively 	 1074.1149510140795 1.619337024540762 
cover 	 631.2228858994289 1.619337024540762 
business 	 241.73081581059472 1.619337024540762 
reporter 	 909.4505215780239 1.619337024540762 
carved 	 1591.7270506627926 1.619337024540762 
niche 	 1299.4961818770755 1.619337024540762 
offering 	 757.6855892256388 1.619337024540762 
investigative 	 1007.2653130913583 1.619337024540762 
reporting 	 746.3647317902391 1.619337024540762 
form 	 409.9818164363685 1.619337024540762 
exposes 	 1115.11903184813 1.619337024540762 
corruption 	 781.8840822283621 1.619337024540762 
mismanagement 	 1299.4961818770755 1.619337024540762 
selling 	 746.3647317902391 1.619337024540762 
plan 	 481.34003687055315 1.619337024540762 
publish 	 1038.5956005759563 1.619337024540762 
editions 	 1591.7270506627926 1.619337024540762 
near 	 646.0044663066086 1.619337024540762 
future 	 403.79549110067336 1.619337024540762 
committee 	 556.5028513653659 1.619337024540762 
protect 	 597.5069321994167 1.619337024540762 
index 	 38.557604026888065 1.8546720136077264 
html 	 52.26225692345238 1.789650439913073 
cpj 	 909.4505215780239 1.619337024540762 
website 	 808.5062822045195 1.619337024540762 
