term 	 tf-idf weight 	 BM25 ranking 
 cimtas 	 376.987985683293 1.8945219835484488 
fig 	 555.5328555133608 1.8301742664208671 
placed 	 435.4970217914909 1.7556362144179616 
rotating 	 628.3133094721551 1.8301742664208671 
table 	 515.9520575346344 1.7556362144179616 
mechanism 	 367.39811124441496 1.8301742664208671 
positioned 	 1884.9399284164651 1.5644845329409613 
manually 	 942.4699642082326 1.7556362144179616 
linear 	 440.1785652032092 1.8301742664208671 
track 	 263.40921739691464 1.8698682344983675 
operator 	 397.604728851852 1.8301742664208671 
beam 	 1377.9669859997234 1.5644845329409613 
overhead 	 1666.5985665400822 1.5644845329409613 
swings 	 1666.5985665400822 1.5644845329409613 
robot 	 55.36966248511517 1.9677774893342086 
appropriate 	 756.1314628027903 1.5644845329409613 
position 	 152.39036269106313 1.8301742664208671 
start 	 339.7783732083597 1.5644845329409613 
height 	 614.9579213936584 1.7556362144179616 
floor 	 337.19149363697795 1.8301742664208671 
adjusted 	 1538.8770574860105 1.5644845329409613 
program 	 74.33465986509783 1.8945219835484488 
generated 	 409.97194759577224 1.8301742664208671 
entirely 	 1053.6368695876586 1.5644845329409613 
teach 	 238.5628373111112 1.8945219835484488 
pendant 	 769.4385287430052 1.7556362144179616 
shop 	 992.4777250387568 1.5644845329409613 
axes 	 1538.8770574860105 1.5644845329409613 
difficult 	 261.18001551817457 1.8301742664208671 
visualise 	 1884.9399284164651 1.5644845329409613 
configurations 	 769.4385287430052 1.7556362144179616 
due 	 605.900380094343 1.5644845329409613 
size 	 870.9940435829818 1.5644845329409613 
encountered 	 1053.6368695876586 1.5644845329409613 
getting 	 883.8529718568622 1.5644845329409613 
achieve 	 824.2417419707257 1.5644845329409613 
satisfactory 	 1448.2572046636994 1.5644845329409613 
welds 	 833.2992832700411 1.7556362144179616 
exceeding 	 1448.2572046636994 1.5644845329409613 
joint 	 264.41103967818367 1.8301742664208671 
limit 	 462.9576802667934 1.7556362144179616 
tool 	 846.7513156251013 1.5644845329409613 
collide 	 1884.9399284164651 1.5644845329409613 
workpiece 	 942.4699642082326 1.7556362144179616 
move 	 264.41103967818367 1.8301742664208671 
vertical 	 614.9579213936584 1.7556362144179616 
unbolting 	 1884.9399284164651 1.5644845329409613 
winching 	 1884.9399284164651 1.5644845329409613 
experiment 	 564.8014587424892 1.7556362144179616 
heights 	 1229.9158427873167 1.5644845329409613 
project 	 692.9201937322127 1.5644845329409613 
aims 	 1229.9158427873167 1.5644845329409613 
maximise 	 1884.9399284164651 1.5644845329409613 
envelope 	 440.1785652032092 1.8301742664208671 
minimise 	 1884.9399284164651 1.5644845329409613 
possibility 	 992.4777250387568 1.5644845329409613 
collision 	 1320.5356956096277 1.5644845329409613 
orients 	 1884.9399284164651 1.5644845329409613 
task 	 515.9520575346344 1.7556362144179616 
improve 	 803.2339590036439 1.5644845329409613 
safety 	 715.1647274046081 1.5644845329409613 
human 	 485.50478262201534 1.5644845329409613 
reduce 	 396.61655951727556 1.7556362144179616 
optimise 	 1884.9399284164651 1.5644845329409613 
cycle 	 455.63077780429774 1.7556362144179616 
time 	 150.17599158892392 1.7556362144179616 
solution 	 870.9940435829818 1.5644845329409613 
model 	 659.0165345116176 1.5644845329409613 
created 	 584.8925971272612 1.5644845329409613 
compared 	 665.5116099804794 1.5644845329409613 
reachability 	 1884.9399284164651 1.5644845329409613 
facility 	 883.8529718568622 1.5644845329409613 
plot 	 1102.194333733245 1.5644845329409613 
piece 	 1076.9808808160808 1.5644845329409613 
optimally 	 1666.5985665400822 1.5644845329409613 
immediately 	 429.3197594698491 1.7556362144179616 
found 	 295.007330600936 1.7556362144179616 
application 	 542.1957671484506 1.5644845329409613 
allowed 	 387.0681815811871 1.7556362144179616 
chosen 	 1031.9041150692688 1.5644845329409613 
translational 	 1884.9399284164651 1.5644845329409613 
column 	 614.9579213936584 1.7556362144179616 
optimised 	 1884.9399284164651 1.5644845329409613 
simply 	 417.64775385563786 1.7556362144179616 
changing 	 646.4148541083024 1.5644845329409613 
variable 	 1271.9782314640413 1.5644845329409613 
simulation 	 596.407093277778 1.7556362144179616 
developing 	 739.1002881026535 1.5644845329409613 
set 	 233.74994113121576 1.7556362144179616 
follow 	 824.2417419707257 1.5644845329409613 
hitting 	 1538.8770574860105 1.5644845329409613 
colliding 	 1884.9399284164651 1.5644845329409613 
repositioning 	 1884.9399284164651 1.5644845329409613 
enabled 	 1666.5985665400822 1.5644845329409613 
particularly 	 560.4617533083107 1.5644845329409613 
moves 	 1011.5744809109339 1.5644845329409613 
achieved 	 564.8014587424892 1.7556362144179616 
previously 	 974.4728246791731 1.5644845329409613 
angles 	 1448.2572046636994 1.5644845329409613 
duration 	 1192.814186555556 1.5644845329409613 
collisions 	 942.4699642082326 1.7556362144179616 
tended 	 1448.2572046636994 1.5644845329409613 
arise 	 1192.814186555556 1.5644845329409613 
forced 	 911.2615556085955 1.5644845329409613 
reorient 	 1884.9399284164651 1.5644845329409613 
wrist 	 1538.8770574860105 1.5644845329409613 
seam 	 1884.9399284164651 1.5644845329409613 
highlights 	 1448.2572046636994 1.5644845329409613 
allows 	 941.2842622469578 1.5644845329409613 
abandon 	 1448.2572046636994 1.5644845329409613 
try 	 870.9940435829818 1.5644845329409613 
approach 	 640.2981570633154 1.5644845329409613 
cimtas' 	 942.4699642082326 1.7556362144179616 
financial 	 529.1594240571516 1.5644845329409613 
justification 	 1031.9041150692688 1.5644845329409613 
complete 	 700.1618919729927 1.5644845329409613 
perform 	 941.2842622469578 1.5644845329409613 
directly 	 756.1314628027903 1.5644845329409613 
text 	 824.2417419707257 1.5644845329409613 
based 	 387.5590182179601 1.5644845329409613 
develop 	 707.573998657204 1.5644845329409613 
reduced 	 957.4416499790362 1.5644845329409613 
development 	 366.55123525087834 1.5644845329409613 
operating 	 824.2417419707257 1.5644845329409613 
technical 	 803.2339590036439 1.5644845329409613 
decision 	 560.4617533083107 1.5644845329409613 
larger 	 1011.5744809109339 1.5644845329409613 
workpieces 	 1884.9399284164651 1.5644845329409613 
cimtas's 	 1884.9399284164651 1.5644845329409613 
risk 	 747.5007859335343 1.5644845329409613 
damage 	 992.4777250387568 1.5644845329409613 
personnel 	 739.1002881026535 1.5644845329409613 
equipment 	 783.5400465545237 1.5644845329409613 
eliminated 	 1448.2572046636994 1.5644845329409613 
simulations 	 367.39811124441496 1.8301742664208671 
ariss 	 1884.9399284164651 1.5644845329409613 
image 	 190.0026461331131 1.8301742664208671 
line_col 	 635.9891157320207 1.7556362144179616 
gif 	 27.21455189408377 1.8698682344983675 
home 	 70.33981715281298 1.7556362144179616 
index 	 68.49048083723538 1.7556362144179616 
htm 	 103.32946762387348 1.7556362144179616 
return 	 478.1788710402711 1.5644845329409613 
page 	 154.6255737641922 1.5644845329409613 
robotrak 	 1271.9782314640413 1.5644845329409613 
registered 	 925.9153605335867 1.5644845329409613 
trademarks 	 1229.9158427873167 1.5644845329409613 
copyright 	 245.6778219872744 1.5644845329409613 
revision 	 1129.6029174849784 1.5644845329409613 
april 	 659.0165345116176 1.5644845329409613 
