term 	 tf-idf weight 	 BM25 ranking 
 overview 	 641.2454637766787 1.5076818003713577 
preliminary 	 2984.1013112759574 1.209863010747186 
contribution 	 2208.2827612714345 1.209863010747186 
standardized 	 3098.018663668301 1.209863010747186 
conditions 	 698.2041399728506 1.5076818003713577 
coordinating 	 3232.754294139034 1.209863010747186 
behalf 	 2373.185845692635 1.209863010747186 
numerical 	 994.7004370919858 1.642449787425666 
experimentation 	 1616.377147069517 1.5076818003713577 
wgne 	 2211.064455713917 1.5076818003713577 
world 	 409.67904479109137 1.5076818003713577 
programme 	 1549.0093318341505 1.5076818003713577 
wcrp 	 1105.5322278569586 1.7192914137328417 
wmo 	 4422.128911427834 1.209863010747186 
web 	 1516.509768844557 1.209863010747186 
home 	 330.0388881011352 1.209863010747186 
amipgroups 	 4422.128911427834 1.209863010747186 
simulating 	 3909.893144994034 1.209863010747186 
decade 	 1986.5054674506343 1.209863010747186 
observed 	 2471.8655448421578 1.209863010747186 
monthly 	 1164.1921250851449 1.5076818003713577 
sea 	 886.9542079543842 1.5076818003713577 
surface 	 1186.5929228463176 1.5076818003713577 
temperature 	 2798.3799487763677 1.209863010747186 
ice 	 2471.8655448421578 1.209863010747186 
common 	 662.9870285351526 1.5076818003713577 
values 	 1659.9910635164247 1.209863010747186 
solar 	 2585.782897234502 1.209863010747186 
luminosity 	 4422.128911427834 1.209863010747186 
carbon 	 2885.421612126435 1.209863010747186 
dioxide 	 3098.018663668301 1.209863010747186 
concentration 	 2720.518527705234 1.209863010747186 
ppm 	 4422.128911427834 1.209863010747186 
participating 	 2885.421612126435 1.209863010747186 
models' 	 1474.0429704759447 1.642449787425666 
algorithms 	 1549.0093318341505 1.5076818003713577 
dynamical 	 3610.2544301021007 1.209863010747186 
physical 	 1396.4082799457012 1.209863010747186 
parameterizations 	 4422.128911427834 1.209863010747186 
summarized 	 3098.018663668301 1.209863010747186 
modldoc 	 4422.128911427834 1.209863010747186 
set 	 1096.769565053768 1.209863010747186 
mean 	 2286.144182342568 1.209863010747186 
standard 	 1576.8698337641003 1.209863010747186 
output 	 2526.631336263758 1.209863010747186 
gleckler 	 4422.128911427834 1.209863010747186 
amipso 	 4422.128911427834 1.209863010747186 
archived 	 3909.893144994034 1.209863010747186 
provided 	 1696.0469948376347 1.209863010747186 
history 	 813.7382906365058 1.209863010747186 
susan 	 3232.754294139034 1.209863010747186 
amiphistory 	 4422.128911427834 1.209863010747186 
hourly 	 3909.893144994034 1.209863010747186 
intervals 	 3909.893144994034 1.209863010747186 
performance 	 1659.9910635164247 1.209863010747186 
comparison 	 601.2605442521127 1.5076818003713577 
observational 	 977.4732862485085 1.7192914137328417 
reveals 	 2420.8798128133003 1.209863010747186 
errors 	 2585.782897234502 1.209863010747186 
simulations 	 861.9276324115006 1.642449787425666 
provides 	 1314.86106569791 1.209863010747186 
measure 	 2073.5471308007022 1.209863010747186 
current 	 520.7087491569168 1.5076818003713577 
uncertainties 	 3909.893144994034 1.209863010747186 
focussed 	 4422.128911427834 1.209863010747186 
analyses 	 2420.8798128133003 1.209863010747186 
ability 	 788.4349168820502 1.5076818003713577 
simulate 	 1492.0506556379787 1.5076818003713577 
specific 	 398.5654250809171 1.5076818003713577 
processes 	 1908.6440463795007 1.209863010747186 
phenomena 	 2373.185845692635 1.209863010747186 
carried 	 2286.144182342568 1.209863010747186 
dozen 	 3098.018663668301 1.209863010747186 
diagnostic 	 662.5210762074595 1.7192914137328417 
subprojects 	 1474.0429704759447 1.642449787425666 
amipsubprojects 	 2211.064455713917 1.5076818003713577 
playing 	 2798.3799487763677 1.209863010747186 
supporting 	 662.1684891502115 1.642449787425666 
role 	 968.908402760485 1.209863010747186 
results 	 1282.4909275533573 1.209863010747186 
extensively 	 1492.0506556379787 1.5076818003713577 
discussed 	 1460.7096875410375 1.209863010747186 
international 	 997.0641891261329 1.209863010747186 
scientific 	 1986.5054674506343 1.209863010747186 
conference 	 1659.9910635164247 1.209863010747186 
amipconference 	 4422.128911427834 1.209863010747186 
conducting 	 3232.754294139034 1.209863010747186 
amipstudies 	 4422.128911427834 1.209863010747186 
independently 	 2984.1013112759574 1.209863010747186 
association 	 1434.3140244981012 1.209863010747186 
testing 	 1068.9242691980191 1.5076818003713577 
regional 	 908.0742418682453 1.5076818003713577 
hemispheric 	 4422.128911427834 1.209863010747186 
techniques 	 737.1348505084175 1.5076818003713577 
spanning 	 3909.893144994034 1.209863010747186 
synoptic 	 3610.2544301021007 1.209863010747186 
interannual 	 1954.946572497017 1.5076818003713577 
scales 	 1325.042152414919 1.5076818003713577 
effort 	 966.8486465339148 1.5076818003713577 
evaluate 	 2526.631336263758 1.209863010747186 
fidelity 	 3610.2544301021007 1.209863010747186 
studied 	 2650.084304829838 1.209863010747186 
effects 	 1156.6057022661478 1.209863010747186 
spatial 	 3232.754294139034 1.209863010747186 
temporal 	 3610.2544301021007 1.209863010747186 
resolution 	 942.2061836566553 1.5076818003713577 
performed 	 2471.8655448421578 1.209863010747186 
european 	 1396.4082799457012 1.209863010747186 
centre 	 2650.084304829838 1.209863010747186 
medium 	 2286.144182342568 1.209863010747186 
range 	 1677.7991541333504 1.209863010747186 
weather 	 2172.226829950224 1.209863010747186 
forecasts 	 2885.421612126435 1.209863010747186 
ecmwf 	 1698.8286892801173 1.5076818003713577 
semtner 	 4422.128911427834 1.209863010747186 
chervin 	 4422.128911427834 1.209863010747186 
ocean 	 791.0619485642118 1.642449787425666 
addition 	 821.3010129651456 1.5076818003713577 
examining 	 2137.8485383960383 1.209863010747186 
natural 	 829.9955317582123 1.5076818003713577 
variability 	 1077.5847647130113 1.642449787425666 
simulated 	 1442.7108060632174 1.5076818003713577 
seasonal 	 2798.3799487763677 1.209863010747186 
ensemble 	 1954.946572497017 1.5076818003713577 
integrations 	 4422.128911427834 1.209863010747186 
initial 	 2104.998685856192 1.209863010747186 
conducted 	 2043.3796768502334 1.209863010747186 
exploratory 	 3610.2544301021007 1.209863010747186 
nonlinear 	 3909.893144994034 1.209863010747186 
components 	 2073.5471308007022 1.209863010747186 
statistics 	 2328.3842501702898 1.209863010747186 
intercomparisons 	 3909.893144994034 1.209863010747186 
developing 	 866.9763696950173 1.5076818003713577 
statistical 	 2286.144182342568 1.209863010747186 
detection 	 1077.5847647130113 1.642449787425666 
external 	 2286.144182342568 1.209863010747186 
forcing 	 3232.754294139034 1.209863010747186 
greenhouse 	 2885.421612126435 1.209863010747186 
warming 	 3232.754294139034 1.209863010747186 
background 	 1561.3113643669024 1.209863010747186 
internal 	 1642.6020259302911 1.209863010747186 
atmosphere 	 1143.072091171284 1.5076818003713577 
collaborations 	 4422.128911427834 1.209863010747186 
collaborating 	 1954.946572497017 1.5076818003713577 
coordinated 	 3232.754294139034 1.209863010747186 
initiatives 	 3098.018663668301 1.209863010747186 
monsoon 	 3909.893144994034 1.209863010747186 
moneg 	 4422.128911427834 1.209863010747186 
gewex 	 1474.0429704759447 1.642449787425666 
cais 	 4422.128911427834 1.209863010747186 
com 	 356.6990938352804 1.209863010747186 
sponsored 	 2885.421612126435 1.209863010747186 
land 	 1677.7991541333504 1.209863010747186 
parameterization 	 3610.2544301021007 1.209863010747186 
schemes 	 3232.754294139034 1.209863010747186 
pilps 	 2211.064455713917 1.5076818003713577 
cic 	 3909.893144994034 1.209863010747186 
edu 	 808.1609056719576 1.209863010747186 
rice 	 2984.1013112759574 1.209863010747186 
feedback 	 2373.185845692635 1.209863010747186 
gcm 	 3610.2544301021007 1.209863010747186 
fangio 	 4422.128911427834 1.209863010747186 
prototype 	 2984.1013112759574 1.209863010747186 
diagnostics 	 4422.128911427834 1.209863010747186 
identify 	 2246.1885058238345 1.209863010747186 
radiative 	 3610.2544301021007 1.209863010747186 
feedbacks 	 4422.128911427834 1.209863010747186 
paleoclimatic 	 4422.128911427834 1.209863010747186 
pmip 	 4422.128911427834 1.209863010747186 
providing 	 1516.509768844557 1.209863010747186 
storage 	 994.7004370919858 1.642449787425666 
colleagues 	 2526.631336263758 1.209863010747186 
energy 	 1576.8698337641003 1.209863010747186 
supercomputer 	 4422.128911427834 1.209863010747186 
center 	 1147.7552970826248 1.209863010747186 
nersc 	 2211.064455713917 1.5076818003713577 
lbl 	 1474.0429704759447 1.642449787425666 
optimass 	 2211.064455713917 1.5076818003713577 
gizmo 	 4422.128911427834 1.209863010747186 
berkeley 	 3098.018663668301 1.209863010747186 
lbnl 	 4422.128911427834 1.209863010747186 
innovative 	 2328.3842501702898 1.209863010747186 
access 	 530.9209731407975 1.642449787425666 
translation 	 3098.018663668301 1.209863010747186 
component 	 2286.144182342568 1.209863010747186 
distribution 	 1773.9084159087683 1.209863010747186 
visualization 	 1954.946572497017 1.5076818003713577 
comprehensive 	 829.9955317582123 1.5076818003713577 
database 	 2885.421612126435 1.209863010747186 
management 	 615.7525977622502 1.5076818003713577 
system 	 398.5654250809171 1.5076818003713577 
cdms 	 4422.128911427834 1.209863010747186 
currently 	 1561.3113643669024 1.209863010747186 
tool 	 1986.5054674506343 1.209863010747186 
provide 	 625.7396922095863 1.5076818003713577 
efficient 	 2373.185845692635 1.209863010747186 
information 	 613.846423093975 1.209863010747186 
archives 	 3909.893144994034 1.209863010747186 
central 	 1293.124204530459 1.209863010747186 
essential 	 1816.1484837364906 1.209863010747186 
element 	 2328.3842501702898 1.209863010747186 
priority 	 2471.8655448421578 1.209863010747186 
accumulate 	 4422.128911427834 1.209863010747186 
including 	 648.8352062153048 1.209863010747186 
especially 	 1282.4909275533573 1.209863010747186 
reanalyses 	 3909.893144994034 1.209863010747186 
period 	 1421.46152663403 1.209863010747186 
term 	 723.6970059872792 1.5076818003713577 
goal 	 1986.5054674506343 1.209863010747186 
acquire 	 3232.754294139034 1.209863010747186 
quality 	 1609.0053314875674 1.209863010747186 
datasets 	 4422.128911427834 1.209863010747186 
useful 	 2246.1885058238345 1.209863010747186 
future 	 560.9114058710481 1.5076818003713577 
plans 	 1282.4909275533573 1.209863010747186 
continue 	 1714.756854938025 1.209863010747186 
efforts 	 1396.4082799457012 1.209863010747186 
consisting 	 2984.1013112759574 1.209863010747186 
exchange 	 1753.6605739837519 1.209863010747186 
cooperation 	 1186.5929228463176 1.5076818003713577 
community 	 1139.00963288149 1.209863010747186 
climategrps 	 4422.128911427834 1.209863010747186 
directed 	 2208.2827612714345 1.209863010747186 
phase 	 2373.185845692635 1.209863010747186 
designated 	 3098.018663668301 1.209863010747186 
amip2 	 3909.893144994034 1.209863010747186 
progressively 	 3397.6573785602345 1.209863010747186 
shift 	 2471.8655448421578 1.209863010747186 
emphasis 	 1576.8698337641003 1.209863010747186 
coupled 	 883.3614349432794 1.642449787425666 
cmip 	 1474.0429704759447 1.642449787425666 
covey 	 4422.128911427834 1.209863010747186 
htm 	 484.82842269233333 1.209863010747186 
clivar 	 2211.064455713917 1.5076818003713577 
dkrz 	 3909.893144994034 1.209863010747186 
initiative 	 2328.3842501702898 1.209863010747186 
address 	 1576.8698337641003 1.209863010747186 
questions 	 596.5534742273525 1.5076818003713577 
related 	 1174.6309861249015 1.209863010747186 
elements 	 1625.6127719622386 1.209863010747186 
consideration 	 2172.226829950224 1.209863010747186 
effectively 	 2420.8798128133003 1.209863010747186 
control 	 1041.4174983138337 1.209863010747186 
unrealistic 	 3232.754294139034 1.209863010747186 
drift 	 3909.893144994034 1.209863010747186 
typical 	 2471.8655448421578 1.209863010747186 
systems 	 1165.5633876995507 1.209863010747186 
study 	 896.5929739477075 1.209863010747186 
supported 	 2246.1885058238345 1.209863010747186 
basis 	 1460.7096875410375 1.209863010747186 
application 	 1272.0084822943018 1.209863010747186 
improvement 	 2104.998685856192 1.209863010747186 
evaluation 	 1561.3113643669024 1.209863010747186 
characterize 	 3098.018663668301 1.209863010747186 
changes 	 1221.7169729562352 1.209863010747186 
result 	 1325.9740570703052 1.209863010747186 
anthropogenic 	 4422.128911427834 1.209863010747186 
activities 	 1325.9740570703052 1.209863010747186 
return 	 1121.8228117420963 1.209863010747186 
directory 	 2798.3799487763677 1.209863010747186 
pcmditoc 	 3909.893144994034 1.209863010747186 
update 	 2328.3842501702898 1.209863010747186 
november 	 1773.9084159087683 1.209863010747186 
contact 	 1193.106948454705 1.209863010747186 
jerry 	 3909.893144994034 1.209863010747186 
potter 	 1077.5847647130113 1.642449787425666 
oliver 	 1549.0093318341505 1.5076818003713577 
mailto 	 536.8398314993032 1.209863010747186 
disclaimers 	 2984.1013112759574 1.209863010747186 
disclaimer 	 2984.1013112759574 1.209863010747186 
ucrl 	 3397.6573785602345 1.209863010747186 
