term 	 tf-idf weight 	 BM25 ranking 
 dove 	 1485.1384935738006 1.5764724048020944 
blast 	 2795.3662870969183 1.3009733480450503 
heat 	 2078.7440493211975 1.3009733480450503 
radioactive 	 2548.843501367154 1.3009733480450503 
products 	 1365.730130741524 1.3009733480450503 
create 	 1297.343516818096 1.3009733480450503 
terrible 	 2659.695007897879 1.3009733480450503 
health 	 973.9610647760918 1.3009733480450503 
radioactivity's 	 3638.233258657812 1.3009733480450503 
genetic 	 2455.1198880321813 1.3009733480450503 
effect 	 958.947956321146 1.3009733480450503 
uniquely 	 2970.276987147601 1.3009733480450503 
cumulative 	 2548.843501367154 1.3009733480450503 
unknown 	 2302.3207156373905 1.3009733480450503 
generations 	 2659.695007897879 1.3009733480450503 
drew 	 2302.3207156373905 1.3009733480450503 
anti 	 1180.0580878144053 1.3009733480450503 
passed 	 1634.3644441271797 1.3009733480450503 
states' 	 3216.7997728773653 1.3009733480450503 
veto 	 2795.3662870969183 1.3009733480450503 
mobilised 	 3638.233258657812 1.3009733480450503 
conscience 	 931.7887623656394 1.696203933631454 
individual 	 1021.3616819896766 1.3009733480450503 
signed 	 1323.7824648774574 1.3009733480450503 
declarations 	 3216.7997728773653 1.3009733480450503 
japan 	 1550.3690383308428 1.3009733480450503 
stating 	 2033.6864022517345 1.3009733480450503 
belief 	 1681.1567571379458 1.3009733480450503 
morally 	 3216.7997728773653 1.3009733480450503 
wrong 	 1991.738736387668 1.3009733480450503 
invoke 	 2970.276987147601 1.3009733480450503 
martens 	 3638.233258657812 1.3009733480450503 
clause 	 3216.7997728773653 1.3009733480450503 
requires 	 1550.3690383308428 1.3009733480450503 
account 	 1169.483908245589 1.3009733480450503 
dictates 	 3216.7997728773653 1.3009733480450503 
judging 	 2970.276987147601 1.3009733480450503 
conduct 	 1731.8527753728888 1.3009733480450503 
war 	 502.5736938818613 1.5764724048020944 
time 	 579.7270024512111 1.3009733480450503 
accepted 	 1952.4993155360248 1.3009733480450503 
citizens' 	 2970.276987147601 1.3009733480450503 
evidence 	 690.1907210507964 1.5764724048020944 
support 	 422.20019488799056 1.5764724048020944 
governments 	 1531.0658297555779 1.3009733480450503 
participated 	 2548.843501367154 1.3009733480450503 
twice 	 2548.843501367154 1.3009733480450503 
previous 	 1380.3814421015927 1.3009733480450503 
thirds 	 2795.3662870969183 1.3009733480450503 
germany 	 1380.3814421015927 1.3009733480450503 
italy 	 1570.3052506072213 1.3009733480450503 
testified 	 3638.233258657812 1.3009733480450503 
orally 	 3216.7997728773653 1.3009733480450503 
trio 	 3638.233258657812 1.3009733480450503 
mayors 	 2455.1198880321813 1.3009733480450503 
hiroshima 	 2795.3662870969183 1.3009733480450503 
nagasaki 	 2970.276987147601 1.3009733480450503 
allowed 	 1494.2060596911858 1.3009733480450503 
testify 	 2373.9328013164713 1.3009733480450503 
japanese 	 1731.8527753728888 1.3009733480450503 
strong 	 1476.5816372722484 1.3009733480450503 
pressure 	 1531.0658297555779 1.3009733480450503 
eloquent 	 2970.276987147601 1.3009733480450503 
ambassadors 	 3216.7997728773653 1.3009733480450503 
victims 	 1731.8527753728888 1.3009733480450503 
devastated 	 3216.7997728773653 1.3009733480450503 
cities 	 1816.8280363369852 1.3009733480450503 
implications 	 1365.730130741524 1.3009733480450503 
decision 	 1081.7801460681044 1.3009733480450503 
reaching 	 1915.6395454716323 1.3009733480450503 
example 	 1072.7725739107389 1.3009733480450503 
nato's 	 2548.843501367154 1.3009733480450503 
insistence 	 2795.3662870969183 1.3009733480450503 
option 	 1634.3644441271797 1.3009733480450503 
illegal 	 1657.3105635407508 1.3009733480450503 
france 	 795.4586970130179 1.5764724048020944 
sub 	 2302.3207156373905 1.3009733480450503 
strategic 	 1991.738736387668 1.3009733480450503 
deterrence 	 931.7887623656394 1.696203933631454 
doctrine 	 1787.1636165219704 1.3009733480450503 
threatening 	 1151.1603578186953 1.5764724048020944 
rogue 	 3638.233258657812 1.3009733480450503 
low 	 1201.7746820364694 1.3009733480450503 
yield 	 2373.9328013164713 1.3009733480450503 
warning 	 2302.3207156373905 1.3009733480450503 
shot 	 2180.3129327964025 1.3009733480450503 
french 	 738.2908186361242 1.5764724048020944 
vital 	 2033.6864022517345 1.3009733480450503 
risk 	 1442.7951677701233 1.3009733480450503 
voting 	 1991.738736387668 1.3009733480450503 
russian 	 1247.6832739614217 1.3009733480450503 
chinese 	 605.6093454456617 1.696203933631454 
indicated 	 2302.3207156373905 1.3009733480450503 
split 	 2033.6864022517345 1.3009733480450503 
shi 	 3638.233258657812 1.3009733480450503 
stated 	 2180.3129327964025 1.3009733480450503 
realm 	 2455.1198880321813 1.3009733480450503 
politics 	 1284.5430440258142 1.3009733480450503 
object 	 2659.695007897879 1.3009733480450503 
regulation 	 1657.3105635407508 1.3009733480450503 
italian 	 1816.8280363369852 1.3009733480450503 
supported 	 1848.014359324616 1.3009733480450503 
adding 	 1787.1636165219704 1.3009733480450503 
concept 	 1224.295775218122 1.3009733480450503 
legal 	 519.0101291480252 1.5764724048020944 
value 	 1148.8717648267746 1.3009733480450503 
significant 	 1297.343516818096 1.3009733480450503 
dame 	 2659.695007897879 1.3009733480450503 
rosalyn 	 3638.233258657812 1.3009733480450503 
higgins 	 2970.276987147601 1.3009733480450503 
outlawed 	 2548.843501367154 1.3009733480450503 
trident 	 1608.3998864386826 1.5764724048020944 
incapable 	 1397.6831435484592 1.5764724048020944 
targeted 	 2455.1198880321813 1.3009733480450503 
military 	 275.0514496403161 1.7631590308767715 
objective 	 1880.8872298569436 1.3009733480450503 
extent 	 1426.5808735441692 1.3009733480450503 
distinction 	 1915.6395454716323 1.3009733480450503 
operator 	 2302.3207156373905 1.3009733480450503 
fleet 	 2548.843501367154 1.3009733480450503 
air 	 1476.5816372722484 1.3009733480450503 
arm 	 2659.695007897879 1.3009733480450503 
duty 	 1634.3644441271797 1.3009733480450503 
professionals 	 1758.8794470159557 1.3009733480450503 
review 	 820.3180338141932 1.3009733480450503 
attitude 	 1476.5816372722484 1.3009733480450503 
category 	 1787.1636165219704 1.3009733480450503 
biological 	 2659.695007897879 1.3009733480450503 
know 	 1512.3566612861916 1.3009733480450503 
cited 	 2180.3129327964025 1.3009733480450503 
nuremberg 	 3216.7997728773653 1.3009733480450503 
principles 	 840.5783785689729 1.5764724048020944 
body 	 1297.343516818096 1.3009733480450503 
customary 	 2970.276987147601 1.3009733480450503 
confirmed 	 2180.3129327964025 1.3009733480450503 
subject 	 537.5144705406991 1.3009733480450503 
ironically 	 2795.3662870969183 1.3009733480450503 
unanimously 	 2795.3662870969183 1.3009733480450503 
endorsed 	 2970.276987147601 1.3009733480450503 
setting 	 1410.7877778109867 1.3009733480450503 
crimes 	 1531.0658297555779 1.3009733480450503 
tribunal 	 2659.695007897879 1.3009733480450503 
bosnia 	 2127.4100155867077 1.3009733480450503 
leaders 	 1259.723271357499 1.3009733480450503 
shrug 	 3638.233258657812 1.3009733480450503 
reminded 	 2548.843501367154 1.3009733480450503 
distinguishes 	 2795.3662870969183 1.3009733480450503 
hired 	 2302.3207156373905 1.3009733480450503 
killers 	 2795.3662870969183 1.3009733480450503 
terrorists 	 3216.7997728773653 1.3009733480450503 
respect 	 1442.7951677701233 1.3009733480450503 
domestic 	 1323.7824648774574 1.3009733480450503 
statement 	 1380.3814421015927 1.3009733480450503 
justifyng 	 3638.233258657812 1.3009733480450503 
wrote 	 2033.6864022517345 1.3009733480450503 
fail 	 2078.7440493211975 1.3009733480450503 
interpret 	 2659.695007897879 1.3009733480450503 
envisaging 	 3638.233258657812 1.3009733480450503 
possibility 	 1915.6395454716323 1.3009733480450503 
recourse 	 2970.276987147601 1.3009733480450503 
exceptional 	 2373.9328013164713 1.3009733480450503 
circumstances 	 1310.4192895924418 1.3009733480450503 
insist 	 3216.7997728773653 1.3009733480450503 
strongly 	 2238.261522117432 1.3009733480450503 
inability 	 1848.014359324616 1.3009733480450503 
reached 	 1634.3644441271797 1.3009733480450503 
interpreted 	 2238.261522117432 1.3009733480450503 
half 	 1550.3690383308428 1.3009733480450503 
door 	 2455.1198880321813 1.3009733480450503 
recognition 	 1758.8794470159557 1.3009733480450503 
permissibility 	 3638.233258657812 1.3009733480450503 
emphasis 	 1297.343516818096 1.3009733480450503 
paradoxically 	 3216.7997728773653 1.3009733480450503 
crisis 	 1224.295775218122 1.3009733480450503 
offers 	 1259.723271357499 1.3009733480450503 
opportunity 	 1410.7877778109867 1.3009733480450503 
britain 	 616.0047864415386 1.696203933631454 
seize 	 2659.695007897879 1.3009733480450503 
leadership 	 1657.3105635407508 1.3009733480450503 
role 	 797.1533273049729 1.3009733480450503 
moment 	 2127.4100155867077 1.3009733480450503 
break 	 1758.8794470159557 1.3009733480450503 
ranks 	 2548.843501367154 1.3009733480450503 
arsenal 	 3216.7997728773653 1.3009733480450503 
increasingly 	 1731.8527753728888 1.3009733480450503 
dependent 	 1816.8280363369852 1.3009733480450503 
growing 	 1272.0065174065508 1.3009733480450503 
embarrassment 	 3638.233258657812 1.3009733480450503 
royal 	 2302.3207156373905 1.3009733480450503 
navy 	 2373.9328013164713 1.3009733480450503 
treasury 	 2455.1198880321813 1.3009733480450503 
placed 	 1681.1567571379458 1.3009733480450503 
championing 	 3216.7997728773653 1.3009733480450503 
lead 	 1494.2060596911858 1.3009733480450503 
powerful 	 1816.8280363369852 1.3009733480450503 
drive 	 1848.014359324616 1.3009733480450503 
rapid 	 2033.6864022517345 1.3009733480450503 
bold 	 2795.3662870969183 1.3009733480450503 
widely 	 1848.014359324616 1.3009733480450503 
welcomed 	 2548.843501367154 1.3009733480450503 
following 	 895.6306786955669 1.3009733480450503 
global 	 1459.4537440764968 1.3009733480450503 
outrage 	 2548.843501367154 1.3009733480450503 
tests 	 1816.8280363369852 1.3009733480450503 
deadlock 	 3638.233258657812 1.3009733480450503 
ctbt 	 3216.7997728773653 1.3009733480450503 
polls 	 2238.261522117432 1.3009733480450503 
october 	 1310.4192895924418 1.3009733480450503 
reject 	 2795.3662870969183 1.3009733480450503 
britain's 	 2659.695007897879 1.3009733480450503 
contribution 	 1816.8280363369852 1.3009733480450503 
millenium 	 3216.7997728773653 1.3009733480450503 
tealprev 	 2970.276987147601 1.3009733480450503 
antinuke 	 3638.233258657812 1.3009733480450503 
pages 	 707.5020667699494 1.3009733480450503 
compliments 	 2970.276987147601 1.3009733480450503 
misery 	 2302.3207156373905 1.3009733480450503 
bay 	 1758.8794470159557 1.3009733480450503 
publications 	 1128.935552550396 1.3009733480450503 
http 	 266.7653724142378 1.3009733480450503 
www 	 264.3949990415182 1.3009733480450503 
miserybay 	 1227.5599440160906 1.5764724048020944 
com 	 146.73413332330887 1.5764724048020944 
mail 	 1072.7725739107389 1.3009733480450503 
