term 	 tf-idf weight 	 BM25 ranking 
 nelson 	 434.2096086509114 1.8159780846726108 
wilson's 	 790.7944101655756 1.736107622209254 
call 	 325.00977557599543 1.736107622209254 
action 	 346.34683114723185 1.736107622209254 
brings 	 1302.6288259527341 1.533736885411012 
influential 	 1150.6383591687445 1.533736885411012 
women 	 176.48151572480634 1.858734059895898 
beach 	 575.3191795843723 1.736107622209254 
govstory 	 2058.474080556394 1.533736885411012 
drew 	 1302.6288259527341 1.533736885411012 
sell 	 979.864070276766 1.533736885411012 
crowds 	 1820.0314504437724 1.533736885411012 
convention 	 1104.7035601059088 1.533736885411012 
center 	 534.2731017542936 1.533736885411012 
year's 	 1266.3848085664417 1.533736885411012 
entitled 	 1104.7035601059088 1.533736885411012 
passing 	 1150.6383591687445 1.533736885411012 
torch 	 1820.0314504437724 1.533736885411012 
mentoring 	 1581.5888203311513 1.533736885411012 
featured 	 1389.0809892813659 1.533736885411012 
addresses 	 979.864070276766 1.533736885411012 
lady 	 1266.3848085664417 1.533736885411012 
betty 	 1581.5888203311513 1.533736885411012 
ford 	 1233.598106713754 1.533736885411012 
newswoman 	 2058.474080556394 1.533736885411012 
lesley 	 1680.5514532545637 1.533736885411012 
stahl 	 1820.0314504437724 1.533736885411012 
author 	 888.462181264612 1.533736885411012 
olivia 	 1820.0314504437724 1.533736885411012 
goldsmith 	 1820.0314504437724 1.533736885411012 
archive2 	 2058.474080556394 1.533736885411012 
archives 	 910.0157252218862 1.736107622209254 
index 	 29.91838147048758 1.8853678865900203 
previous 	 781.0052896101117 1.533736885411012 
issues 	 477.7528521100946 1.533736885411012 
gazette 	 651.3144129763671 1.736107622209254 
educational 	 712.7381666891113 1.533736885411012 
book 	 555.3840193077382 1.533736885411012 
publisher 	 752.4137193395316 1.736107622209254 
donated 	 1820.0314504437724 1.533736885411012 
featuring 	 1343.14619021853 1.533736885411012 
nba 	 2058.474080556394 1.533736885411012 
star 	 1176.1315015896248 1.533736885411012 
donation 	 1504.827438679063 1.533736885411012 
worth 	 1083.8486902010552 1.533736885411012 
accepted 	 1104.7035601059088 1.533736885411012 
school 	 638.739852100882 1.533736885411012 
boards 	 1504.827438679063 1.533736885411012 
association 	 667.6644444213083 1.533736885411012 
csba 	 2058.474080556394 1.533736885411012 
experts 	 1083.8486902010552 1.533736885411012 
debate 	 497.57773830056647 1.736107622209254 
alternative 	 382.310620378904 1.736107622209254 
fuel 	 575.3191795843723 1.736107622209254 
vehicles 	 337.052787326512 1.8159780846726108 
san 	 281.802020029478 1.8159780846726108 
diego 	 401.2220643431072 1.8159780846726108 
miramar 	 1029.237040278197 1.736107622209254 
college 	 433.13046499664375 1.736107622209254 
ccap 	 2058.474080556394 1.533736885411012 
electric 	 532.0930979200564 1.736107622209254 
car 	 888.462181264612 1.533736885411012 
ev1 	 1029.237040278197 1.736107622209254 
motors' 	 2058.474080556394 1.533736885411012 
vehicle 	 924.7061986509043 1.533736885411012 
available 	 538.3929114743638 1.533736885411012 
december 	 417.7171737020176 1.736107622209254 
john 	 734.0233055681333 1.533736885411012 
campbell 	 1504.827438679063 1.533736885411012 
iii 	 951.1807968017324 1.533736885411012 
campbio 	 2058.474080556394 1.533736885411012 
chairman 	 835.4343474040352 1.533736885411012 
ceo 	 1504.827438679063 1.533736885411012 
saturn 	 2058.474080556394 1.533736885411012 
orange 	 601.8330965146607 1.736107622209254 
county 	 408.15915930339014 1.736107622209254 
answers 	 1064.1861958401128 1.533736885411012 
frequently 	 888.462181264612 1.533736885411012 
questions 	 555.3840193077382 1.533736885411012 
ez1qa 	 2058.474080556394 1.533736885411012 
emerged 	 1233.598106713754 1.533736885411012 
testing 	 995.1554766011329 1.533736885411012 
ground 	 1027.9421784538206 1.533736885411012 
impact 	 644.3334712807745 1.533736885411012 
california's 	 1820.0314504437724 1.533736885411012 
economy 	 692.6936622944637 1.533736885411012 
environment 	 627.8182998806664 1.533736885411012 
focus 	 825.7435657274916 1.533736885411012 
polling 	 752.4137193395316 1.736107622209254 
election 	 825.7435657274916 1.533736885411012 
season 	 1203.6661930293214 1.533736885411012 
poll 	 1442.1088231419426 1.533736885411012 
opinions 	 1083.8486902010552 1.533736885411012 
political 	 162.88119266305253 1.736107622209254 
mail 	 303.4817149879064 1.736107622209254 
people 	 134.36088743609395 1.8159780846726108 
love 	 888.462181264612 1.533736885411012 
hate 	 1343.14619021853 1.533736885411012 
read 	 937.6888714770038 1.533736885411012 
throw 	 1581.5888203311513 1.533736885411012 
trash 	 1581.5888203311513 1.533736885411012 
straightaway 	 2058.474080556394 1.533736885411012 
please 	 612.0598194859011 1.533736885411012 
click 	 423.2390548158041 1.533736885411012 
tell 	 1045.587071723138 1.533736885411012 
handle 	 1126.9048113772333 1.533736885411012 
publisher's 	 2058.474080556394 1.533736885411012 
corner 	 1442.1088231419426 1.533736885411012 
legislative 	 1045.587071723138 1.533736885411012 
roster 	 1680.5514532545637 1.533736885411012 
legislat 	 2058.474080556394 1.533736885411012 
friendly 	 1176.1315015896248 1.533736885411012 
guide 	 979.864070276766 1.533736885411012 
capitol 	 1389.0809892813659 1.533736885411012 
annual 	 1011.1583619795359 1.533736885411012 
survey 	 835.4343474040352 1.533736885411012 
medpr 	 2058.474080556394 1.533736885411012 
reveals 	 1126.9048113772333 1.533736885411012 
challenges 	 1150.6383591687445 1.533736885411012 
opportunities 	 866.2609299932875 1.533736885411012 
communicators 	 1820.0314504437724 1.533736885411012 
prsa 	 2058.474080556394 1.533736885411012 
recognizes 	 1233.598106713754 1.533736885411012 
ncg 	 721.0544115709713 1.736107622209254 
corporate 	 85.56754794119243 1.9409929166267001 
awards 	 361.28289673368505 1.8159780846726108 
send 	 363.49881286231505 1.533736885411012 
letter 	 951.1807968017324 1.533736885411012 
editor 	 866.2609299932875 1.533736885411012 
mailto 	 124.94783628941833 1.736107622209254 
lhart 	 721.0544115709713 1.736107622209254 
sac 	 721.0544115709713 1.736107622209254 
nelsongroup 	 447.71539673951 1.8159780846726108 
com 	 83.0206280645037 1.736107622209254 
visit 	 877.1824822135031 1.533736885411012 
homepage 	 1027.9421784538206 1.533736885411012 
agover 	 1442.1088231419426 1.533736885411012 
html 	 19.310651322951255 1.9167567257856781 
meet 	 712.7381666891113 1.533736885411012 
staflist 	 1442.1088231419426 1.533736885411012 
contact 	 277.6920096538691 1.736107622209254 
agency 	 726.780932804079 1.533736885411012 
specialties 	 1442.1088231419426 1.533736885411012 
studio 	 1389.0809892813659 1.533736885411012 
studies 	 368.5207998631916 1.533736885411012 
clients 	 462.35309932545215 1.736107622209254 
campaigns 	 995.1554766011329 1.533736885411012 
feedback 	 1104.7035601059088 1.533736885411012 
