term 	 tf-idf weight 	 BM25 ranking 
 nelson 	 203.72508964028225 1.9092260203498344 
president 	 227.7726349179685 1.7875301043617875 
corporate 	 334.5591627351855 1.7875301043617875 
called 	 470.70420976819145 1.6158684083212387 
account 	 517.4196896678675 1.6158684083212387 
manager 	 817.6247741090817 1.6158684083212387 
home 	 120.13594167686789 1.6158684083212387 
noon 	 1423.222267934229 1.6158684083212387 
following 	 396.2576522518215 1.6158684083212387 
day 	 373.5916198186495 1.6158684083212387 
received 	 270.83516737966676 1.7875301043617875 
detailed 	 568.3257875706316 1.6158684083212387 
document 	 237.77194875590814 1.8531533197706678 
giving 	 624.1807766959794 1.6158684083212387 
step 	 322.8561325300803 1.7875301043617875 
approach 	 273.39714960322516 1.7875301043617875 
dealing 	 541.6703347593335 1.6158684083212387 
goals 	 754.7823791412569 1.6158684083212387 
prepare 	 964.6450311220926 1.6158684083212387 
spokespersons 	 1609.6788595048542 1.6158684083212387 
build 	 832.168856630786 1.6158684083212387 
supported 	 817.6247741090817 1.6158684083212387 
organization's 	 1423.222267934229 1.6158684083212387 
tactics 	 803.8268779188306 1.6158684083212387 
offered 	 685.9363014983498 1.6158684083212387 
counsel 	 990.2834694894559 1.6158684083212387 
based 	 330.96309809724215 1.6158684083212387 
strategies 	 694.7567638377344 1.6158684083212387 
gather 	 1176.7400610600812 1.6158684083212387 
hold 	 685.9363014983498 1.6158684083212387 
team 	 383.11545770995644 1.7875301043617875 
meeting 	 617.3702863482054 1.6158684083212387 
develop 	 604.2457321866282 1.6158684083212387 
official 	 610.7279735613955 1.6158684083212387 
statement 	 610.7279735613955 1.6158684083212387 
question 	 526.859254697099 1.6158684083212387 
answer 	 832.168856630786 1.6158684083212387 
identify 	 817.6247741090817 1.6158684083212387 
spokespeople 	 1609.6788595048542 1.6158684083212387 
media 	 116.46926198237355 1.7875301043617875 
train 	 1018.6254482014112 1.6158684083212387 
determine 	 312.0903883479897 1.7875301043617875 
audiences 	 1236.7656763636037 1.6158684083212387 
alert 	 964.6450311220926 1.6158684083212387 
possibility 	 847.544469953732 1.6158684083212387 
airing 	 1609.6788595048542 1.6158684083212387 
follow 	 351.9381406192464 1.7875301043617875 
segment 	 990.2834694894559 1.6158684083212387 
airs 	 1609.6788595048542 1.6158684083212387 
chief 	 292.8433248783191 1.7875301043617875 
executive 	 645.7122650601606 1.6158684083212387 
officer 	 408.81238705454086 1.7875301043617875 
operating 	 703.8762812384928 1.6158684083212387 
medical 	 512.8212870942157 1.6158684083212387 
director 	 638.3419410035578 1.6158684083212387 
trained 	 964.6450311220926 1.6158684083212387 
briefed 	 1609.6788595048542 1.6158684083212387 
interviewed 	 1176.7400610600812 1.6158684083212387 
ready 	 766.2309154199129 1.6158684083212387 
questions 	 434.2973871912255 1.6158684083212387 
results 	 466.8336393935766 1.6158684083212387 
extensive 	 743.8012626153082 1.6158684083212387 
preparation 	 964.6450311220926 1.6158684083212387 
paid 	 713.3158462677244 1.6158684083212387 
air 	 653.290230964202 1.6158684083212387 
pacificare's 	 1609.6788595048542 1.6158684083212387 
reasoned 	 1609.6788595048542 1.6158684083212387 
answers 	 832.168856630786 1.6158684083212387 
senior 	 723.0987425496896 1.6158684083212387 
suitable 	 1018.6254482014112 1.6158684083212387 
companies 	 585.6866497566382 1.6158684083212387 
featured 	 1086.229029408975 1.6158684083212387 
settled 	 1176.7400610600812 1.6158684083212387 
despite 	 694.7567638377344 1.6158684083212387 
nature 	 455.545269835937 1.6158684083212387 
advised 	 1236.7656763636037 1.6158684083212387 
action 	 541.6703347593335 1.6158684083212387 
similar 	 531.7062326773195 1.6158684083212387 
occur 	 778.1884395514672 1.6158684083212387 
example 	 474.6312868124815 1.6158684083212387 
form 	 414.6056715089591 1.6158684083212387 
letter 	 743.8012626153082 1.6158684083212387 
advising 	 1236.7656763636037 1.6158684083212387 
patient 	 754.7823791412569 1.6158684083212387 
life 	 333.29211697513995 1.6158684083212387 
threatening 	 1018.6254482014112 1.6158684083212387 
disease 	 703.8762812384928 1.6158684083212387 
type 	 661.0878783831068 1.6158684083212387 
treatment 	 441.1952010262132 1.6158684083212387 
denied 	 766.2309154199129 1.6158684083212387 
alan 	 1086.229029408975 1.6158684083212387 
hoops 	 1609.6788595048542 1.6158684083212387 
coo 	 1609.6788595048542 1.6158684083212387 
documents 	 669.118325470371 1.6158684083212387 
excellent 	 919.7074823477008 1.6158684083212387 
extremely 	 863.852493222353 1.6158684083212387 
useful 	 817.6247741090817 1.6158684083212387 
tool 	 723.0987425496896 1.6158684083212387 
company 	 499.47970992772457 1.6158684083212387 
studies 	 144.0873476209281 1.7875301043617875 
html 	 13.21292021842922 1.9422839281820163 
agover 	 1127.6955622825074 1.6158684083212387 
people 	 315.2012679096739 1.6158684083212387 
meet 	 557.344671044683 1.6158684083212387 
ncg 	 1127.6955622825074 1.6158684083212387 
staflist 	 1127.6955622825074 1.6158684083212387 
nelsongroup 	 525.1545423964892 1.7875301043617875 
gazette 	 1018.6254482014112 1.6158684083212387 
contact 	 217.14869359561274 1.7875301043617875 
agency 	 568.3257875706316 1.6158684083212387 
specialties 	 1127.6955622825074 1.6158684083212387 
studio 	 1086.229029408975 1.6158684083212387 
clients 	 361.5493712748448 1.7875301043617875 
campaigns 	 778.1884395514672 1.6158684083212387 
awards 	 423.772234976866 1.7875301043617875 
feedback 	 863.852493222353 1.6158684083212387 
mailto 	 195.412604429381 1.6158684083212387 
lhart 	 1127.6955622825074 1.6158684083212387 
sac 	 1127.6955622825074 1.6158684083212387 
com 	 129.84040086832263 1.6158684083212387 
