term 	 tf-idf weight 	 BM25 ranking 
 pictures 	 1798.3546327305492 1.3378899560717743 
resided 	 2962.8418960712575 1.3378899560717743 
breakaway 	 1481.4209480356287 1.6032762897267974 
dead 	 374.62644252005634 1.8198722285464275 
pistol 	 3351.004317184827 1.3378899560717743 
itar 	 763.2351279463984 1.6032762897267974 
tass 	 785.6470860949886 1.6032762897267974 
mother 	 1646.0717520597098 1.3378899560717743 
abducted 	 3351.004317184827 1.3378899560717743 
apartment 	 2120.558553876544 1.3378899560717743 
night 	 1505.3356722224023 1.3378899560717743 
believe 	 1446.3337834540196 1.3378899560717743 
yefimova's 	 3351.004317184827 1.3378899560717743 
murder 	 1620.02054330417 1.3378899560717743 
related 	 890.112790568261 1.3378899560717743 
stories 	 810.010271652085 1.6032762897267974 
published 	 1328.890286104061 1.3378899560717743 
crime 	 680.0047013753775 1.6032762897267974 
deputy 	 1446.3337834540196 1.3378899560717743 
interior 	 1834.4962045675888 1.3378899560717743 
minister 	 1271.4039598304144 1.3378899560717743 
told 	 680.0047013753775 1.6032762897267974 
radio 	 609.6366614567238 1.6032762897267974 
station 	 774.2169276293171 1.6032762897267974 
ekho 	 2347.619014417116 1.3378899560717743 
moskvy 	 2347.619014417116 1.3378899560717743 
suspects 	 2574.679474957688 1.3378899560717743 
identified 	 1764.4048445133456 1.3378899560717743 
statements 	 1834.4962045675888 1.3378899560717743 
viktor 	 1571.2941721899772 1.3378899560717743 
pimenov 	 1481.4209480356287 1.6032762897267974 
cameraman 	 1675.5021585924135 1.6032762897267974 
vaynakh 	 2962.8418960712575 1.3378899560717743 
national 	 638.2595487680155 1.3378899560717743 
television 	 1410.1922116169796 1.3378899560717743 
controlled 	 1764.4048445133456 1.3378899560717743 
pro 	 1446.3337834540196 1.3378899560717743 
government 	 660.752532134203 1.3378899560717743 
reported 	 574.590981429602 1.6032762897267974 
day 	 777.7372011094562 1.3378899560717743 
sniper 	 3351.004317184827 1.3378899560717743 
hiding 	 2574.679474957688 1.3378899560717743 
roof 	 2574.679474957688 1.3378899560717743 
floor 	 1798.3546327305492 1.3378899560717743 
building 	 1106.8977334546428 1.3378899560717743 
lenin 	 2186.5170538441184 1.3378899560717743 
street 	 1194.9216602271938 1.3378899560717743 
filming 	 3351.004317184827 1.3378899560717743 
aftermath 	 1959.4565933035467 1.3378899560717743 
insurgents' 	 3351.004317184827 1.3378899560717743 
raid 	 2735.781435530685 1.3378899560717743 
time 	 533.9590812050628 1.3378899560717743 
military 	 506.67372302163494 1.6032762897267974 
officials 	 656.9780338690254 1.6032762897267974 
kept 	 1914.632677006366 1.3378899560717743 
city 	 466.6054868022464 1.6032762897267974 
june 	 390.52831674762524 1.7167916127922753 
natalya 	 2574.679474957688 1.3378899560717743 
alyakina 	 2574.679474957688 1.3378899560717743 
free 	 236.21498308652457 1.7167916127922753 
lance 	 1287.339737478844 1.6032762897267974 
dual 	 2120.558553876544 1.3378899560717743 
german 	 672.1168558247025 1.6032762897267974 
citizenship 	 1959.4565933035467 1.3378899560717743 
news 	 340.6765968344701 1.7167916127922753 
service 	 850.0957707382597 1.3378899560717743 
rufa 	 2574.679474957688 1.3378899560717743 
weekly 	 611.498734855863 1.7167916127922753 
magazine 	 1732.3961327629745 1.3378899560717743 
focus_ 	 2962.8418960712575 1.3378899560717743 
soldier 	 1130.6473168569257 1.6032762897267974 
minutes 	 1834.4962045675888 1.3378899560717743 
waved 	 2735.781435530685 1.3378899560717743 
past 	 963.90358604169 1.3378899560717743 
checkpoint 	 2735.781435530685 1.3378899560717743 
budyonnovsk 	 2962.8418960712575 1.3378899560717743 
height 	 2186.5170538441184 1.3378899560717743 
hostage 	 2120.558553876544 1.3378899560717743 
crisis 	 1127.6408455956384 1.3378899560717743 
driver 	 2261.2946337138515 1.3378899560717743 
seriously 	 1959.4565933035467 1.3378899560717743 
injured 	 2061.5566651081613 1.3378899560717743 
sergei 	 882.2024222566728 1.6032762897267974 
fedotov 	 2962.8418960712575 1.3378899560717743 
fired 	 1873.132212600282 1.3378899560717743 
claimed 	 1702.11848885162 1.3378899560717743 
accident 	 1873.132212600282 1.3378899560717743 
circumstances 	 1206.9651351509333 1.3378899560717743 
suggest 	 2120.558553876544 1.3378899560717743 
serious 	 1798.3546327305492 1.3378899560717743 
blunders 	 3351.004317184827 1.3378899560717743 
official 	 1271.4039598304144 1.3378899560717743 
enactment 	 2347.619014417116 1.3378899560717743 
court 	 515.4244352027841 1.6032762897267974 
stavropol 	 3351.004317184827 1.3378899560717743 
announced 	 1571.2941721899772 1.3378899560717743 
trial 	 1410.1922116169796 1.3378899560717743 
hearing 	 1620.02054330417 1.3378899560717743 
cancelled 	 2574.679474957688 1.3378899560717743 
state's 	 2120.558553876544 1.3378899560717743 
witnesses 	 1834.4962045675888 1.3378899560717743 
failed 	 1465.3186523924012 1.3378899560717743 
appear 	 1595.1275562645028 1.3378899560717743 
session 	 1732.3961327629745 1.3378899560717743 
postponed 	 2008.1829644177392 1.3378899560717743 
elections 	 1484.9697914867124 1.3378899560717743 
farkhad 	 2962.8418960712575 1.3378899560717743 
kerimov 	 2962.8418960712575 1.3378899560717743 
associated 	 1376.2424233997763 1.3378899560717743 
press 	 303.7491247462184 1.7167916127922753 
missing 	 1060.279276938272 1.6032762897267974 
thirdly 	 2962.8418960712575 1.3378899560717743 
urge 	 2061.5566651081613 1.3378899560717743 
complete 	 1244.7322523964317 1.3378899560717743 
investigations 	 1702.11848885162 1.3378899560717743 
disappearances 	 2962.8418960712575 1.3378899560717743 
maxim 	 2735.781435530685 1.3378899560717743 
shabalin 	 1481.4209480356287 1.6032762897267974 
assistant 	 1959.4565933035467 1.3378899560717743 
political 	 530.3108598331943 1.3378899560717743 
editor 	 470.06407053899324 1.7167916127922753 
petersburg 	 1224.8595431108652 1.6032762897267974 
daily 	 1271.4039598304144 1.3378899560717743 
nevskoye 	 740.7104740178144 1.7797983399694934 
vremya_ 	 1481.4209480356287 1.6032762897267974 
felix 	 2449.7190862217303 1.3378899560717743 
titov 	 1481.4209480356287 1.6032762897267974 
photographer 	 2735.781435530685 1.3378899560717743 
paper 	 642.6864492919989 1.3378899560717743 
left 	 609.6366614567238 1.6032762897267974 
nazran 	 2735.781435530685 1.3378899560717743 
feb 	 2186.5170538441184 1.3378899560717743 
sixth 	 2061.5566651081613 1.3378899560717743 
trip 	 1914.632677006366 1.3378899560717743 
fighting 	 1764.4048445133456 1.3378899560717743 
vremya's_ 	 1675.5021585924135 1.6032762897267974 
chief 	 1219.2733229134476 1.3378899560717743 
due 	 1077.156231278832 1.3378899560717743 
heard 	 489.8641483258867 1.7797983399694934 
feared 	 1130.6473168569257 1.6032762897267974 
word 	 1595.1275562645028 1.3378899560717743 
september 	 1328.890286104061 1.3378899560717743 
bodies 	 882.2024222566728 1.6032762897267974 
february 	 1673.3942439945918 1.3378899560717743 
achoy 	 3351.004317184827 1.3378899560717743 
region 	 642.6159114405111 1.6032762897267974 
documents 	 1392.9600827635977 1.3378899560717743 
located 	 1484.9697914867124 1.3378899560717743 
confirm 	 2261.2946337138515 1.3378899560717743 
identities 	 2735.781435530685 1.3378899560717743 
ivanov 	 2735.781435530685 1.3378899560717743 
look 	 897.069401767453 1.3378899560717743 
andrew 	 1873.132212600282 1.3378899560717743 
shumack 	 987.6139653570857 1.7167916127922753 
american 	 620.8938161921818 1.3378899560717743 
journalist 	 1834.4962045675888 1.3378899560717743 
pennsylvania 	 1673.3942439945918 1.3378899560717743 
july 	 649.7048976761123 1.6032762897267974 
headed 	 2061.5566651081613 1.3378899560717743 
mountainous 	 2347.619014417116 1.3378899560717743 
press_ 	 3351.004317184827 1.3378899560717743 
english 	 1244.7322523964317 1.3378899560717743 
provided 	 642.6159114405111 1.6032762897267974 
letter 	 1548.4338552586341 1.3378899560717743 
introduction 	 1149.181962859204 1.3378899560717743 
help 	 963.90358604169 1.3378899560717743 
obtain 	 1505.3356722224023 1.3378899560717743 
credentials 	 2735.781435530685 1.3378899560717743 
return 	 850.0957707382597 1.3378899560717743 
provide 	 948.3470301417276 1.3378899560717743 
months 	 1219.2733229134476 1.3378899560717743 
embassy 	 2261.2946337138515 1.3378899560717743 
able 	 1149.181962859204 1.3378899560717743 
locate 	 2962.8418960712575 1.3378899560717743 
despite 	 1446.3337834540196 1.3378899560717743 
repeated 	 1959.4565933035467 1.3378899560717743 
trips 	 2449.7190862217303 1.3378899560717743 
lastly 	 2962.8418960712575 1.3378899560717743 
release 	 1410.1922116169796 1.3378899560717743 
jail 	 1764.4048445133456 1.3378899560717743 
turkish 	 1060.279276938272 1.6032762897267974 
ali 	 2574.679474957688 1.3378899560717743 
tekin 	 3351.004317184827 1.3378899560717743 
managing 	 2120.558553876544 1.3378899560717743 
islamic 	 2574.679474957688 1.3378899560717743 
selam_ 	 1675.5021585924135 1.6032762897267974 
talip 	 3351.004317184827 1.3378899560717743 
ozcelik 	 3351.004317184827 1.3378899560717743 
arrested 	 1732.3961327629745 1.3378899560717743 
nov 	 2261.2946337138515 1.3378899560717743 
trying 	 1620.02054330417 1.3378899560717743 
enter 	 1673.3942439945918 1.3378899560717743 
authorities 	 1446.3337834540196 1.3378899560717743 
held 	 529.0856811702251 1.6032762897267974 
illegal 	 763.2351279463984 1.6032762897267974 
entry 	 1914.632677006366 1.3378899560717743 
pair 	 2735.781435530685 1.3378899560717743 
derbent 	 3351.004317184827 1.3378899560717743 
believed 	 1673.3942439945918 1.3378899560717743 
detained 	 2186.5170538441184 1.3378899560717743 
makhachkala 	 3351.004317184827 1.3378899560717743 
dagestan 	 1367.8907177653425 1.6032762897267974 
anatolia 	 3351.004317184827 1.3378899560717743 
agency 	 1183.1317510764077 1.3378899560717743 
sentenced 	 2061.5566651081613 1.3378899560717743 
article 	 1219.2733229134476 1.3378899560717743 
penal 	 2061.5566651081613 1.3378899560717743 
code 	 1257.9093309461405 1.3378899560717743 
maximum 	 1571.2941721899772 1.3378899560717743 
sentence 	 2261.2946337138515 1.3378899560717743 
permitted 	 2186.5170538441184 1.3378899560717743 
law 	 468.407410169293 1.3378899560717743 
border 	 1798.3546327305492 1.3378899560717743 
crossing 	 2261.2946337138515 1.3378899560717743 
survive 	 1959.4565933035467 1.3378899560717743 
allowed 	 1376.2424233997763 1.3378899560717743 
travel 	 1702.11848885162 1.3378899560717743 
report 	 883.241538716845 1.3378899560717743 
freely 	 957.316338503183 1.6032762897267974 
fear 	 723.1668917270098 1.6032762897267974 
safety 	 1271.4039598304144 1.3378899560717743 
arbitrary 	 2347.619014417116 1.3378899560717743 
jailing 	 2962.8418960712575 1.3378899560717743 
respectfully 	 2449.7190862217303 1.3378899560717743 
request 	 1526.4702558927968 1.3378899560717743 
measures 	 1410.1922116169796 1.3378899560717743 
ensure 	 1505.3356722224023 1.3378899560717743 
security 	 971.8469816371855 1.3378899560717743 
attention 	 1194.9216602271938 1.3378899560717743 
welcome 	 1620.02054330417 1.3378899560717743 
comments 	 633.867369389841 1.3378899560717743 
reply 	 2735.781435530685 1.3378899560717743 
sincerely 	 2574.679474957688 1.3378899560717743 
name 	 1096.807370373143 1.3378899560717743 
date 	 1392.9600827635977 1.3378899560717743 
information 	 465.16102426607034 1.3378899560717743 
alert 	 2008.1829644177392 1.3378899560717743 
copied 	 2186.5170538441184 1.3378899560717743 
distributed 	 1764.4048445133456 1.3378899560717743 
properly 	 1798.3546327305492 1.3378899560717743 
attributed 	 1914.632677006366 1.3378899560717743 
