term 	 tf-idf weight 	 BM25 ranking 
 workspace 	 441.524021541495 1.7910667937181293 
gun 	 755.9041105396591 1.6928205637082807 
guns 	 8496.44226736037 0.7595491027875889 
duration 	 3498.9216138962975 1.1009756659453127 
closed 	 1455.63399672351 1.4201667920663121 
semi 	 2021.0182461329277 1.4201667920663121 
full 	 795.2204584843943 1.4201667920663121 
pointer 	 4514.03936862563 1.1009756659453127 
teachpoint 	 425.10340247978905 1.867402931480056 
submenus 	 5529.157123354964 1.1009756659453127 
phrase 	 8496.44226736037 0.7595491027875889 
axis 	 636.1675661629631 1.7414512934025423 
drag 	 11058.314246709928 0.7595491027875889 
operate 	 5616.991013210346 0.7595491027875889 
selection 	 2808.495506605173 1.1009756659453127 
side 	 4065.1318032289814 0.7595491027875889 
bar 	 592.4359272033576 1.5720919815365018 
tps 	 789.8795890507092 1.7910667937181293 
contains 	 1336.51694822594 1.4201667920663121 
change 	 422.90414654751356 1.6216577202285765 
arla 	 2444.344564258787 1.4201667920663121 
converts 	 3686.1047489033094 1.295017743325713 
assuming 	 8496.44226736037 0.7595491027875889 
suitable 	 1166.3072046320992 1.5720919815365018 
assumed 	 4712.305892821378 0.7595491027875889 
vectors 	 5529.157123354964 1.1009756659453127 
remove 	 2060.44543386031 1.295017743325713 
removes 	 2257.019684312815 1.4201667920663121 
active 	 5716.907238117816 0.7595491027875889 
wishes 	 2155.4022526339013 1.295017743325713 
representing 	 2483.803859166964 1.1009756659453127 
faceplate 	 2764.578561677482 1.4201667920663121 
nil 	 11058.314246709928 0.7595491027875889 
represent 	 877.3201559454765 1.5720919815365018 
autoturn 	 5529.157123354964 1.1009756659453127 
attempts 	 1933.115167900745 1.1009756659453127 
angle 	 8084.072984531711 0.7595491027875889 
achievable 	 3259.1260856783833 1.295017743325713 
performs 	 4042.0364922658555 1.1009756659453127 
interactively 	 9777.378257035149 0.7595491027875889 
store 	 2808.495506605173 1.1009756659453127 
configuration 	 8496.44226736037 0.7595491027875889 
auxiliary 	 4042.0364922658555 1.1009756659453127 
joints 	 4042.0364922658555 1.1009756659453127 
reflects 	 7215.506277685591 0.7595491027875889 
adjusting 	 4888.689128517574 1.1009756659453127 
angles 	 2124.1105668400924 1.4201667920663121 
reversed 	 8084.072984531711 0.7595491027875889 
effect 	 2914.6970777655883 0.7595491027875889 
revolute 	 11058.314246709928 0.7595491027875889 
robots 	 1616.551689475426 1.4201667920663121 
frames 	 4248.221133680185 1.1009756659453127 
plane 	 2694.690994843904 1.295017743325713 
passing 	 6181.33630158093 0.7595491027875889 
zero 	 680.3136994856932 1.7192261090602372 
reflecting 	 2808.495506605173 1.1009756659453127 
ensures 	 9028.07873725126 0.7595491027875889 
reflected 	 3233.103378950852 1.1009756659453127 
configurations 	 9028.07873725126 0.7595491027875889 
original 	 4541.599997219262 0.7595491027875889 
prompted 	 8084.072984531711 0.7595491027875889 
name 	 603.2440537052287 1.5720919815365018 
adjust 	 3401.568497428466 1.1009756659453127 
tcp 	 4888.689128517574 1.1009756659453127 
offset 	 8084.072984531711 0.7595491027875889 
shift 	 6181.33630158093 0.7595491027875889 
transform 	 3607.7531388427956 1.1009756659453127 
desired 	 2021.0182461329277 1.4201667920663121 
teaches 	 3731.1361456278546 1.1009756659453127 
saves 	 4514.03936862563 1.1009756659453127 
brings 	 2332.6144092641985 1.295017743325713 
issues 	 1283.2663818306028 1.1009756659453127 
selects 	 5529.157123354964 1.1009756659453127 
bent 	 3873.571373788241 1.1009756659453127 
value 	 1745.9827478617428 1.1009756659453127 
application 	 454.411690562511 1.6216577202285765 
allow 	 2244.0155145387457 1.1009756659453127 
actions 	 663.8308243330133 1.5720919815365018 
appropriate 	 4435.9712484430365 0.7595491027875889 
waterjet 	 11058.314246709928 0.7595491027875889 
start 	 498.34161403892756 1.4201667920663121 
selecting 	 7462.272291255709 0.7595491027875889 
properties 	 2267.7123316189773 1.295017743325713 
particular 	 3491.9654957234857 0.7595491027875889 
node 	 1396.7683224335929 1.6216577202285765 
various 	 1128.9084076018373 1.1009756659453127 
motion 	 1186.9140576021625 1.5075813660352384 
previous 	 4195.633067440367 0.7595491027875889 
implemented 	 3026.918737536522 1.1009756659453127 
reaches 	 4042.0364922658555 1.1009756659453127 
described 	 1513.866665739754 1.295017743325713 
detail 	 5616.991013210346 0.7595491027875889 
type 	 567.6999996524078 1.660932788846021 
circular 	 4514.03936862563 1.1009756659453127 
linear 	 3873.571373788241 1.1009756659453127 
termination 	 1202.5843796142651 1.5720919815365018 
expressed 	 4900.400311906151 0.7595491027875889 
percentage 	 2017.9458250243479 1.295017743325713 
indicates 	 1104.5006304297565 1.5720919815365018 
near 	 2244.0155145387457 1.1009756659453127 
stopping 	 4248.221133680185 1.1009756659453127 
velocity 	 4888.689128517574 1.1009756659453127 
maximum 	 2592.6353841134624 1.1009756659453127 
moving 	 2808.495506605173 1.1009756659453127 
acceleration 	 4042.0364922658555 1.1009756659453127 
wait 	 2487.4240970852366 1.295017743325713 
stationary 	 7747.142747576482 0.7595491027875889 
reaching 	 5822.53598689404 0.7595491027875889 
routine 	 3401.568497428466 1.1009756659453127 
call 	 3491.9654957234857 0.7595491027875889 
called 	 3233.685426214193 0.7595491027875889 
reached 	 2483.803859166964 1.1009756659453127 
signal 	 923.7438225573862 1.6216577202285765 
ling 	 8496.44226736037 0.7595491027875889 
enterinterferencezone 	 11058.314246709928 0.7595491027875889 
saying 	 1810.6789272656806 1.295017743325713 
left 	 2011.8009828071886 1.1009756659453127 
zone 	 2017.9458250243479 1.295017743325713 
interference 	 2332.6144092641985 1.295017743325713 
received 	 1860.6073952328036 1.1009756659453127 
send 	 488.18735913485335 1.4201667920663121 
entered 	 3498.9216138962975 1.1009756659453127 
intereference 	 11058.314246709928 0.7595491027875889 
leaveinterferencezone 	 11058.314246709928 0.7595491027875889 
note 	 1007.470368889246 1.5075813660352384 
zones 	 8084.072984531711 0.7595491027875889 
context 	 4541.599997219262 0.7595491027875889 
physical 	 3491.9654957234857 0.7595491027875889 
bounds 	 9028.07873725126 0.7595491027875889 
signals 	 6997.843227792595 0.7595491027875889 
sent 	 2631.9604678364294 1.1009756659453127 
performed 	 3090.668150790465 1.1009756659453127 
values 	 2075.550396061132 1.1009756659453127 
examples 	 4488.031029077491 0.7595491027875889 
arcon 	 5529.157123354964 1.1009756659453127 
arcoff 	 5529.157123354964 1.1009756659453127 
paintsprayon 	 11058.314246709928 0.7595491027875889 
paintsprayoff 	 11058.314246709928 0.7595491027875889 
following 	 2722.245878666789 0.7595491027875889 
executed 	 3607.7531388427956 1.1009756659453127 
task 	 6053.837475073044 0.7595491027875889 
text 	 690.7930789849892 1.6216577202285765 
temporarily 	 8084.072984531711 0.7595491027875889 
exits 	 9028.07873725126 0.7595491027875889 
cut 	 2060.44543386031 1.295017743325713 
pasted 	 11058.314246709928 0.7595491027875889 
control 	 651.0620896089191 1.4201667920663121 
mark 	 3090.668150790465 1.1009756659453127 
block 	 1208.8878882237311 1.4201667920663121 
write 	 3756.4158547714505 0.7595491027875889 
read 	 5037.35184444623 0.7595491027875889 
append 	 11058.314246709928 0.7595491027875889 
appends 	 11058.314246709928 0.7595491027875889 
break 	 5346.06779290376 0.7595491027875889 
breaks 	 7462.272291255709 0.7595491027875889 
reverses 	 9777.378257035149 0.7595491027875889 
insert 	 4514.03936862563 1.1009756659453127 
inserts 	 4514.03936862563 1.1009756659453127 
deletes 	 11058.314246709928 0.7595491027875889 
deleted 	 4888.689128517574 1.1009756659453127 
scale 	 5432.036781797042 0.7595491027875889 
speeds 	 4248.221133680185 1.1009756659453127 
scales 	 6627.003782578539 0.7595491027875889 
nodes 	 3686.1047489033094 1.295017743325713 
scaling 	 4514.03936862563 1.1009756659453127 
factor 	 2716.018390898521 1.1009756659453127 
types 	 1217.5875068001071 1.295017743325713 
replay 	 5529.157123354964 1.1009756659453127 
track 	 561.9396637800845 1.7414512934025423 
replays 	 5529.157123354964 1.1009756659453127 
represents 	 5432.036781797042 0.7595491027875889 
movement 	 1539.7981064474131 1.1009756659453127 
written 	 1017.4481468851574 1.1009756659453127 
converted 	 3731.1361456278546 1.1009756659453127 
record 	 1048.9082668600918 1.4201667920663121 
sweep 	 4248.221133680185 1.1009756659453127 
lines 	 1496.0103430258305 1.295017743325713 
enables 	 6627.003782578539 0.7595491027875889 
quickly 	 5716.907238117816 0.7595491027875889 
interferes 	 11058.314246709928 0.7595491027875889 
fixtures 	 9028.07873725126 0.7595491027875889 
receive 	 4195.633067440367 0.7595491027875889 
wider 	 7462.272291255709 0.7595491027875889 
range 	 2097.8165337201835 1.1009756659453127 
filter 	 2694.690994843904 1.295017743325713 
converting 	 11058.314246709928 0.7595491027875889 
recalibrate 	 11058.314246709928 0.7595491027875889 
calibrate 	 1843.0523744516547 1.5720919815365018 
circumstances 	 3982.98494599808 0.7595491027875889 
paintshade 	 11058.314246709928 0.7595491027875889 
option 	 1241.901929583482 1.4201667920663121 
removed 	 3313.5018912892697 1.1009756659453127 
shade 	 9777.378257035149 0.7595491027875889 
picture 	 2761.1005025910763 1.1009756659453127 
hiddenline 	 3686.1047489033094 1.295017743325713 
mode 	 6181.33630158093 0.7595491027875889 
removal 	 3233.103378950852 1.1009756659453127 
rigorous 	 9777.378257035149 0.7595491027875889 
zooms 	 5529.157123354964 1.1009756659453127 
workcell 	 2832.147422453457 1.295017743325713 
clipped 	 3686.1047489033094 1.295017743325713 
means 	 3315.8322834450937 0.7595491027875889 
completely 	 6318.287834121008 0.7595491027875889 
screen 	 1700.784248714233 1.4201667920663121 
slightly 	 6181.33630158093 0.7595491027875889 
faster 	 6627.003782578539 0.7595491027875889 
outer 	 9028.07873725126 0.7595491027875889 
hidden 	 6627.003782578539 0.7595491027875889 
correctly 	 8084.072984531711 0.7595491027875889 
autoplace 	 3686.1047489033094 1.295017743325713 
search 	 560.5222651743449 1.4201667920663121 
conducted 	 5109.831722353493 0.7595491027875889 
passes 	 7747.142747576482 0.7595491027875889 
cross 	 5037.35184444623 0.7595491027875889 
drawn 	 6181.33630158093 0.7595491027875889 
placing 	 2582.3809158588274 1.295017743325713 
label 	 9028.07873725126 0.7595491027875889 
labelled 	 11058.314246709928 0.7595491027875889 
series 	 4195.633067440367 0.7595491027875889 
display 	 3498.9216138962975 1.1009756659453127 
dotted 	 11058.314246709928 0.7595491027875889 
line 	 3007.1163349875624 0.7595491027875889 
arrows 	 11058.314246709928 0.7595491027875889 
indicating 	 3090.668150790465 1.1009756659453127 
reorganised 	 5529.157123354964 1.1009756659453127 
step 	 1478.6570828143456 1.295017743325713 
checks 	 3498.9216138962975 1.1009756659453127 
encoder 	 1579.7591781014185 1.6216577202285765 
units 	 2808.495506605173 1.1009756659453127 
returned 	 3026.918737536522 1.1009756659453127 
repeatability 	 2444.344564258787 1.4201667920663121 
degraded 	 11058.314246709928 0.7595491027875889 
follows 	 2858.453619058908 1.1009756659453127 
special 	 1527.5595169303942 1.1009756659453127 
length 	 1053.0479723535013 1.5720919815365018 
check 	 1633.4667706353837 1.295017743325713 
repeatabilities 	 9777.378257035149 0.7595491027875889 
cords 	 3259.1260856783833 1.295017743325713 
pulled 	 8496.44226736037 0.7595491027875889 
reading 	 751.9887050961228 1.6216577202285765 
displays 	 8084.072984531711 0.7595491027875889 
readings 	 3873.571373788241 1.1009756659453127 
encoders 	 11058.314246709928 0.7595491027875889 
pull 	 4248.221133680185 1.1009756659453127 
cord 	 1396.7683224335929 1.6216577202285765 
return 	 1402.6580217181286 1.1009756659453127 
red 	 4712.305892821378 0.7595491027875889 
black 	 2135.5904601752754 0.7595491027875889 
beep 	 11058.314246709928 0.7595491027875889 
heard 	 6466.206757901704 0.7595491027875889 
successive 	 9777.378257035149 0.7595491027875889 
counts 	 9777.378257035149 0.7595491027875889 
people 	 2165.3975579817 0.7595491027875889 
checked 	 8084.072984531711 0.7595491027875889 
timed 	 11058.314246709928 0.7595491027875889 
unit 	 1611.8505176316414 1.295017743325713 
prepare 	 3313.5018912892697 1.1009756659453127 
structured 	 8084.072984531711 0.7595491027875889 
person 	 3554.6155632201453 0.7595491027875889 
assistance 	 4488.031029077491 0.7595491027875889 
distance 	 3313.5018912892697 1.1009756659453127 
bases 	 2017.9458250243479 1.295017743325713 
distances 	 4042.0364922658555 1.1009756659453127 
recommended 	 2060.44543386031 1.295017743325713 
accurate 	 3313.5018912892697 1.1009756659453127 
sharp 	 3731.1361456278546 1.1009756659453127 
degrade 	 4514.03936862563 1.1009756659453127 
measurements 	 1492.454458251142 1.5075813660352384 
forces 	 3943.2414787497396 0.7595491027875889 
top 	 575.3934484375944 1.295017743325713 
continuous 	 3607.7531388427956 1.1009756659453127 
measurement 	 7462.272291255709 0.7595491027875889 
auto 	 2106.0959447070027 1.295017743325713 
runs 	 6997.843227792595 0.7595491027875889 
succession 	 7462.272291255709 0.7595491027875889 
provide 	 3129.5451994677014 0.7595491027875889 
adequate 	 6318.287834121008 0.7595491027875889 
ensure 	 4967.607718333928 0.7595491027875889 
wrist 	 9028.07873725126 0.7595491027875889 
flipped 	 11058.314246709928 0.7595491027875889 
accuracy 	 3313.5018912892697 1.1009756659453127 
extract 	 9777.378257035149 0.7595491027875889 
errors 	 6466.206757901704 0.7595491027875889 
organised 	 9028.07873725126 0.7595491027875889 
card 	 2967.285144005406 1.1009756659453127 
address 	 3943.2414787497396 0.7595491027875889 
version 	 4195.633067440367 0.7595491027875889 
test 	 2244.0155145387457 1.1009756659453127 
calibrated 	 4514.03936862563 1.1009756659453127 
box 	 4772.901485398264 0.7595491027875889 
trajectory 	 4248.221133680185 1.1009756659453127 
xyz 	 11058.314246709928 0.7595491027875889 
recalibrating 	 11058.314246709928 0.7595491027875889 
pendant 	 9028.07873725126 0.7595491027875889 
mechanism 	 6466.206757901704 0.7595491027875889 
cycles 	 8496.44226736037 0.7595491027875889 
times 	 1503.5581674937812 1.1009756659453127 
obtained 	 5716.907238117816 0.7595491027875889 
fanuc 	 4514.03936862563 1.1009756659453127 
generation 	 5716.907238117816 0.7595491027875889 
algorithms 	 7747.142747576482 0.7595491027875889 
controllers 	 8084.072984531711 0.7595491027875889 
cycle 	 5346.06779290376 0.7595491027875889 
signaldef 	 3686.1047489033094 1.295017743325713 
input 	 6627.003782578539 0.7595491027875889 
directive 	 4248.221133680185 1.1009756659453127 
robotname 	 11058.314246709928 0.7595491027875889 
parameter 	 8084.072984531711 0.7595491027875889 
trackname 	 11058.314246709928 0.7595491027875889 
external 	 5716.907238117816 0.7595491027875889 
valid 	 2808.495506605173 1.1009756659453127 
output 	 6318.287834121008 0.7595491027875889 
required 	 3828.895732678714 0.7595491027875889 
sidebar 	 11058.314246709928 0.7595491027875889 
chooses 	 8084.072984531711 0.7595491027875889 
weldpos 	 5529.157123354964 1.1009756659453127 
deburrpos 	 11058.314246709928 0.7595491027875889 
functions 	 4596.768273119872 0.7595491027875889 
expression 	 5037.35184444623 0.7595491027875889 
grippos 	 11058.314246709928 0.7595491027875889 
function 	 1971.6207393748698 1.1009756659453127 
varies 	 3731.1361456278546 1.1009756659453127 
goes 	 4900.400311906151 0.7595491027875889 
deburr 	 11058.314246709928 0.7595491027875889 
returns 	 6053.837475073044 0.7595491027875889 
repeats 	 9777.378257035149 0.7595491027875889 
macros 	 5529.157123354964 1.1009756659453127 
structure 	 3233.685426214193 0.7595491027875889 
variables 	 5346.06779290376 0.7595491027875889 
karel2 	 11058.314246709928 0.7595491027875889 
macro 	 8496.44226736037 0.7595491027875889 
starting 	 5432.036781797042 0.7595491027875889 
issuing 	 11058.314246709928 0.7595491027875889 
issued 	 5185.270768226925 0.7595491027875889 
stored 	 7747.142747576482 0.7595491027875889 
replayed 	 11058.314246709928 0.7595491027875889 
image 	 1114.6821906475968 1.295017743325713 
line_col 	 3731.1361456278546 1.1009756659453127 
gif 	 159.65870444529145 1.4201667920663121 
home 	 412.66026062983616 1.1009756659453127 
index 	 401.81082091178087 1.1009756659453127 
page 	 907.1366994165943 0.7595491027875889 
registered 	 5432.036781797042 0.7595491027875889 
trademarks 	 7215.506277685591 0.7595491027875889 
simulations 	 3233.103378950852 1.1009756659453127 
copyright 	 1441.3098889920097 0.7595491027875889 
revision 	 6627.003782578539 0.7595491027875889 
april 	 3866.23033580149 0.7595491027875889 
