term 	 tf-idf weight 	 BM25 ranking 
 appendix 	 2027.4592454728127 1.312289034851333 
culberson 	 3548.474214447504 1.312289034851333 
dallam 	 3548.474214447504 1.312289034851333 
dallas 	 2726.401658303409 1.312289034851333 
dawson 	 2896.9971272673147 1.312289034851333 
deaf 	 3137.4379363754565 1.312289034851333 
smith 	 857.7430198030113 1.5847518390377826 
delta 	 2594.0775323740827 1.312289034851333 
denton 	 3548.474214447504 1.312289034851333 
dewitt 	 3548.474214447504 1.312289034851333 
dickens 	 2594.0775323740827 1.312289034851333 
dimmit 	 3548.474214447504 1.312289034851333 
donley 	 3548.474214447504 1.312289034851333 
duval 	 3548.474214447504 1.312289034851333 
eastland 	 2896.9971272673147 1.312289034851333 
ector 	 3548.474214447504 1.312289034851333 
edwards 	 2485.960849195267 1.312289034851333 
paso 	 3137.4379363754565 1.312289034851333 
ellis 	 3137.4379363754565 1.312289034851333 
erath 	 3548.474214447504 1.312289034851333 
falls 	 2485.960849195267 1.312289034851333 
fannin 	 2896.9971272673147 1.312289034851333 
fayette 	 3137.4379363754565 1.312289034851333 
fisher 	 2027.4592454728127 1.312289034851333 
floyd 	 3548.474214447504 1.312289034851333 
foard 	 3548.474214447504 1.312289034851333 
fort 	 2394.5494960577034 1.312289034851333 
bend 	 3137.4379363754565 1.312289034851333 
franklin 	 2027.4592454728127 1.312289034851333 
freestone 	 3548.474214447504 1.312289034851333 
frio 	 3548.474214447504 1.312289034851333 
gaines 	 2896.9971272673147 1.312289034851333 
galveston 	 3137.4379363754565 1.312289034851333 
garza 	 3137.4379363754565 1.312289034851333 
gillespie 	 3137.4379363754565 1.312289034851333 
glasscock 	 3548.474214447504 1.312289034851333 
goliad 	 3548.474214447504 1.312289034851333 
gonzales 	 3548.474214447504 1.312289034851333 
gray 	 2394.5494960577034 1.312289034851333 
grayson 	 3548.474214447504 1.312289034851333 
gregg 	 3137.4379363754565 1.312289034851333 
grimes 	 3548.474214447504 1.312289034851333 
guadalupe 	 3548.474214447504 1.312289034851333 
hale 	 3548.474214447504 1.312289034851333 
hall 	 1743.072408877514 1.312289034851333 
hamilton 	 2594.0775323740827 1.312289034851333 
hansford 	 3548.474214447504 1.312289034851333 
hardeman 	 3548.474214447504 1.312289034851333 
hardin 	 3137.4379363754565 1.312289034851333 
harris 	 2594.0775323740827 1.312289034851333 
harrison 	 3548.474214447504 1.312289034851333 
hartley 	 3137.4379363754565 1.312289034851333 
haskell 	 2896.9971272673147 1.312289034851333 
hays 	 3137.4379363754565 1.312289034851333 
hemphill 	 3548.474214447504 1.312289034851333 
henderson 	 2394.5494960577034 1.312289034851333 
hidalgo 	 3548.474214447504 1.312289034851333 
hill 	 2245.520040087126 1.312289034851333 
hockley 	 3548.474214447504 1.312289034851333 
hood 	 3137.4379363754565 1.312289034851333 
hopkins 	 2594.0775323740827 1.312289034851333 
houston 	 2594.0775323740827 1.312289034851333 
howard 	 2245.520040087126 1.312289034851333 
hudspeth 	 3548.474214447504 1.312289034851333 
hunt 	 2394.5494960577034 1.312289034851333 
hutchinson 	 2896.9971272673147 1.312289034851333 
irion 	 3137.4379363754565 1.312289034851333 
jack 	 2394.5494960577034 1.312289034851333 
jackson 	 1983.5132179856555 1.312289034851333 
jasper 	 3137.4379363754565 1.312289034851333 
jeff 	 2726.401658303409 1.312289034851333 
davis 	 2183.0412543020348 1.312289034851333 
jefferson 	 2245.520040087126 1.312289034851333 
jim 	 971.3002225969467 1.5847518390377826 
hogg 	 3548.474214447504 1.312289034851333 
johnson 	 1904.3291021593136 1.312289034851333 
jones 	 1868.3787014221678 1.312289034851333 
karnes 	 3548.474214447504 1.312289034851333 
kaufman 	 3137.4379363754565 1.312289034851333 
kendall 	 3137.4379363754565 1.312289034851333 
kenedy 	 3548.474214447504 1.312289034851333 
kent 	 2315.365380231361 1.312289034851333 
kerr 	 3137.4379363754565 1.312289034851333 
kimble 	 3548.474214447504 1.312289034851333 
king 	 1551.667787265525 1.312289034851333 
kinney 	 3548.474214447504 1.312289034851333 
kleberg 	 3548.474214447504 1.312289034851333 
knox 	 2896.9971272673147 1.312289034851333 
salle 	 3137.4379363754565 1.312289034851333 
lamar 	 3548.474214447504 1.312289034851333 
lamb 	 3137.4379363754565 1.312289034851333 
lampasas 	 3548.474214447504 1.312289034851333 
lavaca 	 3548.474214447504 1.312289034851333 
lee 	 2245.520040087126 1.312289034851333 
leon 	 2726.401658303409 1.312289034851333 
liberty 	 2245.520040087126 1.312289034851333 
limestone 	 3548.474214447504 1.312289034851333 
lipscomb 	 3548.474214447504 1.312289034851333 
live 	 1512.1198021878122 1.312289034851333 
oak 	 2394.5494960577034 1.312289034851333 
llano 	 3548.474214447504 1.312289034851333 
loving 	 2896.9971272673147 1.312289034851333 
lubbock 	 3548.474214447504 1.312289034851333 
lynn 	 3548.474214447504 1.312289034851333 
madison 	 2183.0412543020348 1.312289034851333 
marion 	 2726.401658303409 1.312289034851333 
martin 	 1983.5132179856555 1.312289034851333 
mason 	 2485.960849195267 1.312289034851333 
matagorda 	 3548.474214447504 1.312289034851333 
maverick 	 3137.4379363754565 1.312289034851333 
mcculloch 	 3137.4379363754565 1.312289034851333 
mclennan 	 3548.474214447504 1.312289034851333 
mcmullen 	 3137.4379363754565 1.312289034851333 
medina 	 3548.474214447504 1.312289034851333 
menard 	 3137.4379363754565 1.312289034851333 
midland 	 3548.474214447504 1.312289034851333 
milam 	 3548.474214447504 1.312289034851333 
mills 	 2245.520040087126 1.312289034851333 
mitchell 	 2594.0775323740827 1.312289034851333 
montague 	 3548.474214447504 1.312289034851333 
montgomery 	 2315.365380231361 1.312289034851333 
moore 	 2394.5494960577034 1.312289034851333 
morris 	 2726.401658303409 1.312289034851333 
motley 	 3548.474214447504 1.312289034851333 
nacogdoches 	 3548.474214447504 1.312289034851333 
navarro 	 3548.474214447504 1.312289034851333 
newton 	 2594.0775323740827 1.312289034851333 
nolan 	 3548.474214447504 1.312289034851333 
nueces 	 3137.4379363754565 1.312289034851333 
ochiltree 	 3548.474214447504 1.312289034851333 
oldham 	 3548.474214447504 1.312289034851333 
orange 	 2074.9245711232197 1.312289034851333 
palo 	 3548.474214447504 1.312289034851333 
pinto 	 3548.474214447504 1.312289034851333 
panola 	 3548.474214447504 1.312289034851333 
parker 	 3137.4379363754565 1.312289034851333 
parmer 	 3548.474214447504 1.312289034851333 
pecos 	 3548.474214447504 1.312289034851333 
polk 	 2726.401658303409 1.312289034851333 
potter 	 2594.0775323740827 1.312289034851333 
presidio 	 3548.474214447504 1.312289034851333 
rains 	 3137.4379363754565 1.312289034851333 
randall 	 2896.9971272673147 1.312289034851333 
reagan 	 2074.9245711232197 1.312289034851333 
real 	 1183.0066748348893 1.312289034851333 
red 	 1512.1198021878122 1.312289034851333 
river 	 1868.3787014221678 1.312289034851333 
reeves 	 3548.474214447504 1.312289034851333 
refugio 	 3548.474214447504 1.312289034851333 
roberts 	 2896.9971272673147 1.312289034851333 
robertson 	 2896.9971272673147 1.312289034851333 
rockwall 	 3548.474214447504 1.312289034851333 
runnels 	 3137.4379363754565 1.312289034851333 
rusk 	 3137.4379363754565 1.312289034851333 
sabine 	 3548.474214447504 1.312289034851333 
san 	 364.33560583753007 1.7683252958041982 
augustine 	 2896.9971272673147 1.312289034851333 
jacinto 	 3548.474214447504 1.312289034851333 
patricio 	 3548.474214447504 1.312289034851333 
saba 	 3548.474214447504 1.312289034851333 
schleicher 	 3548.474214447504 1.312289034851333 
scurry 	 3548.474214447504 1.312289034851333 
shackelford 	 3548.474214447504 1.312289034851333 
shelby 	 3137.4379363754565 1.312289034851333 
sherman 	 3137.4379363754565 1.312289034851333 
somervell 	 3548.474214447504 1.312289034851333 
starr 	 3548.474214447504 1.312289034851333 
stephens 	 2896.9971272673147 1.312289034851333 
sterling 	 2896.9971272673147 1.312289034851333 
stonewall 	 3548.474214447504 1.312289034851333 
sutton 	 3137.4379363754565 1.312289034851333 
swisher 	 3548.474214447504 1.312289034851333 
tarrant 	 3548.474214447504 1.312289034851333 
taylor 	 2027.4592454728127 1.312289034851333 
terrell 	 3548.474214447504 1.312289034851333 
terry 	 2896.9971272673147 1.312289034851333 
throckmorton 	 3548.474214447504 1.312289034851333 
titus 	 3137.4379363754565 1.312289034851333 
tom 	 1868.3787014221678 1.312289034851333 
green 	 1594.0429529069368 1.312289034851333 
travis 	 3548.474214447504 1.312289034851333 
trinity 	 2726.401658303409 1.312289034851333 
tyler 	 3548.474214447504 1.312289034851333 
upshur 	 3548.474214447504 1.312289034851333 
upton 	 2896.9971272673147 1.312289034851333 
uvalde 	 3548.474214447504 1.312289034851333 
val 	 2183.0412543020348 1.312289034851333 
verde 	 3137.4379363754565 1.312289034851333 
van 	 1130.4945102114123 1.312289034851333 
zandt 	 3548.474214447504 1.312289034851333 
victoria 	 2726.401658303409 1.312289034851333 
walker 	 2315.365380231361 1.312289034851333 
waller 	 3548.474214447504 1.312289034851333 
ward 	 2394.5494960577034 1.312289034851333 
washington 	 1252.8520149791248 1.312289034851333 
webb 	 3548.474214447504 1.312289034851333 
wharton 	 2726.401658303409 1.312289034851333 
wheeler 	 3137.4379363754565 1.312289034851333 
wichita 	 3548.474214447504 1.312289034851333 
wilbarger 	 3548.474214447504 1.312289034851333 
willacy 	 3548.474214447504 1.312289034851333 
williamson 	 2485.960849195267 1.312289034851333 
wilson 	 1868.3787014221678 1.312289034851333 
winkler 	 3548.474214447504 1.312289034851333 
wise 	 2245.520040087126 1.312289034851333 
wood 	 2126.5223176780705 1.312289034851333 
yoakum 	 3548.474214447504 1.312289034851333 
zapata 	 3548.474214447504 1.312289034851333 
zavala 	 3548.474214447504 1.312289034851333 
term 	 1161.4406618415603 1.312289034851333 
includes 	 811.707747960637 1.312289034851333 
boroughs 	 2594.0775323740827 1.312289034851333 
parishes 	 2594.0775323740827 1.312289034851333 
district 	 1493.292824087266 1.312289034851333 
columbia 	 2027.4592454728127 1.312289034851333 
independent 	 1120.5278890497982 1.312289034851333 
cities 	 1772.0049762299873 1.312289034851333 
territories 	 2183.0412543020348 1.312289034851333 
american 	 657.4822017892211 1.312289034851333 
samoa 	 2394.5494960577034 1.312289034851333 
guam 	 2594.0775323740827 1.312289034851333 
mariana 	 2594.0775323740827 1.312289034851333 
islands 	 1013.7296227364063 1.5847518390377826 
puerto 	 2027.4592454728127 1.312289034851333 
rico 	 2126.5223176780705 1.312289034851333 
virgin 	 2485.960849195267 1.312289034851333 
considered 	 1228.6445722286132 1.312289034851333 
single 	 1278.0898663294704 1.312289034851333 
entities 	 2074.9245711232197 1.312289034851333 
digi_tele 	 1297.0387661870413 1.5847518390377826 
intercept_data 	 2594.0775323740827 1.312289034851333 
cdt 	 1091.5206271510174 1.5847518390377826 
digital 	 1942.6004451938934 1.312289034851333 
telephony 	 2394.5494960577034 1.312289034851333 
page 	 145.54438927327934 1.5847518390377826 
home 	 264.8349941055117 1.312289034851333 
