term 	 tf-idf weight 	 BM25 ranking 
 benefit 	 83.5820737506567 1.927953644897401 
homeopathy 	 1566.0735736376646 1.5853068944952025 
registered 	 870.0664975172751 1.5853068944952025 
practitioner 	 597.6278674815178 1.7686707901398855 
referral 	 1360.9020081919207 1.5853068944952025 
patients 	 915.6950987461437 1.5853068944952025 
excluding 	 1294.8515170029148 1.5853068944952025 
nhs 	 590.4150463611362 1.8395961785473947 
cash 	 484.8311397785771 1.7686707901398855 
scheme 	 1294.8515170029148 1.5853068944952025 
payable 	 723.0279508188239 1.7686707901398855 
night 	 198.91935668653173 1.8772356500518168 
spent 	 915.6950987461437 1.5853068944952025 
charge 	 818.457894922421 1.5853068944952025 
child 	 214.82434737046458 1.8395961785473947 
admission 	 1120.8666641918874 1.5853068944952025 
private 	 284.6770039808341 1.7686707901398855 
consecutive 	 1120.8666641918874 1.5853068944952025 
nights 	 1771.2451390834085 1.5853068944952025 
cover 	 70.2413436940718 1.9490165759471318 
parent 	 884.5083861114271 1.5853068944952025 
accompanying 	 1360.9020081919207 1.5853068944952025 
resonable 	 590.4150463611362 1.8395961785473947 
cost 	 200.558999461102 1.8395961785473947 
maternity 	 1566.0735736376646 1.5853068944952025 
birth 	 428.14828644467343 1.7686707901398855 
twins 	 1771.2451390834085 1.5853068944952025 
ambulance 	 1360.9020081919207 1.5853068944952025 
worldwide 	 870.0664975172751 1.5853068944952025 
travel 	 899.6912012501421 1.5853068944952025 
automatic 	 1155.730442746177 1.5853068944952025 
inclusion 	 1566.0735736376646 1.5853068944952025 
available 	 463.2683191756154 1.5853068944952025 
section 	 754.784926555805 1.5853068944952025 
separate 	 764.4907141114103 1.5853068944952025 
schedule 	 1089.6799515571709 1.5853068944952025 
includes 	 405.1694660983955 1.5853068944952025 
comprehensive 	 664.8949320715315 1.5853068944952025 
overseas 	 1089.6799515571709 1.5853068944952025 
assistance 	 718.862112882542 1.5853068944952025 
repatriation 	 1566.0735736376646 1.5853068944952025 
personal 	 141.09919305654944 1.8395961785473947 
accident 	 990.0841695172918 1.5853068944952025 
liability 	 870.0664975172751 1.5853068944952025 
delay 	 506.01006463739674 1.7686707901398855 
departure 	 1195.2557349630356 1.5853068944952025 
luggage 	 885.6225695417043 1.7686707901398855 
loss 	 702.4134369407179 1.5853068944952025 
money 	 559.3191486656665 1.5853068944952025 
cancellation 	 1240.8843361919041 1.5853068944952025 
curtailment 	 1566.0735736376646 1.5853068944952025 
note 	 806.8485638290498 1.5853068944952025 
relevant 	 856.2965728893469 1.5853068944952025 
relates 	 884.5083861114271 1.5853068944952025 
preferred 	 577.8652213730885 1.7686707901398855 
hospitals 	 449.84560062507103 1.7686707901398855 
pre 	 224.0092691129778 1.8395961785473947 
authorised 	 1771.2451390834085 1.5853068944952025 
necessity 	 990.0841695172918 1.5853068944952025 
billing 	 1240.8843361919041 1.5853068944952025 
direct 	 657.9299048381139 1.5853068944952025 
subject 	 261.6846764474456 1.5853068944952025 
medicus 	 1446.0559016376478 1.5853068944952025 
rules 	 343.4154459145165 1.7686707901398855 
existing 	 382.24535705570514 1.7686707901398855 
conditions 	 559.3191486656665 1.5853068944952025 
read 	 806.8485638290498 1.5853068944952025 
carefully 	 1061.4681383350908 1.5853068944952025 
believe 	 764.4907141114103 1.5853068944952025 
condition 	 702.4134369407179 1.5853068944952025 
medicus's 	 1446.0559016376478 1.5853068944952025 
page 	 145.298951854606 1.5853068944952025 
index 	 128.7186179544233 1.5853068944952025 
html 	 116.31299285219477 1.5853068944952025 
