term 	 tf-idf weight 	 BM25 ranking 
 appendix 	 871.8416654225416 1.6321836992361005 
hennepin 	 1525.9037515752336 1.6321836992361005 
houston 	 1115.497083904538 1.6321836992361005 
hubbard 	 1525.9037515752336 1.6321836992361005 
isanti 	 1525.9037515752336 1.6321836992361005 
itasca 	 1525.9037515752336 1.6321836992361005 
jackson 	 852.9441325233427 1.6321836992361005 
kanabec 	 1525.9037515752336 1.6321836992361005 
kandiyohi 	 1525.9037515752336 1.6321836992361005 
kittson 	 1525.9037515752336 1.6321836992361005 
koochiching 	 1525.9037515752336 1.6321836992361005 
lac 	 1525.9037515752336 1.6321836992361005 
qui 	 1525.9037515752336 1.6321836992361005 
parle 	 1525.9037515752336 1.6321836992361005 
lake 	 242.11757550443346 1.8602619183187536 
woods 	 914.4404570116491 1.6321836992361005 
sueur 	 1525.9037515752336 1.6321836992361005 
lincoln 	 938.7445528617519 1.6321836992361005 
lyon 	 1525.9037515752336 1.6321836992361005 
mahnomen 	 1525.9037515752336 1.6321836992361005 
marshall 	 914.4404570116491 1.6321836992361005 
martin 	 852.9441325233427 1.6321836992361005 
mcleod 	 1525.9037515752336 1.6321836992361005 
meeker 	 1525.9037515752336 1.6321836992361005 
mille 	 1525.9037515752336 1.6321836992361005 
lacs 	 1525.9037515752336 1.6321836992361005 
morrison 	 1069.0050869220795 1.6321836992361005 
mower 	 1525.9037515752336 1.6321836992361005 
murray 	 1525.9037515752336 1.6321836992361005 
nicollet 	 1525.9037515752336 1.6321836992361005 
nobles 	 1525.9037515752336 1.6321836992361005 
norman 	 995.6461584468755 1.6321836992361005 
olmsted 	 1525.9037515752336 1.6321836992361005 
otter 	 1525.9037515752336 1.6321836992361005 
tail 	 1349.1512205324475 1.6321836992361005 
pennington 	 1525.9037515752336 1.6321836992361005 
pine 	 1349.1512205324475 1.6321836992361005 
pipestone 	 1525.9037515752336 1.6321836992361005 
polk 	 1172.3986894896616 1.6321836992361005 
pope 	 1069.0050869220795 1.6321836992361005 
ramsey 	 1525.9037515752336 1.6321836992361005 
red 	 650.2370144315212 1.6321836992361005 
redwood 	 1525.9037515752336 1.6321836992361005 
renville 	 1525.9037515752336 1.6321836992361005 
rice 	 1029.6966635661288 1.6321836992361005 
rock 	 892.2525558792936 1.6321836992361005 
roseau 	 1525.9037515752336 1.6321836992361005 
scott 	 685.4653507441296 1.6321836992361005 
sherburne 	 1525.9037515752336 1.6321836992361005 
sibley 	 1525.9037515752336 1.6321836992361005 
louis 	 938.7445528617519 1.6321836992361005 
stearns 	 1525.9037515752336 1.6321836992361005 
steele 	 1245.7576179648656 1.6321836992361005 
stevens 	 1029.6966635661288 1.6321836992361005 
swift 	 1069.0050869220795 1.6321836992361005 
todd 	 1525.9037515752336 1.6321836992361005 
traverse 	 1525.9037515752336 1.6321836992361005 
wabasha 	 1525.9037515752336 1.6321836992361005 
wadena 	 1525.9037515752336 1.6321836992361005 
waseca 	 1525.9037515752336 1.6321836992361005 
washington 	 538.7474937937214 1.6321836992361005 
watonwan 	 1525.9037515752336 1.6321836992361005 
wilkin 	 1525.9037515752336 1.6321836992361005 
winona 	 1525.9037515752336 1.6321836992361005 
wright 	 965.6114843544976 1.6321836992361005 
yellow 	 737.687925968863 1.6321836992361005 
medicine 	 313.73825284311056 1.6321836992361005 
term 	 499.43907043777045 1.6321836992361005 
includes 	 349.04801978071237 1.6321836992361005 
boroughs 	 1115.497083904538 1.6321836992361005 
parishes 	 1115.497083904538 1.6321836992361005 
district 	 642.1410963613033 1.6321836992361005 
columbia 	 871.8416654225416 1.6321836992361005 
independent 	 481.84588820859784 1.6321836992361005 
cities 	 761.9920218189659 1.6321836992361005 
territories 	 938.7445528617519 1.6321836992361005 
american 	 282.72843415893993 1.6321836992361005 
samoa 	 1029.6966635661288 1.6321836992361005 
guam 	 1115.497083904538 1.6321836992361005 
mariana 	 1115.497083904538 1.6321836992361005 
islands 	 435.9208327112708 1.797468227809482 
puerto 	 871.8416654225416 1.6321836992361005 
rico 	 914.4404570116491 1.6321836992361005 
virgin 	 1069.0050869220795 1.6321836992361005 
considered 	 528.3378851910563 1.6321836992361005 
single 	 549.6001954705143 1.6321836992361005 
entities 	 892.2525558792936 1.6321836992361005 
digi_tele 	 557.748541952269 1.797468227809482 
intercept_data 	 1115.497083904538 1.6321836992361005 
cdt 	 469.37227643087596 1.797468227809482 
digital 	 835.3509502941699 1.6321836992361005 
telephony 	 1029.6966635661288 1.6321836992361005 
page 	 62.58654176169685 1.797468227809482 
home 	 113.88351348550674 1.6321836992361005 
