term 	 tf-idf weight 	 BM25 ranking 
 http 	 150.16521169206067 1.5355580403971436 
practical 	 1662.3686360408783 1.2461709917036132 
providers 	 4790.171564700991 0.9050460198867157 
date 	 1702.644958306576 1.2461709917036132 
diaries 	 6688.008545074122 0.9050460198867157 
details 	 1210.0735979436365 1.4252348926571359 
booking 	 7243.090278074199 0.9050460198867157 
form 	 1055.0095990627603 1.2461709917036132 
enclosed 	 6688.008545074122 0.9050460198867157 
hard 	 3731.674607709355 0.9050460198867157 
copy 	 4396.334807514503 0.9050460198867157 
book 	 2210.234658233411 0.9050460198867157 
barbara 	 2340.2965489479598 1.2461709917036132 
rapidly 	 5345.253297701069 0.9050460198867157 
expanding 	 4680.5930978959195 0.9050460198867157 
wish 	 4235.089831700914 0.9050460198867157 
reflect 	 4396.334807514503 0.9050460198867157 
content 	 2836.4492738296317 0.9050460198867157 
day 	 1901.2896934265102 0.9050460198867157 
held 	 1293.4255312893538 1.2461709917036132 
thursday 	 5739.090054887556 0.9050460198867157 
friday 	 5528.05777420404 0.9050460198867157 
takes 	 3405.289916613152 0.9050460198867157 
scarman 	 8192.008768260765 0.9050460198867157 
house 	 2456.3714264265873 0.9050460198867157 
centre 	 4909.290139799795 0.9050460198867157 
located 	 3630.2207938309093 0.9050460198867157 
grounds 	 2672.6266488505344 1.2461709917036132 
university 	 1643.0856707571745 1.2461709917036132 
warwick 	 1810.7725695185497 1.5355580403971436 
art 	 1549.5793369548078 0.9050460198867157 
facilities 	 883.9423881913182 1.5355580403971436 
conferencing 	 8192.008768260765 0.9050460198867157 
excellent 	 4680.5930978959195 0.9050460198867157 
guest 	 7243.090278074199 0.9050460198867157 
accommodation 	 5988.688266138481 0.9050460198867157 
catering 	 5988.688266138481 0.9050460198867157 
splendid 	 4096.004384130382 1.2461709917036132 
environmental 	 3075.139060830833 0.9050460198867157 
setting 	 3176.5928747092776 0.9050460198867157 
forum 	 3176.5928747092776 0.9050460198867157 
stimulating 	 5988.688266138481 0.9050460198867157 
presentations 	 7243.090278074199 0.9050460198867157 
contributions 	 3286.171341514349 0.9050460198867157 
external 	 2117.544915850457 1.2461709917036132 
speakers 	 1560.19769929864 1.4252348926571359 
complement 	 6688.008545074122 0.9050460198867157 
formal 	 2117.544915850457 1.2461709917036132 
sessions 	 1842.68592473468 1.4252348926571359 
advice 	 718.8899500413006 1.6643937567172284 
broad 	 3535.7695527652727 0.9050460198867157 
theme 	 4161.071805781907 0.9050460198867157 
cover 	 1624.3310729254101 1.2461709917036132 
partnership 	 1144.7848210043687 1.5355580403971436 
building 	 1352.9848188387555 1.2461709917036132 
developing 	 1606.0766577976708 1.2461709917036132 
strategies 	 3535.7695527652727 0.9050460198867157 
reflects 	 5345.253297701069 0.9050460198867157 
awareness 	 4579.139284017475 0.9050460198867157 
seeing 	 4909.290139799795 0.9050460198867157 
role 	 1794.906093882414 0.9050460198867157 
organisations 	 1996.2294220461602 1.4252348926571359 
deepen 	 8192.008768260765 0.9050460198867157 
broaden 	 8192.008768260765 0.9050460198867157 
consequence 	 5184.00832188748 0.9050460198867157 
frequently 	 3535.7695527652727 0.9050460198867157 
provide 	 463.67395866572326 1.6103494246396404 
context 	 1682.2106050306195 1.2461709917036132 
initiatives 	 2869.545027443778 1.2461709917036132 
involving 	 1210.0735979436365 1.4252348926571359 
partnerships 	 2414.3634260247327 1.4252348926571359 
tec 	 1638.4017536521528 1.6103494246396404 
lecs 	 8192.008768260765 0.9050460198867157 
chambers 	 3344.004272537061 1.2461709917036132 
government 	 323.0607916041871 1.6103494246396404 
offices 	 3212.1533155953416 0.9050460198867157 
links 	 2242.344021475919 1.2461709917036132 
attracting 	 6294.171787887633 0.9050460198867157 
inward 	 3621.5451390370995 1.2461709917036132 
investment 	 554.1228786802927 1.6643937567172284 
increasing 	 3248.6621458508203 0.9050460198867157 
calls 	 4024.0575510173976 0.9050460198867157 
evaluation 	 723.0836460819653 1.5355580403971436 
agency's 	 7243.090278074199 0.9050460198867157 
impact 	 284.913605356389 1.7630064167874724 
activity 	 2756.679138607909 0.9050460198867157 
suitable 	 2592.00416094374 1.2461709917036132 
framework 	 732.7224679190838 1.6643937567172284 
review 	 923.5323916871962 1.2461709917036132 
involved 	 2564.2224482075007 0.9050460198867157 
draw 	 5039.769775951915 0.9050460198867157 
lessons 	 5528.05777420404 0.9050460198867157 
projects 	 3680.008098700837 0.9050460198867157 
policy 	 725.3359585047316 1.4252348926571359 
partners 	 936.1186195791839 1.6103494246396404 
plenty 	 6688.008545074122 0.9050460198867157 
informal 	 5184.00832188748 0.9050460198867157 
opportunities 	 1149.1387724426459 1.4252348926571359 
talk 	 4235.089831700914 0.9050460198867157 
designers 	 2869.545027443778 1.2461709917036132 
gain 	 3960.3716496132292 0.9050460198867157 
improve 	 3490.8802853205984 0.9050460198867157 
hands 	 4024.0575510173976 0.9050460198867157 
experience 	 2456.3714264265873 0.9050460198867157 
novices 	 8192.008768260765 0.9050460198867157 
experienced 	 1660.9415173672687 0.9050460198867157 
expert 	 4909.290139799795 0.9050460198867157 
team 	 1949.7585933268788 1.2461709917036132 
interrogate 	 7243.090278074199 0.9050460198867157 
continuing 	 3680.008098700837 0.9050460198867157 
late 	 3176.5928747092776 0.9050460198867157 
night 	 3680.008098700837 0.9050460198867157 
bar 	 2633.262286822716 0.9050460198867157 
morning 	 5039.769775951915 0.9050460198867157 
evening 	 5184.00832188748 0.9050460198867157 
participants 	 4909.290139799795 0.9050460198867157 
discovered 	 4579.139284017475 0.9050460198867157 
university's 	 7243.090278074199 0.9050460198867157 
sport 	 5184.00832188748 0.9050460198867157 
extensive 	 3785.367764016197 0.9050460198867157 
walks 	 6688.008545074122 0.9050460198867157 
beautiful 	 6688.008545074122 0.9050460198867157 
environment 	 2498.497827141373 0.9050460198867157 
especially 	 2375.818781895191 0.9050460198867157 
useful 	 1387.0239352606357 1.4252348926571359 
laptop 	 5988.688266138481 0.9050460198867157 
evalefm 	 2730.6695894202544 1.4252348926571359 
evaluating 	 5345.253297701069 0.9050460198867157 
european 	 862.2836875262359 1.4252348926571359 
spending 	 4579.139284017475 0.9050460198867157 
developed 	 682.772402128568 1.5355580403971436 
implemented 	 4484.688042951838 0.9050460198867157 
merseyside 	 804.787808674911 1.7630064167874724 
strathclyde 	 4096.004384130382 1.2461709917036132 
eulefm 	 8192.008768260765 0.9050460198867157 
europe 	 936.4464923537205 1.4252348926571359 
development 	 227.57761499249546 1.7052723310601683 
german 	 3286.171341514349 0.9050460198867157 
language 	 2950.5986964671924 0.9050460198867157 
lander 	 8192.008768260765 0.9050460198867157 
germany 	 3108.1286089425666 0.9050460198867157 
cooperation 	 4396.334807514503 0.9050460198867157 
ecometrika 	 8192.008768260765 0.9050460198867157 
gmbh 	 6688.008545074122 0.9050460198867157 
berlin 	 5528.05777420404 0.9050460198867157 
e3me 	 2730.6695894202544 1.4252348926571359 
led 	 1570.9663977893924 1.2461709917036132 
cambridge 	 1996.2294220461602 1.4252348926571359 
econometrics 	 3344.004272537061 1.2461709917036132 
ce's 	 7243.090278074199 0.9050460198867157 
mdm 	 6294.171787887633 0.9050460198867157 
commission's 	 6688.008545074122 0.9050460198867157 
joule 	 4096.004384130382 1.2461709917036132 
programme 	 956.515009147926 1.6643937567172284 
distinguishes 	 6294.171787887633 0.9050460198867157 
industry 	 1079.6050593780008 1.2461709917036132 
sectors 	 1227.3225349499487 1.5355580403971436 
project 	 1505.726579713332 1.2461709917036132 
single 	 983.5328988223974 1.4252348926571359 
regionalised 	 8192.008768260765 0.9050460198867157 
evaluate 	 2340.2965489479598 1.2461709917036132 
policies 	 2564.2224482075007 0.9050460198867157 
reduce 	 3447.416317327938 0.9050460198867157 
greenhouse 	 5345.253297701069 0.9050460198867157 
gas 	 4235.089831700914 0.9050460198867157 
emissions 	 5739.090054887556 0.9050460198867157 
proposal 	 3324.7372720817566 0.9050460198867157 
enhance 	 5184.00832188748 0.9050460198867157 
extend 	 4790.171564700991 0.9050460198867157 
accepted 	 4396.334807514503 0.9050460198867157 
iii 	 3785.367764016197 0.9050460198867157 
starting 	 4024.0575510173976 0.9050460198867157 
phase 	 732.7224679190838 1.6643937567172284 
research 	 314.22776752883806 1.6103494246396404 
applications 	 3212.1533155953416 0.9050460198867157 
significant 	 2921.1567015196933 0.9050460198867157 
enhancing 	 5345.253297701069 0.9050460198867157 
simulation 	 2592.00416094374 1.2461709917036132 
brent 	 6294.171787887633 0.9050460198867157 
regeneration 	 3621.5451390370995 1.2461709917036132 
agency 	 2892.334584327861 0.9050460198867157 
stockport 	 8192.008768260765 0.9050460198867157 
region 	 785.4831988946962 1.5355580403971436 
treatment 	 2245.3391457430703 0.9050460198867157 
supply 	 1121.4737366870795 1.4252348926571359 
side 	 3011.453159426664 0.9050460198867157 
assessment 	 447.7725971261601 1.7372737461548298 
granted 	 5039.769775951915 0.9050460198867157 
structural 	 1949.7585933268788 1.2461709917036132 
funds 	 1723.708158663969 1.2461709917036132 
status 	 2263.2348254087765 0.9050460198867157 
objective 	 2117.544915850457 1.2461709917036132 
category 	 4024.0575510173976 0.9050460198867157 
monitoring 	 2454.6450698998974 1.2461709917036132 
committee 	 2864.106780147316 0.9050460198867157 
responsibility 	 2477.2725957736366 0.9050460198867157 
implementation 	 1702.644958306576 1.2461709917036132 
programming 	 4484.688042951838 0.9050460198867157 
document 	 1815.1103969154547 1.2461709917036132 
spd 	 2730.6695894202544 1.4252348926571359 
facilitate 	 4909.290139799795 0.9050460198867157 
convergence 	 6294.171787887633 0.9050460198867157 
average 	 4161.071805781907 0.9050460198867157 
income 	 3286.171341514349 0.9050460198867157 
levels 	 3141.932795578785 0.9050460198867157 
originally 	 4484.688042951838 0.9050460198867157 
undertaken 	 1336.3133244252672 1.5355580403971436 
help 	 2356.400016591203 0.9050460198867157 
quantitative 	 5345.253297701069 0.9050460198867157 
baseline' 	 8192.008768260765 0.9050460198867157 
targets 	 2764.02888710202 1.2461709917036132 
infrastructure 	 4579.139284017475 0.9050460198867157 
human 	 2110.0191981255207 0.9050460198867157 
resources 	 2564.2224482075007 0.9050460198867157 
subsequently 	 4484.688042951838 0.9050460198867157 
embodied 	 5988.688266138481 0.9050460198867157 
approved 	 3785.367764016197 0.9050460198867157 
followed 	 3899.5171866537576 0.9050460198867157 
giving 	 3176.5928747092776 0.9050460198867157 
interim 	 6294.171787887633 0.9050460198867157 
reviewing 	 5739.090054887556 0.9050460198867157 
guidance 	 2289.5696420087374 1.2461709917036132 
approvals 	 8192.008768260765 0.9050460198867157 
follow 	 3582.180777009281 0.9050460198867157 
labour 	 998.1147110230801 1.6643937567172284 
market 	 517.3702125157416 1.6103494246396404 
strategy 	 3176.5928747092776 0.9050460198867157 
representing 	 3680.008098700837 0.9050460198867157 
tecs 	 1638.4017536521528 1.6103494246396404 
close 	 1606.0766577976708 1.2461709917036132 
association 	 2657.0715825952643 0.9050460198867157 
kpmg's 	 8192.008768260765 0.9050460198867157 
liverpool 	 7243.090278074199 0.9050460198867157 
counterfactual 	 8192.008768260765 0.9050460198867157 
scenario 	 2869.545027443778 1.2461709917036132 
achieved 	 4909.290139799795 0.9050460198867157 
occurred 	 3582.180777009281 0.9050460198867157 
compared 	 2892.334584327861 0.9050460198867157 
baseline 	 7243.090278074199 0.9050460198867157 
forecast 	 1679.9232586506384 1.4252348926571359 
variant 	 8192.008768260765 0.9050460198867157 
scenarios 	 6688.008545074122 0.9050460198867157 
simulated 	 5345.253297701069 0.9050460198867157 
clusters' 	 8192.008768260765 0.9050460198867157 
export 	 4235.089831700914 0.9050460198867157 
oriented 	 4790.171564700991 0.9050460198867157 
underpin 	 8192.008768260765 0.9050460198867157 
effective 	 2864.106780147316 0.9050460198867157 
informed 	 4579.139284017475 0.9050460198867157 
dissemination 	 3960.3716496132292 0.9050460198867157 
applicants 	 5528.05777420404 0.9050460198867157 
supported 	 4161.071805781907 0.9050460198867157 
requirements 	 3011.453159426664 0.9050460198867157 
outcome 	 2117.544915850457 1.2461709917036132 
consensus 	 3147.0858939438167 1.2461709917036132 
approach 	 2782.7561175227897 0.9050460198867157 
participating 	 5345.253297701069 0.9050460198867157 
allowing 	 4024.0575510173976 0.9050460198867157 
recommended 	 4579.139284017475 0.9050460198867157 
achieve 	 3582.180777009281 0.9050460198867157 
objectives 	 3248.6621458508203 0.9050460198867157 
seen 	 2586.8510625787076 0.9050460198867157 
fundamental 	 4024.0575510173976 0.9050460198867157 
tool 	 1840.0040493504184 1.2461709917036132 
achieving 	 5345.253297701069 0.9050460198867157 
partner 	 4024.0575510173976 0.9050460198867157 
provided 	 1047.3109318595948 1.4252348926571359 
considering 	 2045.425642882675 1.2461709917036132 
alternatives 	 3680.008098700837 0.9050460198867157 
east 	 450.9949396129185 1.6643937567172284 
midlands 	 1448.61805561484 1.6103494246396404 
multi 	 4090.85128576535 0.9050460198867157 
comprising 	 5739.090054887556 0.9050460198867157 
independent 	 2586.8510625787076 0.9050460198867157 
merged 	 8192.008768260765 0.9050460198867157 
concerned 	 3286.171341514349 0.9050460198867157 
training 	 1475.2993482335962 1.2461709917036132 
enterprise 	 2289.5696420087374 1.2461709917036132 
study 	 415.2353793418172 1.5355580403971436 
york 	 2263.2348254087765 0.9050460198867157 
consulting 	 5739.090054887556 0.9050460198867157 
appraisal 	 5345.253297701069 0.9050460198867157 
consultation 	 6294.171787887633 0.9050460198867157 
guided 	 5528.05777420404 0.9050460198867157 
forward 	 2012.0287755086988 1.2461709917036132 
looking 	 1537.5695304154165 1.2461709917036132 
utilising 	 8192.008768260765 0.9050460198867157 
identified 	 4313.339700247803 0.9050460198867157 
sources 	 1593.0433049474682 0.9050460198867157 
growth 	 2520.0573278307556 0.9050460198867157 
effects 	 714.2053253957404 1.4252348926571359 
identifying 	 5345.253297701069 0.9050460198867157 
strengths 	 4579.139284017475 0.9050460198867157 
weaknesses 	 4313.339700247803 0.9050460198867157 
threats 	 4484.688042951838 0.9050460198867157 
component 	 4235.089831700914 0.9050460198867157 
economies 	 2764.02888710202 1.2461709917036132 
global 	 3286.171341514349 0.9050460198867157 
competition 	 3582.180777009281 0.9050460198867157 
faced 	 5039.769775951915 0.9050460198867157 
comprehensive 	 3075.139060830833 0.9050460198867157 
report 	 2159.2101187560015 0.9050460198867157 
reference 	 3286.171341514349 0.9050460198867157 
budget 	 3731.674607709355 0.9050460198867157 
srb 	 8192.008768260765 0.9050460198867157 
forms 	 2477.2725957736366 0.9050460198867157 
funding 	 3960.3716496132292 0.9050460198867157 
bids 	 6688.008545074122 0.9050460198867157 
provision 	 4396.334807514503 0.9050460198867157 
embodying 	 7243.090278074199 0.9050460198867157 
toyota 	 2414.3634260247327 1.4252348926571359 
historical 	 1140.6837704147774 1.2461709917036132 
behaviour 	 8192.008768260765 0.9050460198867157 
events 	 2520.0573278307556 0.9050460198867157 
discontinuities 	 6688.008545074122 0.9050460198867157 
arise 	 5184.00832188748 0.9050460198867157 
result 	 2456.3714264265873 0.9050460198867157 
closures 	 8192.008768260765 0.9050460198867157 
organisation 	 5739.090054887556 0.9050460198867157 
substantial 	 2117.544915850457 1.2461709917036132 
package 	 1494.8960143172792 1.4252348926571359 
allow 	 3324.7372720817566 0.9050460198867157 
address 	 2921.1567015196933 0.9050460198867157 
explicitly 	 2414.3634260247327 1.4252348926571359 
module 	 3344.004272537061 1.2461709917036132 
assess 	 4790.171564700991 0.9050460198867157 
burnaston 	 8192.008768260765 0.9050460198867157 
derbyshire 	 4096.004384130382 1.2461709917036132 
retrospective 	 6688.008545074122 0.9050460198867157 
prospective 	 5184.00832188748 0.9050460198867157 
enables 	 2454.6450698998974 1.2461709917036132 
direct 	 3042.9258098762766 0.9050460198867157 
indirect 	 3147.0858939438167 1.2461709917036132 
results 	 1187.9093909475955 1.2461709917036132 
illustrate 	 5528.05777420404 0.9050460198867157 
total 	 3141.932795578785 0.9050460198867157 
jobs 	 4396.334807514503 0.9050460198867157 
probably 	 4161.071805781907 0.9050460198867157 
created 	 2541.9617951340333 0.9050460198867157 
south 	 2435.784572314531 0.9050460198867157 
third 	 2782.7561175227897 0.9050460198867157 
sensitivity 	 6294.171787887633 0.9050460198867157 
conclusions 	 4235.089831700914 0.9050460198867157 
range 	 3108.1286089425666 0.9050460198867157 
alternative 	 3042.9258098762766 0.9050460198867157 
request 	 3731.674607709355 0.9050460198867157 
councils 	 6688.008545074122 0.9050460198867157 
bodies 	 4313.339700247803 0.9050460198867157 
vogue 	 8192.008768260765 0.9050460198867157 
strong 	 3324.7372720817566 0.9050460198867157 
leicestershire 	 1638.4017536521528 1.6103494246396404 
council 	 794.1482186773194 1.5355580403971436 
county 	 3248.6621458508203 0.9050460198867157 
producing 	 4680.5930978959195 0.9050460198867157 
publication 	 4396.334807514503 0.9050460198867157 
jointly 	 5988.688266138481 0.9050460198867157 
develop 	 3075.139060830833 0.9050460198867157 
view 	 2245.3391457430703 0.9050460198867157 
prospects 	 1745.4401426602992 1.2461709917036132 
included 	 3141.932795578785 0.9050460198867157 
linking 	 5345.253297701069 0.9050460198867157 
demographic 	 5184.00832188748 0.9050460198867157 
modelling 	 3621.5451390370995 1.2461709917036132 
including 	 400.6564714969563 1.4252348926571359 
numerous 	 3405.289916613152 0.9050460198867157 
sector 	 4235.089831700914 0.9050460198867157 
studies 	 1466.5842296881085 0.9050460198867157 
publications 	 2541.9617951340333 0.9050460198867157 
call 	 2586.8510625787076 0.9050460198867157 
educational 	 945.4830912765439 1.4252348926571359 
reforms 	 3960.3716496132292 0.9050460198867157 
reorganisation 	 4096.004384130382 1.2461709917036132 
careers 	 921.34296236734 1.6643937567172284 
dramatic 	 4484.688042951838 0.9050460198867157 
system 	 738.3437982892768 1.2461709917036132 
related 	 2176.007875514195 0.9050460198867157 
highlighted 	 6688.008545074122 0.9050460198867157 
establishments 	 6294.171787887633 0.9050460198867157 
charged 	 3960.3716496132292 0.9050460198867157 
ensuring 	 5988.688266138481 0.9050460198867157 
courses 	 4790.171564700991 0.9050460198867157 
relevance 	 4909.290139799795 0.9050460198867157 
delivered 	 5345.253297701069 0.9050460198867157 
focused 	 4579.139284017475 0.9050460198867157 
attention 	 2921.1567015196933 0.9050460198867157 
advisors 	 6294.171787887633 0.9050460198867157 
clients 	 3680.008098700837 0.9050460198867157 
sussex 	 3621.5451390370995 1.2461709917036132 
previously 	 4235.089831700914 0.9050460198867157 
service 	 2078.1805538226386 0.9050460198867157 
forefront 	 8192.008768260765 0.9050460198867157 
found 	 2564.2224482075007 0.9050460198867157 
item 	 5345.253297701069 0.9050460198867157 
kit 	 4396.334807514503 0.9050460198867157 
analyse 	 8192.008768260765 0.9050460198867157 
qualifications 	 5739.090054887556 0.9050460198867157 
workforce 	 5528.05777420404 0.9050460198867157 
currently 	 2892.334584327861 0.9050460198867157 
valuable 	 5039.769775951915 0.9050460198867157 
enhancement 	 5739.090054887556 0.9050460198867157 
readers' 	 8192.008768260765 0.9050460198867157 
welcomed 	 5739.090054887556 0.9050460198867157 
please 	 2435.784572314531 0.9050460198867157 
phone 	 3108.1286089425666 0.9050460198867157 
capable 	 4313.339700247803 0.9050460198867157 
addressing 	 4579.139284017475 0.9050460198867157 
link 	 3731.674607709355 0.9050460198867157 
purpose 	 2586.8510625787076 0.9050460198867157 
inform 	 5039.769775951915 0.9050460198867157 
decision 	 2435.784572314531 0.9050460198867157 
